Año	CCAA código	CCAA nombre	Renta disponible bruta
2018	02	Aragón	21925668009
2017	02	Aragón	21369792007
2016	02	Aragón	20728731003
2015	02	Aragón	20160568000
2014	02	Aragón	19672633004
2013	02	Aragón	19921401013
2012	02	Aragón	20012536006
2011	02	Aragón	21178496992
2010	02	Aragón	20884481003
2009	02	Aragón	21092488002
2008	02	Aragón	21291352022
2007	02	Aragón	20202604003
2006	02	Aragón	19171242015
2005	02	Aragón	17984132005
2004	02	Aragón	16893457008
2003	02	Aragón	16218958008
2002	02	Aragón	15226098999
2001	02	Aragón	14234350003
2000	02	Aragón	13282261002
