Año	Renta disponible bruta	Código	Comarca
2016	342038206	01	La Jacetania
2016	236568751	02	Alto Gállego
2016	119186288	03	Sobrarbe
2016	183606143	04	La Ribagorza
2016	402616008	05	Cinco Villas
2016	1197058252	06	Hoya de Huesca / Plana de Uesca
2016	360456857	07	Somontano de Barbastro
2016	345810648	08	Cinca Medio
2016	251508933	09	La Litera / La Llitera
2016	217842657	10	Los Monegros
2016	325923777	11	Bajo Cinca / Baix Cinca
2016	181076557	12	Tarazona y el Moncayo
2016	177009800	13	Campo de Borja
2016	77768397	14	Aranda
2016	350592570	15	Ribera Alta del Ebro
2016	340521147	16	Valdejalón
2016	12916948321	17	Central
2016	109676682	18	Ribera Baja del Ebro
2016	169981074	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	482040856	20	Comunidad de Calatayud
2016	111549807	21	Campo de Cariñena
2016	40955101	22	Campo de Belchite
2016	72696438	23	Bajo Martín
2016	66318020	24	Campo de Daroca
2016	148253236	25	Jiloca
2016	109124086	26	Cuencas Mineras
2016	160186175	27	Andorra-Sierra de Arcos
2016	404312349	28	Bajo Aragón
2016	739052662	29	Comunidad de Teruel
2016	36659221	30	Maestrazgo
2016	49775458	31	Sierra de Albarracín
2016	94080269	32	Gúdar-Javalambre
2016	90513258	33	Matarraña / Matarranya
2015	333847645	01	La Jacetania
2015	231875129	02	Alto Gállego
2015	114067972	03	Sobrarbe
2015	180657499	04	La Ribagorza
2015	393863918	05	Cinco Villas
2015	1177727554	06	Hoya de Huesca / Plana de Uesca
2015	351775317	07	Somontano de Barbastro
2015	338635428	08	Cinca Medio
2015	247016044	09	La Litera / La Llitera
2015	219407155	10	Los Monegros
2015	318055395	11	Bajo Cinca / Baix Cinca
2015	176236417	12	Tarazona y el Moncayo
2015	170338980	13	Campo de Borja
2015	76096568	14	Aranda
2015	342955326	15	Ribera Alta del Ebro
2015	328251549	16	Valdejalón
2015	12707025807	17	Central
2015	110923104	18	Ribera Baja del Ebro
2015	168013392	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	468483057	20	Comunidad de Calatayud
2015	108319880	21	Campo de Cariñena
2015	40337948	22	Campo de Belchite
2015	72814767	23	Bajo Martín
2015	65829208	24	Campo de Daroca
2015	146197631	25	Jiloca
2015	107829802	26	Cuencas Mineras
2015	161655740	27	Andorra-Sierra de Arcos
2015	395847419	28	Bajo Aragón
2015	716401755	29	Comunidad de Teruel
2015	36338405	30	Maestrazgo
2015	48909237	31	Sierra de Albarracín
2015	90498158	32	Gúdar-Javalambre
2015	88252810	33	Matarraña / Matarranya
2014	334030539	01	La Jacetania
2014	231870577	02	Alto Gállego
2014	113928398	03	Sobrarbe
2014	184324015	04	La Ribagorza
2014	388357464	05	Cinco Villas
2014	1177365748	06	Hoya de Huesca / Plana de Uesca
2014	354617040	07	Somontano de Barbastro
2014	337753883	08	Cinca Medio
2014	243404746	09	La Litera / La Llitera
