Año	Municipio código	Municipio nombre	Renta disponible bruta
2015	22007	Albalate de Cinca	12765402
2015	22017	Alcolea de Cinca	15712209
2015	22021	Almudévar	31606150
2015	22025	Altorricón	17590848
2015	22039	Ayerbe	13793714
2015	22048	Barbastro	278487113
2015	22052	Belver de Cinca	14409367
2015	22053	Benabarre	14553658
2015	22054	Benasque	37268536
2015	22059	Biescas	27233957
2015	22060	Binaced	18438406
2015	22061	Binéfar	140993772
2015	22112	Fraga	214458581
2015	22116	Grañén	20963461
2015	22117	Graus	51472198
2015	22119	Gurrea de Gállego	17078396
2015	22125	Huesca	982990447
2015	22130	Jaca	262400703
2015	22137	Lanaja	11743873
2015	22158	Monzón	259877871
2015	22199	Sabiñánigo	159485466
2015	22204	Sallent de Gállego	27150581
2015	22213	Sariñena	59931742
2015	22225	Tamarite de Litera	48250527
2015	22234	Torrente de Cinca	11265000
2015	22254	Zaidín	17669012
2015	22907	Aínsa-Sobrarbe	37692010
2015	44008	Albalate del Arzobispo	24636286
2015	44009	Albarracín	16269799
2015	44013	Alcañiz	249120013
2015	44014	Alcorisa	45318694
2015	44025	Andorra	129525741
2015	44049	Calaceite	10875670
2015	44050	Calamocha	66695728
2015	44051	Calanda	42662590
2015	44076	Cella	29318547
2015	44122	Híjar	20319333
2015	44145	Mas de las Matas	13720821
2015	44153	Monreal del Campo	33962540
2015	44155	Montalbán	17880887
2015	44158	Mora de Rubielos	22613711
2015	44209	Santa Eulalia	11992349
2015	44210	Sarrión	12542537
2015	44216	Teruel	611710081
2015	44238	Utrillas	45393917
2015	44246	Valderrobres	28767490
2015	50006	Ainzón	12523573
2015	50008	Alagón	94117517
2015	50017	Alfajarín	32240096
2015	50018	Alfamén	13563379
2015	50020	Alhama de Aragón	14062605
2015	50025	Almunia de Doña Godina (La)	101424197
2015	50034	Ariza	12823585
2015	50038	Ateca	20615789
2015	50045	Belchite	17128844
2015	50055	Borja	69147682
2015	50057	Brea de Aragón	18538950
2015	50059	Bujaraloz	12813159
2015	50062	Burgo de Ebro (El)	33534336
2015	50066	Cadrete	54699207
2015	50067	Calatayud	304280920
2015	50068	Calatorao	31398854
2015	50073	Cariñena	46066214
2015	50074	Caspe	122787740
2015	50089	Cuarte de Huerva	195008394
2015	50094	Daroca	33985540
2015	50095	Ejea de los Caballeros	230441825
2015	50099	Épila	51860274
2015	50101	Escatrón	14785768
2015	50102	Fabara	10145494
2015	50107	Figueruelas	20320626
2015	50115	Fuentes de Ebro	58069774
2015	50118	Gallur	38314909
2015	50119	Gelsa	11442444
2015	50126	Illueca	40390213
2015	50132	Joyosa (La)	11308295
2015	50137	Leciñena	12242840
2015	50152	Maella	18103808
2015	50153	Magallón	11439910
2015	50160	Mallén	35938942
2015	50163	María de Huerva	78477670
2015	50165	Mequinenza	29289348
2015	50175	Morata de Jalón	11788053
2015	50181	Muel	15932737
2015	50182	Muela (La)	64388078
2015	50203	Pastriz	18288664
2015	50204	Pedrola	46356258
2015	50208	Pina de Ebro	34648577
2015	50209	Pinseque	44751948
2015	50219	Puebla de Alfindén (La)	89317018
2015	50222	Quinto	22848996
2015	50223	Remolinos	12376909
2015	50225	Ricla	28502242
2015	50230	Sádaba	15694828
2015	50235	San Mateo de Gállego	41804714
2015	50240	Sástago	15972245
2015	50247	Sobradiel	13751399
2015	50251	Tarazona	140178119
2015	50252	Tauste	92769495
2015	50262	Torres de Berrellén	17809189
2015	50272	Utebo	284477540
2015	50288	Villanueva de Gállego	73385763
2015	50297	Zaragoza	11586208219
2015	50298	Zuera	113612687
2015	50903	Villamayor de Gállego	34596021
2014	22007	Albalate de Cinca	12636021
2014	22017	Alcolea de Cinca	15283337
2014	22021	Almudévar	32360227
2014	22025	Altorricón	17262784
2014	22039	Ayerbe	13493458
2014	22048	Barbastro	279490353
2014	22052	Belver de Cinca	13313576
2014	22053	Benabarre	14569320
2014	22054	Benasque	37613468
2014	22059	Biescas	27062284
2014	22060	Binaced	17998289
2014	22061	Binéfar	137032205
2014	22112	Fraga	209395198
2014	22116	Grañén	21009662
2014	22117	Graus	52020213
2014	22119	Gurrea de Gállego	17300959
2014	22125	Huesca	980378858
2014	22130	Jaca	261387799
2014	22137	Lanaja	12235969
2014	22158	Monzón	259413597
2014	22199	Sabiñánigo	160037444
2014	22204	Sallent de Gállego	26211697
2014	22213	Sariñena	57609900
2014	22225	Tamarite de Litera	48397595
2014	22234	Torrente de Cinca	10752624
2014	22254	Zaidín	17093617
2014	22907	Aínsa-Sobrarbe	36648173
2014	44008	Albalate del Arzobispo	23996057
2014	44009	Albarracín	16358534
2014	44013	Alcañiz	248161390
2014	44014	Alcorisa	46578535
2014	44025	Andorra	131130232
2014	44049	Calaceite	10855731
2014	44050	Calamocha	66442827
2014	44051	Calanda	41914948
2014	44076	Cella	29329212
2014	44122	Híjar	20460799
2014	44145	Mas de las Matas	13619887
2014	44153	Monreal del Campo	31929007
2014	44155	Montalbán	17684655
2014	44158	Mora de Rubielos	21947622
2014	44209	Santa Eulalia	12315153
2014	44210	Sarrión	12659650
2014	44216	Teruel	609553850
2014	44238	Utrillas	46612290
2014	44246	Valderrobres	28490693
2014	50006	Ainzón	12146879
2014	50008	Alagón	94577137
2014	50017	Alfajarín	31603931
2014	50018	Alfamén	13689326
2014	50020	Alhama de Aragón	13703742
2014	50025	Almunia de Doña Godina (La)	100300691
2014	50034	Ariza	12378575
2014	50038	Ateca	20459547
2014	50045	Belchite	17269575
2014	50055	Borja	69391896
2014	50057	Brea de Aragón	19288278
2014	50059	Bujaraloz	13111774
2014	50062	Burgo de Ebro (El)	33387228
2014	50066	Cadrete	54524363
2014	50067	Calatayud	309573917
2014	50068	Calatorao	30880532
2014	50073	Cariñena	46960391
2014	50074	Caspe	121499880
2014	50089	Cuarte de Huerva	189902769
2014	50094	Daroca	34940072
2014	50095	Ejea de los Caballeros	226286429
