Año	Renta disponible bruta per cápita	CCAA código	CCAA nombre
2017	16332,7633298949	02	Aragón
2016	15840,8353338739	02	Aragón
2015	15298,109727457	02	Aragón
2014	14842,9573271163	02	Aragón
2013	14787,81204246	02	Aragón
2012	14829,9558381198	02	Aragón
2011	15730,9716369319	02	Aragón
2010	15503,3468270612	02	Aragón
2009	15676,6341665719	02	Aragón
2008	16045,717960718	02	Aragón
2007	15580,5545792828	02	Aragón
2006	15007,183730981	02	Aragón
2005	14171,5913018399	02	Aragón
2004	13519,2648177313	02	Aragón
2003	13185,1799453699	02	Aragón
2002	12505,8923355296	02	Aragón
2001	11864,4004224203	02	Aragón
2000	11162,4174621757	02	Aragón
