Año	Renta disponible bruta	Renta disponible bruta per cápita	Código	Comarca
2014	332723641	18246,4294488621	01	La Jacetania
2014	230963379	16335,1990239762	02	Alto Gállego
2014	113563918	14328,0239717386	03	Sobrarbe
2014	183726255	14553,7274239544	04	La Ribagorza
2014	386838013	12303,2253991476	05	Cinco Villas
2014	1172759290	17174,2273672495	06	Hoya de Huesca / Plana de Uesca
2014	353229600	14665,3491654903	07	Somontano de Barbastro
2014	336432418	14006,9285981931	08	Cinca Medio
2014	242452420	12968,1439880188	09	La Litera / La Llitera
2014	216123757	10901,0267830122	10	Los Monegros
2014	311401360	12547,9050650764	11	Bajo Cinca / Baix Cinca
2014	173651653	12054,9568205484	12	Tarazona y el Moncayo
2014	168126492	11515,5131506849	13	Campo de Borja
2014	77352860	10791,4146205357	14	Aranda
2014	338873144	12377,1191058841	15	Ribera Alta del Ebro
2014	324561825	11123,1305048151	16	Valdejalón
2014	12547933846	16884,8610651728	17	D.C. Zaragoza
2014	108885216	11962,7791694133	18	Ribera Baja del Ebro
2014	166655518	11114,8137921835	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	472378967	11932,6790865688	20	Comunidad de Calatayud
2014	110742318	10385,6623839445	21	Campo de Cariñena
2014	42755861	8607,98490034226	22	Campo de Belchite
2014	72129258	10783,2647630438	23	Bajo Martín
2014	70240888	11656,304015931	24	Campo de Daroca
2014	145962005	11053,5407042787	25	Jiloca
2014	109442129	12578,1092977819	26	Cuencas Mineras
2014	163415469	14983,9967907574	27	Andorra-Sierra de Arcos
2014	393864028	13288,2600539811	28	Bajo Aragón
2014	713141656	15262,8554062152	29	Comunidad de Teruel
2014	36409933	10702,5082304527	30	Maestrazgo
2014	48408818	10321,7095948827	31	Sierra de Albarracín
2014	90848758	11475,1494252874	32	Gúdar-Javalambre
2014	87254311	10276,0936285479	33	Matarraña / Matarranya
2013	333864021	18124,0986374247	01	La Jacetania
2013	231751795	16041,5169239288	02	Alto Gállego
2013	113219251	14663,8066312654	03	Sobrarbe
2013	183041113	14143,1859836192	04	La Ribagorza
2013	393066007	12254,9730934713	05	Cinco Villas
2013	1178873727	17265,2859841828	06	Hoya de Huesca / Plana de Uesca
2013	354049829	14684,1619592717	07	Somontano de Barbastro
2013	337348031	13930,7908407664	08	Cinca Medio
2013	244691324	13005,810779207	09	La Litera / La Llitera
2013	223645599	11086,9323319453	10	Los Monegros
2013	314208495	12669,6973790323	11	Bajo Cinca / Baix Cinca
2013	172790288	11940,4524911893	12	Tarazona y el Moncayo
2013	167907914	11215,5443190168	13	Campo de Borja
2013	78260301	10767,7904512933	14	Aranda
