Año	Municipio código	Municipio nombre	Renta disponible bruta per cápita
2013	22007	Albalate de Cinca	10479,8366693355
2013	22017	Alcolea de Cinca	13764,6382222222
2013	22021	Almudévar	12844,4598249801
2013	22025	Altorricón	12020,9274360746
2013	22039	Ayerbe	12415,4221422142
2013	22048	Barbastro	16251,8581638582
2013	22052	Belver de Cinca	10122,2676691729
2013	22053	Benabarre	12654,6376451078
2013	22054	Benasque	17319,8123006834
2013	22059	Biescas	17487,3558673469
2013	22060	Binaced	11740,3935483871
2013	22061	Binéfar	14443,7921419518
2013	22112	Fraga	14250,1137926385
2013	22116	Grañén	11212,3916369199
2013	22117	Graus	14854,0185027042
2013	22119	Gurrea de Gállego	10956,1346035648
2013	22125	Huesca	18741,1077492464
2013	22130	Jaca	19788,9476590273
2013	22137	Lanaja	9280,53805970149
2013	22158	Monzón	14954,1340659341
2013	22199	Sabiñánigo	15905,5681705993
2013	22204	Sallent de Gállego	17118,3906040268
2013	22213	Sariñena	13682,1249132547
2013	22225	Tamarite de Litera	13469,5694980695
2013	22234	Torrente de Cinca	9111,67526188558
2013	22254	Zaidín	9805,4774624374
2013	22907	Aínsa-Sobrarbe	16453,0724444444
2013	44008	Albalate del Arzobispo	11835,6857003416
2013	44009	Albarracín	14815,7538883806
2013	44013	Alcañiz	15150,9323120117
2013	44014	Alcorisa	13190,2319337332
2013	44025	Andorra	16110,2208262865
2013	44049	Calaceite	9695,4122965642
2013	44050	Calamocha	14846,7196013289
2013	44051	Calanda	10535,2904532793
2013	44076	Cella	10477,6160776161
2013	44122	Híjar	11504,7570462232
2013	44145	Mas de las Matas	10239,3958487769
2013	44153	Monreal del Campo	11469,3070895522
2013	44155	Montalbán	13420,9052945563
2013	44158	Mora de Rubielos	13715,9466911765
2013	44209	Santa Eulalia	11086,9749552773
2013	44210	Sarrión	10652,5387293299
2013	44216	Teruel	16979,9323155641
2013	44238	Utrillas	14563,6398408813
2013	44246	Valderrobres	11807,8372294372
2013	50006	Ainzón	9602,63774220725
2013	50008	Alagón	13077,2741463415
2013	50017	Alfajarín	14076,4357941834
2013	50018	Alfamén	9110,50955833883
2013	50020	Alhama de Aragón	11941,6446654611
2013	50025	Almunia de Doña Godina (La)	12913,9835178985
2013	50034	Ariza	10712,7042253521
2013	50038	Ateca	10740,2163998059
2013	50045	Belchite	10465,7213717085
2013	50051	Biota	9113,36872586873
2013	50055	Borja	14009,9721261445
2013	50057	Brea de Aragón	10849,6003420753
2013	50059	Bujaraloz	12800,8342911877
2013	50062	Burgo de Ebro (El)	13782,8765849535
2013	50066	Cadrete	15536,0490633363
2013	50067	Calatayud	15215,6393003919
2013	50068	Calatorao	10445,3422281521
2013	50073	Cariñena	12535,7786259542
2013	50074	Caspe	12290,1587543112
2013	50089	Cuarte de Huerva	16721,4963325183
2013	50094	Daroca	15538,3019955654
2013	50095	Ejea de los Caballeros	13182,5140323239
2013	50099	Épila	11009,0699197296
2013	50101	Escatrón	12471,4972826087
2013	50102	Fabara	7986,6473354232
2013	50107	Figueruelas	14869,2843062926
2013	50115	Fuentes de Ebro	12207,8683419244
2013	50118	Gallur	13337,1514406184
2013	50119	Gelsa	10197,5127753304
2013	50126	Illueca	13159,2478233831
2013	50132	Joyosa (La)	11326,7182095626
2013	50137	Leciñena	9676,24069675376
2013	50147	Luceni	9904,29166666667
2013	50152	Maella	9009,62215477997
2013	50153	Magallón	9914,29638958858
2013	50159	Maluenda	8613,62275985663
2013	50160	Mallén	10044,3109941844
2013	50163	María de Huerva	13882,5606773283
2013	50165	Mequinenza	12070,4220032841
2013	50175	Morata de Jalón	10481,461477363
2013	50181	Muel	11707,1016702977
2013	50182	Muela (La)	12581,8977068794
2013	50189	Nonaspe	8425,2119460501
2013	50203	Pastriz	13940,0577069096
2013	50204	Pedrola	12016,3171195652
2013	50208	Pina de Ebro	12669,3040152964
2013	50209	Pinseque	11523,5166802278
2013	50219	Puebla de Alfindén (La)	14612,194329184
2013	50222	Quinto	11339,6369304556
2013	50223	Remolinos	10404,8426573427
2013	50225	Ricla	8206,76992248062
2013	50230	Sádaba	10832,0066401062
2013	50235	San Mateo de Gállego	12967,7015673981
2013	50240	Sástago	12820,7974379504
2013	50247	Sobradiel	12699,9231499051
2013	50251	Tarazona	12817,4012703673
2013	50252	Tauste	13069,0721835883
2013	50262	Torres de Berrellén	11806,9147235177
2013	50272	Utebo	15141,1360165794
2013	50288	Villanueva de Gállego	15670,2624837169
2013	50297	Zaragoza	16894,8219893138
2013	50298	Zuera	13770,7840603812
2013	50903	Villamayor de Gállego	11979,7606626718
2012	22007	Albalate de Cinca	10807,5123900879
2012	22017	Alcolea de Cinca	13885,9526730938
2012	22021	Almudévar	12887,6597856292
2012	22025	Altorricón	11988,8714859438
2012	22039	Ayerbe	12693,606087735
2012	22048	Barbastro	16919,1819232547
2012	22052	Belver de Cinca	10783,8072727273
2012	22053	Benabarre	12864,2288065844
2012	22054	Benasque	18233,4100135318
2012	22059	Biescas	18326,5500314663
2012	22060	Binaced	12702,9098798398
2012	22061	Binéfar	15494,2459813875
2012	22112	Fraga	15429,3303991812
2012	22116	Grañén	11357,4216080402
2012	22117	Graus	15238,4425591099
2012	22119	Gurrea de Gállego	11245,0334549878
2012	22125	Huesca	19679,5731031054
2012	22130	Jaca	20700,7349788647
2012	22137	Lanaja	9238,02282768778
2012	22158	Monzón	15558,6691768522
2012	22199	Sabiñánigo	16800,7922077922
2012	22204	Sallent de Gállego	17810,8915343915
2012	22213	Sariñena	13735,6299409359
2012	22225	Tamarite de Litera	13481,284190372
2012	22234	Torrente de Cinca	8856,5117335352
2012	22254	Zaidín	10681,6845714286
2012	22907	Aínsa-Sobrarbe	17216,9223907226
2012	44008	Albalate del Arzobispo	12179,426449449
2012	44009	Albarracín	15328,9246823956
2012	44013	Alcañiz	15953,088894301
2012	44014	Alcorisa	13999,3728908886
2012	44025	Andorra	17259,6831599323
2012	44049	Calaceite	10002,7158371041
2012	44050	Calamocha	15357,2306180389
2012	44051	Calanda	11096,9873609707
2012	44076	Cella	10787,648019458
2012	44122	Híjar	11942,7918050941
2012	44145	Mas de las Matas	10476,6095588235
2012	44153	Monreal del Campo	11964,0705057217
2012	44155	Montalbán	13893,1607407407
2012	44158	Mora de Rubielos	13735,5451788963
2012	44209	Santa Eulalia	11641,9420677362
2012	44210	Sarrión	11124,219663419
2012	44216	Teruel	17794,7419993862
2012	44238	Utrillas	15383,1241507103
2012	44246	Valderrobres	11688,2976445396
2012	50006	Ainzón	9816,99752883031
2012	50008	Alagón	13877,5420678108
2012	50017	Alfajarín	13833,9986719788
2012	50018	Alfamén	9299,86078309509
2012	50020	Alhama de Aragón	12623,7758007117
2012	50025	Almunia de Doña Godina (La)	13710,0829055441
2012	50034	Ariza	10933,9005704971
2012	50038	Ateca	10992,1886612673
2012	50045	Belchite	10610,9921450151
2012	50051	Biota	9436,46039142591
2012	50055	Borja	14297,9992090172
2012	50057	Brea de Aragón	11351,0685236769
2012	50059	Bujaraloz	12236,9810246679
2012	50062	Burgo de Ebro (El)	13908,0867541261
2012	50066	Cadrete	15952,9429092013
2012	50067	Calatayud	15750,1143855672
2012	50068	Calatorao	11008,3774461028
2012	50073	Cariñena	12943,3485442329
2012	50074	Caspe	12609,4406676783
2012	50089	Cuarte de Huerva	17117,2063690591
2012	50094	Daroca	15954,7145979021
2012	50095	Ejea de los Caballeros	13873,287427241
2012	50099	Épila	11405,1224188791
2012	50101	Escatrón	12852,1244483672
2012	50102	Fabara	7985,08685258964
2012	50107	Figueruelas	16306,2639939486
2012	50115	Fuentes de Ebro	12328,5184618746
2012	50118	Gallur	14113,4628730049
2012	50119	Gelsa	10315,683716965
2012	50126	Illueca	13658,4352583587
2012	50132	Joyosa (La)	11985,4038461538
2012	50137	Leciñena	8997,1684532925
2012	50147	Luceni	10412,633492823
2012	50152	Maella	9652,62890231621
2012	50153	Magallón	9587,17301324503
2012	50159	Maluenda	9298,22172751558
2012	50160	Mallén	10332,5646203554
2012	50163	María de Huerva	13807,6015194682
2012	50165	Mequinenza	12998,7623519804
2012	50175	Morata de Jalón	10162,5015797788
2012	50181	Muel	12622,0166787527
2012	50182	Muela (La)	12974,6590280522
2012	50189	Nonaspe	8767,03947368421
2012	50203	Pastriz	13706,5102639296
2012	50204	Pedrola	12301,0383597884
2012	50208	Pina de Ebro	13260,379886148
2012	50209	Pinseque	12229,5152339499
2012	50219	Puebla de Alfindén (La)	14868,6521506336
2012	50222	Quinto	11271,8199325951
2012	50223	Remolinos	10779,696444059
2012	50225	Ricla	8945,90621079046
2012	50230	Sádaba	10663,1610653139
2012	50235	San Mateo de Gállego	13047,5117162761
2012	50240	Sástago	12542,6437598736
2012	50247	Sobradiel	13491,934888241
2012	50251	Tarazona	13346,0428054299
2012	50252	Tauste	13171,3489569222
2012	50262	Torres de Berrellén	12550,161078238
2012	50272	Utebo	15723,757507795
2012	50288	Villanueva de Gállego	16260,5510735198
2012	50297	Zaragoza	16798,3364948854
2012	50298	Zuera	14190,9273714138
2012	50903	Villamayor de Gállego	12050,7582804792
2011	22007	Albalate de Cinca	10756,1691818904
2011	22017	Alcolea de Cinca	14756,3535620053
2011	22021	Almudévar	13541,2015625
2011	22025	Altorricón	12146,0750670241
2011	22039	Ayerbe	13138,9653333333
2011	22048	Barbastro	17842,2848112379
2011	22052	Belver de Cinca	9791,37918486172
2011	22053	Benabarre	12873,5991525424
2011	22054	Benasque	18777,481216458
2011	22059	Biescas	18763,3155917345
2011	22060	Binaced	12690,2188552189
2011	22061	Binéfar	15860,5381775997
2011	22112	Fraga	15637,7058089561
2011	22116	Grañén	11759,2515090543
2011	22117	Graus	15401,7679199351
2011	22119	Gurrea de Gállego	11921,2453058752
2011	22125	Huesca	20325,0465267052
2011	22130	Jaca	21556,2743815324
2011	22137	Lanaja	9613,9094858798
2011	22158	Monzón	16083,3004937554
2011	22199	Sabiñánigo	17111,9108748188
