Año	Renta disponible bruta	Renta disponible bruta per cápita	Código	Provincia
2017	15852825281	16626,1751939724	50	Zaragoza
2017	1929531837	14233,5745784217	44	Teruel
2017	3593146890	16354,6389655078	22	Huesca
2016	15374834816	16175,404090659	50	Zaragoza
2016	1888008697	13783,399380918	44	Teruel
2016	3465887494	15677,1447943948	22	Huesca
2015	14961723668	15650,2403415878	50	Zaragoza
2015	1830772290	13177,4702012495	44	Teruel
2015	3368072052	15109,6279288858	22	Huesca
2014	14573734257	15179,2180872837	50	Zaragoza
2014	1799588065	12820,7748726534	44	Teruel
2014	3299310675	14669,5360123428	22	Huesca
2013	14755222122	15077,3034789166	50	Zaragoza
2013	1821320647	12809,6934724967	44	Teruel
2013	3344858224	14778,7434398597	22	Huesca
2012	14646357838	14973,8356230767	50	Zaragoza
2012	1896180906	13192,8427724591	44	Teruel
2012	3469997271	15245,43085291	22	Huesca
2011	15477074678	15901,2402619885	50	Zaragoza
2011	2019651703	13966,4864287344	44	Teruel
2011	3681770617	16122,5893081568	22	Huesca
2010	15258976632	15678,3408942391	50	Zaragoza
2010	1990236142	13699,5955450622	44	Teruel
2010	3635268220	15904,6761985597	22	Huesca
2009	15413361372	15884,9375119163	50	Zaragoza
2009	1971542165	13434,6080435568	44	Teruel
2009	3707584465	16232,2170536187	22	Huesca
2008	15609514547	16339,5150613981	50	Zaragoza
2008	1969609518	13460,6046718242	44	Teruel
2008	3712227920	16478,9427844685	22	Huesca
2007	14783123134	15853,1811556436	50	Zaragoza
2007	1848175463	12830,4532093914	44	Teruel
2007	3571305401	16225,3149649943	22	Huesca
2006	14045911491	15312,4334898091	50	Zaragoza
2006	1746246194	12283,6676561621	44	Teruel
2006	3379084323	15498,7516133619	22	Huesca
2005	13200431088	14473,0142883457	50	Zaragoza
2005	1641677856	11635,5958636625	44	Teruel
2005	3142023051	14555,5676305452	22	Huesca
2004	12385178415	13801,9484203488	50	Zaragoza
2004	1548994919	11117,2150100838	44	Teruel
2004	2959283674	13899,8110577217	22	Huesca
2003	11921353053	13545,1758207422	50	Zaragoza
2003	1465699558	10568,4752462397	44	Teruel
2003	2831905388	13403,1851992087	22	Huesca
2002	11151938164	12800,5314040603	50	Zaragoza
2002	1401646180	10205,5174673443	44	Teruel
2002	2672514657	12789,4156238186	22	Huesca
2001	10443046911	12177,5572825383	50	Zaragoza
2001	1298178949	9529,10784464851	44	Teruel
2001	2493124140	12105,1887062708	22	Huesca
2000	9801747581	11558,5828178103	50	Zaragoza
2000	1195899996	8762,90545382603	44	Teruel
2000	2284613423	11121,1284768534	22	Huesca
