'Aragón'	Año	VAB	Sector VAB código	Sector VAB descripción
Aragón	2007	1402955,2	10	Agricultura
Aragón	2007	916093	21	Energía
Aragón	2007	6098398	22	Industria
Aragón	2007	3598841,9	30	Construcción
Aragón	2007	17495826,5	40	Servicios
Aragón	2006	1211409,9	10	Agricultura
Aragón	2006	790410,6	21	Energía
Aragón	2006	5590411	22	Industria
Aragón	2006	3216258,4	30	Construcción
Aragón	2006	16144519,9	40	Servicios
Aragón	2005	1180629,1	10	Agricultura
Aragón	2005	804230,3	21	Energía
Aragón	2005	5191701,8	22	Industria
Aragón	2005	2825180,1	30	Construcción
Aragón	2005	15031484,8	40	Servicios
Aragón	2004	1335865,2	10	Agricultura
Aragón	2004	758296	21	Energía
Aragón	2004	4946087,6	22	Industria
Aragón	2004	2363877	30	Construcción
Aragón	2004	13949223,4	40	Servicios
Aragón	2003	1340480,7	10	Agricultura
Aragón	2003	729750,7	21	Energía
Aragón	2003	4798138,2	22	Industria
Aragón	2003	2039959	30	Construcción
Aragón	2003	13026914	40	Servicios
Aragón	2002	1254831,8	10	Agricultura
Aragón	2002	699652,5	21	Energía
Aragón	2002	4614917,4	22	Industria
Aragón	2002	1825062	30	Construcción
Aragón	2002	12186898	40	Servicios
Aragón	2001	1238507,1	10	Agricultura
Aragón	2001	626028,3	21	Energía
Aragón	2001	4308192,2	22	Industria
Aragón	2001	1595109	30	Construcción
Aragón	2001	11272980,2	40	Servicios
Aragón	2000	1143930,1	10	Agricultura
Aragón	2000	629239,2	21	Energía
Aragón	2000	4143320,7	22	Industria
Aragón	2000	1402689,1	30	Construcción
Aragón	2000	10402412,4	40	Servicios
