Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción	Subsección código	Subsección descripción
2007	01	La Jacetania	9929,6	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	01	La Jacetania	705	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	01	La Jacetania	5144,1	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	01	La Jacetania	3078,4	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	01	La Jacetania	286,9	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	01	La Jacetania	884	22	Industria	DD	Industria de la madera y del corcho
2007	01	La Jacetania	767,4	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	01	La Jacetania	0	22	Industria	DG	Industria química
2007	01	La Jacetania	0	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	01	La Jacetania	550	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	01	La Jacetania	2047,6	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	01	La Jacetania	887,7	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	01	La Jacetania	358,1	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	01	La Jacetania	0	22	Industria	DM	Fabricación de material de transporte
2007	01	La Jacetania	1658,5	22	Industria	DN	Industrias manufactureras diversas
2007	01	La Jacetania	50575,5	30	Construcción	FF	Construcción
2007	01	La Jacetania	29134,8	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	01	La Jacetania	69523,9	40	Servicios	HH	Hostelería
2007	01	La Jacetania	12922	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	01	La Jacetania	2147,6	40	Servicios	JJ	Intermediación financiera
2007	01	La Jacetania	37531,4	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	01	La Jacetania	23060,9	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	01	La Jacetania	10310,8	40	Servicios	MM	Educación
2007	01	La Jacetania	12288,4	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	01	La Jacetania	16090,5	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	01	La Jacetania	2709,3	40	Servicios	PP	Hogares que emplean personal doméstico
2007	02	Alto Gállego	2842,9	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	02	Alto Gállego	646,8	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	02	Alto Gállego	19672,2	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	02	Alto Gállego	780,7	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	02	Alto Gállego	135,6	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	02	Alto Gállego	1474,2	22	Industria	DD	Industria de la madera y del corcho
2007	02	Alto Gállego	351,2	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	02	Alto Gállego	16653,2	22	Industria	DG	Industria química
2007	02	Alto Gállego	42	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	02	Alto Gállego	3195,5	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	02	Alto Gállego	20513,4	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	02	Alto Gállego	124,6	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	02	Alto Gállego	212,2	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	02	Alto Gállego	0	22	Industria	DM	Fabricación de material de transporte
2007	02	Alto Gállego	1216,9	22	Industria	DN	Industrias manufactureras diversas
2007	02	Alto Gállego	52086,2	30	Construcción	FF	Construcción
2007	02	Alto Gállego	22518,9	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	02	Alto Gállego	80438,5	40	Servicios	HH	Hostelería
2007	02	Alto Gállego	13797,7	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	02	Alto Gállego	1375,9	40	Servicios	JJ	Intermediación financiera
2007	02	Alto Gállego	24004,7	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	02	Alto Gállego	15905,7	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	02	Alto Gállego	3927,9	40	Servicios	MM	Educación
2007	02	Alto Gállego	6849,5	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	02	Alto Gállego	19777,3	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	02	Alto Gállego	1161,2	40	Servicios	PP	Hogares que emplean personal doméstico
2007	03	Sobrarbe	7658,3	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	03	Sobrarbe	735,3	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	03	Sobrarbe	11469,8	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	03	Sobrarbe	604,8	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	03	Sobrarbe	1,6	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	03	Sobrarbe	927,7	22	Industria	DD	Industria de la madera y del corcho
2007	03	Sobrarbe	46,3	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	03	Sobrarbe	0	22	Industria	DG	Industria química
2007	03	Sobrarbe	0	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	03	Sobrarbe	49,5	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	03	Sobrarbe	218,3	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	03	Sobrarbe	55,8	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	03	Sobrarbe	45	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	03	Sobrarbe	0	22	Industria	DM	Fabricación de material de transporte
2007	03	Sobrarbe	334,4	22	Industria	DN	Industrias manufactureras diversas
2007	03	Sobrarbe	24479,8	30	Construcción	FF	Construcción
2007	03	Sobrarbe	8098,9	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	03	Sobrarbe	43843,9	40	Servicios	HH	Hostelería
2007	03	Sobrarbe	3024,1	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	03	Sobrarbe	661,9	40	Servicios	JJ	Intermediación financiera
2007	03	Sobrarbe	9843,5	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	03	Sobrarbe	9790	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	03	Sobrarbe	523,7	40	Servicios	MM	Educación
2007	03	Sobrarbe	1898,2	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	03	Sobrarbe	2968,1	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	03	Sobrarbe	660,7	40	Servicios	PP	Hogares que emplean personal doméstico
2007	04	La Ribagorza	27425,1	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	04	La Ribagorza	2291,2	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	04	La Ribagorza	21544,4	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	04	La Ribagorza	12586,4	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	04	La Ribagorza	593,5	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	04	La Ribagorza	766,2	22	Industria	DD	Industria de la madera y del corcho
2007	04	La Ribagorza	185,3	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	04	La Ribagorza	0	22	Industria	DG	Industria química
2007	04	La Ribagorza	0	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	04	La Ribagorza	73,5	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	04	La Ribagorza	1044,7	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	04	La Ribagorza	231,2	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	04	La Ribagorza	299,7	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	04	La Ribagorza	0	22	Industria	DM	Fabricación de material de transporte
2007	04	La Ribagorza	590,5	22	Industria	DN	Industrias manufactureras diversas
2007	04	La Ribagorza	40641,5	30	Construcción	FF	Construcción
2007	04	La Ribagorza	17364,5	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	04	La Ribagorza	43261,1	40	Servicios	HH	Hostelería
2007	04	La Ribagorza	5834,9	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	04	La Ribagorza	998,3	40	Servicios	JJ	Intermediación financiera
2007	04	La Ribagorza	23864,1	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	04	La Ribagorza	20740,3	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	04	La Ribagorza	4202,9	40	Servicios	MM	Educación
2007	04	La Ribagorza	6009,3	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	04	La Ribagorza	12616,6	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	04	La Ribagorza	868,6	40	Servicios	PP	Hogares que emplean personal doméstico
2007	05	Cinco Villas	114136,4	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	05	Cinco Villas	560,3	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	05	Cinco Villas	16938,2	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	05	Cinco Villas	13532,1	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	05	Cinco Villas	246,5	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	05	Cinco Villas	1443,7	22	Industria	DD	Industria de la madera y del corcho
2007	05	Cinco Villas	42351,4	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	05	Cinco Villas	89,8	22	Industria	DG	Industria química
2007	05	Cinco Villas	3715	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	05	Cinco Villas	36050,4	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	05	Cinco Villas	11232	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	05	Cinco Villas	10957,2	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	05	Cinco Villas	8739,1	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	05	Cinco Villas	20777,3	22	Industria	DM	Fabricación de material de transporte
2007	05	Cinco Villas	5348,6	22	Industria	DN	Industrias manufactureras diversas
2007	05	Cinco Villas	124732,8	30	Construcción	FF	Construcción
2007	05	Cinco Villas	41424,3	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	05	Cinco Villas	32041,4	40	Servicios	HH	Hostelería
2007	05	Cinco Villas	17881	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	05	Cinco Villas	6691,5	40	Servicios	JJ	Intermediación financiera
2007	05	Cinco Villas	24978,3	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	05	Cinco Villas	26638,5	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	05	Cinco Villas	8975,3	40	Servicios	MM	Educación
2007	05	Cinco Villas	13605,7	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	05	Cinco Villas	9234,3	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	05	Cinco Villas	1851,7	40	Servicios	PP	Hogares que emplean personal doméstico
2007	06	Hoya de Huesca / Plana de Uesca	78798,6	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	06	Hoya de Huesca / Plana de Uesca	1332,4	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	06	Hoya de Huesca / Plana de Uesca	21934	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	06	Hoya de Huesca / Plana de Uesca	20089	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	06	Hoya de Huesca / Plana de Uesca	1216,8	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	06	Hoya de Huesca / Plana de Uesca	4101,8	22	Industria	DD	Industria de la madera y del corcho
2007	06	Hoya de Huesca / Plana de Uesca	7697,2	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	06	Hoya de Huesca / Plana de Uesca	3228	22	Industria	DG	Industria química
2007	06	Hoya de Huesca / Plana de Uesca	3909,8	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	06	Hoya de Huesca / Plana de Uesca	10162,5	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	06	Hoya de Huesca / Plana de Uesca	25372	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	06	Hoya de Huesca / Plana de Uesca	14042,3	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	06	Hoya de Huesca / Plana de Uesca	1673,6	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	06	Hoya de Huesca / Plana de Uesca	2378,1	22	Industria	DM	Fabricación de material de transporte
2007	06	Hoya de Huesca / Plana de Uesca	8806,4	22	Industria	DN	Industrias manufactureras diversas
2007	06	Hoya de Huesca / Plana de Uesca	225004,3	30	Construcción	FF	Construcción
2007	06	Hoya de Huesca / Plana de Uesca	135647	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	06	Hoya de Huesca / Plana de Uesca	97224,5	40	Servicios	HH	Hostelería
2007	06	Hoya de Huesca / Plana de Uesca	93386,9	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	06	Hoya de Huesca / Plana de Uesca	90861,7	40	Servicios	JJ	Intermediación financiera
2007	06	Hoya de Huesca / Plana de Uesca	208808,7	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	06	Hoya de Huesca / Plana de Uesca	232856,9	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	06	Hoya de Huesca / Plana de Uesca	56509,6	40	Servicios	MM	Educación
2007	06	Hoya de Huesca / Plana de Uesca	153891,7	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	06	Hoya de Huesca / Plana de Uesca	62466	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	06	Hoya de Huesca / Plana de Uesca	6744,9	40	Servicios	PP	Hogares que emplean personal doméstico
2007	07	Somontano de Barbastro	47404,7	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	07	Somontano de Barbastro	332,7	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	07	Somontano de Barbastro	13941,9	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	07	Somontano de Barbastro	20348	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	07	Somontano de Barbastro	4523,5	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	07	Somontano de Barbastro	2168,2	22	Industria	DD	Industria de la madera y del corcho
2007	07	Somontano de Barbastro	6009,4	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	07	Somontano de Barbastro	51825	22	Industria	DG	Industria química
2007	07	Somontano de Barbastro	300,5	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	07	Somontano de Barbastro	4930,6	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	07	Somontano de Barbastro	6531,3	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	07	Somontano de Barbastro	6960,6	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	07	Somontano de Barbastro	1643,5	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	07	Somontano de Barbastro	687,5	22	Industria	DM	Fabricación de material de transporte
2007	07	Somontano de Barbastro	1319,6	22	Industria	DN	Industrias manufactureras diversas
2007	07	Somontano de Barbastro	62486,9	30	Construcción	FF	Construcción
2007	07	Somontano de Barbastro	42345,7	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	07	Somontano de Barbastro	36333,2	40	Servicios	HH	Hostelería
2007	07	Somontano de Barbastro	11212,3	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	07	Somontano de Barbastro	2636,1	40	Servicios	JJ	Intermediación financiera
2007	07	Somontano de Barbastro	34022,8	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	07	Somontano de Barbastro	15867,1	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	07	Somontano de Barbastro	12739,5	40	Servicios	MM	Educación
2007	07	Somontano de Barbastro	58478,7	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	07	Somontano de Barbastro	14592,3	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	07	Somontano de Barbastro	1603,7	40	Servicios	PP	Hogares que emplean personal doméstico
2007	08	Cinca Medio	80567,1	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	08	Cinca Medio	983,3	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	08	Cinca Medio	12743,5	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	08	Cinca Medio	11168,1	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	08	Cinca Medio	2859,8	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	08	Cinca Medio	495,8	22	Industria	DD	Industria de la madera y del corcho
2007	08	Cinca Medio	48842,3	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	08	Cinca Medio	29376,6	22	Industria	DG	Industria química
2007	08	Cinca Medio	5131	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	08	Cinca Medio	9595,2	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	08	Cinca Medio	14338,5	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	08	Cinca Medio	20889,2	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	08	Cinca Medio	4506,3	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	08	Cinca Medio	27,6	22	Industria	DM	Fabricación de material de transporte
2007	08	Cinca Medio	2843,5	22	Industria	DN	Industrias manufactureras diversas
2007	08	Cinca Medio	82061,4	30	Construcción	FF	Construcción
2007	08	Cinca Medio	38312,1	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	08	Cinca Medio	22216	40	Servicios	HH	Hostelería
2007	08	Cinca Medio	20536,3	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	08	Cinca Medio	4913,6	40	Servicios	JJ	Intermediación financiera
2007	08	Cinca Medio	40333,5	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	08	Cinca Medio	13512,6	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	08	Cinca Medio	11836,1	40	Servicios	MM	Educación
2007	08	Cinca Medio	11406,7	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	08	Cinca Medio	10174	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	08	Cinca Medio	1037,1	40	Servicios	PP	Hogares que emplean personal doméstico
2007	09	La Litera / La Llitera	119864,9	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	09	La Litera / La Llitera	992,4	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	09	La Litera / La Llitera	5967,3	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	09	La Litera / La Llitera	40181,2	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	09	La Litera / La Llitera	1121,5	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	09	La Litera / La Llitera	3060	22	Industria	DD	Industria de la madera y del corcho
2007	09	La Litera / La Llitera	196,7	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	09	La Litera / La Llitera	2492,7	22	Industria	DG	Industria química
2007	09	La Litera / La Llitera	1021	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	09	La Litera / La Llitera	3166,9	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	09	La Litera / La Llitera	10457,3	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	09	La Litera / La Llitera	8537,6	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	09	La Litera / La Llitera	10731,3	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	09	La Litera / La Llitera	7975,8	22	Industria	DM	Fabricación de material de transporte
2007	09	La Litera / La Llitera	1387,7	22	Industria	DN	Industrias manufactureras diversas
2007	09	La Litera / La Llitera	69251,2	30	Construcción	FF	Construcción
2007	09	La Litera / La Llitera	37867,6	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	09	La Litera / La Llitera	14885,1	40	Servicios	HH	Hostelería
2007	09	La Litera / La Llitera	11284,4	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	09	La Litera / La Llitera	3700,3	40	Servicios	JJ	Intermediación financiera
2007	09	La Litera / La Llitera	58362,3	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	09	La Litera / La Llitera	17104,7	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	09	La Litera / La Llitera	4765,9	40	Servicios	MM	Educación
2007	09	La Litera / La Llitera	3447,2	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	09	La Litera / La Llitera	10094,4	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	09	La Litera / La Llitera	1061,9	40	Servicios	PP	Hogares que emplean personal doméstico
2007	10	Los Monegros	183165,4	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	10	Los Monegros	58,7	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	10	Los Monegros	10251	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
2007	10	Los Monegros	5655,4	22	Industria	DA	Industria de la alimentación, bebidas y tabaco
2007	10	Los Monegros	315,6	22	Industria	DB,DC	Industria textil, cuero y calzado
2007	10	Los Monegros	193,3	22	Industria	DD	Industria de la madera y del corcho
2007	10	Los Monegros	0	22	Industria	DE	Industria del papel; edición, artes gráficas y reproducción de soportes grabados
2007	10	Los Monegros	0	22	Industria	DG	Industria química
2007	10	Los Monegros	824,9	22	Industria	DH	Industria de la transformación del caucho y materias plásticas
2007	10	Los Monegros	1981,2	22	Industria	DI	Industrias de otros productos minerales no metálicos
2007	10	Los Monegros	1286,5	22	Industria	DJ	Metalurgia y fabricación de productos metálicos
2007	10	Los Monegros	3875,1	22	Industria	DK	Industria de la construcción de maquinaria y equipo mecánico
2007	10	Los Monegros	1092,1	22	Industria	DL	Industria de material y equipo eléctrico, electrónico y óptico
2007	10	Los Monegros	2929,3	22	Industria	DM	Fabricación de material de transporte
2007	10	Los Monegros	2439	22	Industria	DN	Industrias manufactureras diversas
2007	10	Los Monegros	68350,3	30	Construcción	FF	Construcción
2007	10	Los Monegros	24363,8	40	Servicios	GG	Comercio, reparación de vehículos de motor, motocicletas y ciclomotores y artículos personales y de uso doméstico
2007	10	Los Monegros	18714	40	Servicios	HH	Hostelería
2007	10	Los Monegros	9629,8	40	Servicios	II	Transporte, almacenamiento y comunicaciones
2007	10	Los Monegros	1120,1	40	Servicios	JJ	Intermediación financiera
2007	10	Los Monegros	11414,5	40	Servicios	KK	Actividades inmobiliarias y de alquiler; servicios empresariales
2007	10	Los Monegros	11714,2	40	Servicios	LL	Administración pública, defensa y seguridad social
2007	10	Los Monegros	1361,7	40	Servicios	MM	Educación
2007	10	Los Monegros	7762,4	40	Servicios	NN	Actividades sanitarias y veterinarias; servicios sociales
2007	10	Los Monegros	6952,9	40	Servicios	OO	Otras actividades sociales y de servicios prestados a la comunidad; servicios personales
2007	10	Los Monegros	1075,2	40	Servicios	PP	Hogares que emplean personal doméstico
2007	11	Bajo Cinca / Baix Cinca	129621,7	10	Agricultura	AA,BB	Agricultura, ganadería, caza, selvicultura y pesca
2007	11	Bajo Cinca / Baix Cinca	1303,5	21	Energía	CA,CB,DF	Extractivas y del petróleo
2007	11	Bajo Cinca / Baix Cinca	18035,4	21	Energía	EE	Producción y distribución de energía eléctrica, gas y agua
