Año	Salario Perceptores	Salario Percepciones por persona	Salario Retribución	Salario medio por persona	Pensión Perceptores	Pensión Percepciones por persona	Pensión media por persona	Desempleo Perceptores	Desempleo medio por percepción	Provincia código	Provincia nombre
2010	94969	1,26	1707407917	17979	54936	1,14	11462	22772	3818	22	Huesca
2010	56510	1,24	1012575463	17919	37263	1,13	11519	14588	3768	44	Teruel
2010	433259	1,25	8797856999	20306	219120	1,14	12946	120615	3838	50	Zaragoza
2009	96718	1,27	1754673743	18142	54594	1,14	10980	20859	3841	22	Huesca
2009	57691	1,24	1034185126	17926	37432	1,14	11073	13980	3696	44	Teruel
2009	440778	1,25	8939962995	20282	217118	1,14	12483	116490	3981	50	Zaragoza
2008	99825	1,32	1815143367	18183	53820	1,21	10725	16093	2984	22	Huesca
2008	60944	1,32	1076781027	17668	37382	1,14	10845	10314	2955	44	Teruel
2008	463350	1,35	9496742736	20496	215035	1,14	12115	77626	3148	50	Zaragoza
2007	98937	1,38	1712039127	17304	52636	1,15	9982	12189	2825	22	Huesca
2007	62043	1,37	1036204208	16701	37229	1,14	10229	7810	3010	44	Teruel
2007	451140	1,4	8873094268	19668	207263	1,14	11447	55770	3017	50	Zaragoza
2006	94661	1,36	1558336616	16462	51795	1,15	9736	11351	2741	22	Huesca
2006	57914	1,33	920723587	15898	36781	1,14	9955	7058	3104	44	Teruel
2006	439487	1,37	8141383543	18525	201979	1,15	11246	53427	2996	50	Zaragoza
2005	91687	1,35	1418809860	15474	51626	1,15	9157	10438	2687	22	Huesca
2005	54782	1,32	835986747	15260	36880	1,14	9406	6524	2964	44	Teruel
2005	424214	1,35	7460847383	17587	199199	1,14	10490	51023	2860	50	Zaragoza
2004	85770	1,35	1311092604	15286	51357	1,14	8650	10144	2483	22	Huesca
2004	51653	1,32	771194024	14930	36834	1,13	8995	6303	2834	44	Teruel
2004	401643	1,33	6910342099	17205	196628	1,15	9844	55886	2445	50	Zaragoza
2003	85502	1,33	1227114521	14352	51898	1,14	8325	10126	2336	22	Huesca
2003	50907	1,3	724431941	14230	38186	1,12	8540	6244	2858	44	Teruel
2003	399278	1,33	6564521028	16441	199752	1,13	9228	50769	2632	50	Zaragoza
2002	82274	1,3	1131187864	13749	52559	1,14	7815	9529	2238	22	Huesca
2002	48756	1,26	664416197	13627	38923	1,13	8271	6300	2929	44	Teruel
2002	387274	1,3	6076697357	15691	200192	1,13	8583	49301	2643	50	Zaragoza
2001	79872	1,3	1053081053	13185	52646	1,13	7601	9026	2086	22	Huesca
2001	47340	1,26	618781845	13071	39300	1,12	7673	5900	2810	44	Teruel
2001	379188	1,3	5709216393	15056	198709	1,13	8336	53207	2223	50	Zaragoza
2000	77404	1,31	970164083	12534	52121	1,12	7015	8091	2109	22	Huesca
2000	46670	1,26	567055370	12150	39442	1,1	7149	5356	2827	44	Teruel
2000	366327	1,32	5294453649	14453	197083	1,12	7781	42253	2284	50	Zaragoza
1999	73709	1,29	889330957	12065	52049	1,12	6711	8272	2091	22	Huesca
1999	43848	1,27	521312534	11889	39023	1,09	6804	5371	2967	44	Teruel
1999	350976	1,29	4836321165	13780	196074	1,13	7463	48520	1983	50	Zaragoza
