Año	Comarca código	Comarca nombre	Tipo licencias código	Tipo licencias descripción	Licencias
2010	01	La Jacetania	OT	Operaciones de transporte	2
2010	01	La Jacetania	VD-N	Transporte de viajeros nacionales servicio público	23
2010	01	La Jacetania	VS-N	Ambulancias nacionales servicio público	5
2010	01	La Jacetania	VT-N	Licencias taxi	25
2010	01	La Jacetania	MDL-N	Transporte mercancías ligeras nacionales servicio público	32
2010	01	La Jacetania	MDP-N	Transporte mercancías pesadas nacionales servicio público	107
2010	01	La Jacetania	MPC-N	Transporte mercancías propias nacional	64
2010	01	La Jacetania	VPC-N	Transporte privado de viajeros nacional	3
2010	01	La Jacetania	VTC-N	Transporte de alquiler con conductor nacional	0
2010	01	La Jacetania	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	13
2010	01	La Jacetania	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	36
2010	01	La Jacetania	MPCE-N	transporte mercancías propias nacional autorizado por empresa	43
2010	01	La Jacetania	VSPC-N	Transporte privado ambulancias nacional	1
2010	02	Alto Gállego	OT	Operaciones de transporte	4
2010	02	Alto Gállego	VD-N	Transporte de viajeros nacionales servicio público	0
2010	02	Alto Gállego	VS-N	Ambulancias nacionales servicio público	1
2010	02	Alto Gállego	VT-N	Licencias taxi	15
2010	02	Alto Gállego	MDL-N	Transporte mercancías ligeras nacionales servicio público	13
2010	02	Alto Gállego	MDP-N	Transporte mercancías pesadas nacionales servicio público	187
2010	02	Alto Gállego	MPC-N	Transporte mercancías propias nacional	33
2010	02	Alto Gállego	VPC-N	Transporte privado de viajeros nacional	1
2010	02	Alto Gállego	VTC-N	Transporte de alquiler con conductor nacional	1
2010	02	Alto Gállego	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	8
2010	02	Alto Gállego	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	34
2010	02	Alto Gállego	MPCE-N	transporte mercancías propias nacional autorizado por empresa	23
2010	02	Alto Gállego	VSPC-N	Transporte privado ambulancias nacional	0
2010	03	Sobrarbe	OT	Operaciones de transporte	0
2010	03	Sobrarbe	VD-N	Transporte de viajeros nacionales servicio público	12
2010	03	Sobrarbe	VS-N	Ambulancias nacionales servicio público	0
2010	03	Sobrarbe	VT-N	Licencias taxi	31
2010	03	Sobrarbe	MDL-N	Transporte mercancías ligeras nacionales servicio público	15
2010	03	Sobrarbe	MDP-N	Transporte mercancías pesadas nacionales servicio público	65
2010	03	Sobrarbe	MPC-N	Transporte mercancías propias nacional	43
2010	03	Sobrarbe	VPC-N	Transporte privado de viajeros nacional	0
