Año	VAB	Rama código	Rama	CCAA código	CCAA nombre
2008	1197805,9	A	Agricultura, ganadería, silvicultura y pesca	00	No aplicable
2009	1188340,2	A	Agricultura, ganadería, silvicultura y pesca	00	No aplicable
2008	1341900,8	B+E	Extractivas; Energía y Agua	00	No aplicable
2009	1318759,7	B+E	Extractivas; Energía y Agua	00	No aplicable
2008	5700011,9	C	Industria manufacturera	00	No aplicable
2009	4729215,9	C	Industria manufacturera	00	No aplicable
2008	4678884,4	F	Construcción	00	No aplicable
2009	4475231,1	F	Construcción	00	No aplicable
2008	6564941,7	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	00	No aplicable
2009	6547437,1	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	00	No aplicable
2008	757787,1	J	Información y comunicaciones	00	No aplicable
2009	833201,1	J	Información y comunicaciones	00	No aplicable
2008	1600377,3	K	Actividades financieras y de seguros	00	No aplicable
2009	1687531,3	K	Actividades financieras y de seguros	00	No aplicable
2008	1851224	L	Actividades inmobiliarias	00	No aplicable
2009	1719219	L	Actividades inmobiliarias	00	No aplicable
2008	1699151	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	00	No aplicable
2009	1610680,1	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	00	No aplicable
2008	5431370	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	00	No aplicable
2009	5741085,5	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	00	No aplicable
2008	955919,1	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	00	No aplicable
2009	939486	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	00	No aplicable
