Año	Comarca código	Comarca nombre	Rama código	Rama descripción	VAB
2016	01	La Jacetania	9999	Sin Clasificar	413525
2016	02	Alto Gállego	9999	Sin Clasificar	387866
2016	03	Sobrarbe	9999	Sin Clasificar	195161
2016	04	La Ribagorza	9999	Sin Clasificar	370100
2016	05	Cinco Villas	9999	Sin Clasificar	679279
2016	06	Hoya de Huesca / Plana de Uesca	9999	Sin Clasificar	1578660
2016	07	Somontano de Barbastro	9999	Sin Clasificar	587027
2016	08	Cinca Medio	9999	Sin Clasificar	561543
2016	09	La Litera / La Llitera	9999	Sin Clasificar	453899
2016	10	Los Monegros	9999	Sin Clasificar	463102
2016	11	Bajo Cinca / Baix Cinca	9999	Sin Clasificar	539199
2016	12	Tarazona y el Moncayo	9999	Sin Clasificar	235512
2016	13	Campo de Borja	9999	Sin Clasificar	345658
2016	14	Aranda	9999	Sin Clasificar	142910
2016	15	Ribera Alta del Ebro	9999	Sin Clasificar	1193858
2016	16	Valdejalón	9999	Sin Clasificar	735930
2016	17	D.C. Zaragoza	9999	Sin Clasificar	17457657
2016	18	Ribera Baja del Ebro	9999	Sin Clasificar	312383
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9999	Sin Clasificar	246232
2016	20	Comunidad de Calatayud	9999	Sin Clasificar	665693
2016	21	Campo de Cariñena	9999	Sin Clasificar	315754
2016	22	Campo de Belchite	9999	Sin Clasificar	141848
2016	23	Bajo Martín	9999	Sin Clasificar	205977
2016	24	Campo de Daroca	9999	Sin Clasificar	162312
2016	25	Jiloca	9999	Sin Clasificar	257826
2016	26	Cuencas Mineras	9999	Sin Clasificar	179274
2016	27	Andorra-Sierra de Arcos	9999	Sin Clasificar	274975
2016	28	Bajo Aragón	9999	Sin Clasificar	653892
2016	29	Comunidad de Teruel	9999	Sin Clasificar	1226153
2016	30	Maestrazgo	9999	Sin Clasificar	62822
2016	31	Sierra de Albarracín	9999	Sin Clasificar	83661
2016	32	Gúdar-Javalambre	9999	Sin Clasificar	184889
2016	33	Matarraña / Matarranya	9999	Sin Clasificar	169255
2015	01	La Jacetania	9999	Sin Clasificar	395007
2015	02	Alto Gállego	9999	Sin Clasificar	370821
2015	03	Sobrarbe	9999	Sin Clasificar	187623
2015	04	La Ribagorza	9999	Sin Clasificar	352716
2015	05	Cinco Villas	9999	Sin Clasificar	660155
2015	06	Hoya de Huesca / Plana de Uesca	9999	Sin Clasificar	1514917
2015	07	Somontano de Barbastro	9999	Sin Clasificar	575859
2015	08	Cinca Medio	9999	Sin Clasificar	538954
2015	09	La Litera / La Llitera	9999	Sin Clasificar	445326
2015	10	Los Monegros	9999	Sin Clasificar	442986
2015	11	Bajo Cinca / Baix Cinca	9999	Sin Clasificar	515727
2015	12	Tarazona y el Moncayo	9999	Sin Clasificar	224720
2015	13	Campo de Borja	9999	Sin Clasificar	333418
2015	14	Aranda	9999	Sin Clasificar	139327
2015	15	Ribera Alta del Ebro	9999	Sin Clasificar	1182685
2015	16	Valdejalón	9999	Sin Clasificar	712261
2015	17	D.C. Zaragoza	9999	Sin Clasificar	16988206
2015	18	Ribera Baja del Ebro	9999	Sin Clasificar	311463
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	9999	Sin Clasificar	238765
2015	20	Comunidad de Calatayud	9999	Sin Clasificar	637230
2015	21	Campo de Cariñena	9999	Sin Clasificar	300234
2015	22	Campo de Belchite	9999	Sin Clasificar	136339
2015	23	Bajo Martín	9999	Sin Clasificar	199745
2015	24	Campo de Daroca	9999	Sin Clasificar	153910
2015	25	Jiloca	9999	Sin Clasificar	262517
2015	26	Cuencas Mineras	9999	Sin Clasificar	185355
2015	27	Andorra-Sierra de Arcos	9999	Sin Clasificar	275065
2015	28	Bajo Aragón	9999	Sin Clasificar	615957
2015	29	Comunidad de Teruel	9999	Sin Clasificar	1181256
2015	30	Maestrazgo	9999	Sin Clasificar	61260
2015	31	Sierra de Albarracín	9999	Sin Clasificar	81485
2015	32	Gúdar-Javalambre	9999	Sin Clasificar	174846
2015	33	Matarraña / Matarranya	9999	Sin Clasificar	165683
2014	01	La Jacetania	9999	Sin Clasificar	390579
2014	02	Alto Gállego	9999	Sin Clasificar	352776
2014	03	Sobrarbe	9999	Sin Clasificar	177487
2014	04	La Ribagorza	9999	Sin Clasificar	335769
2014	05	Cinco Villas	9999	Sin Clasificar	639121
2014	06	Hoya de Huesca / Plana de Uesca	9999	Sin Clasificar	1471596
2014	07	Somontano de Barbastro	9999	Sin Clasificar	552702
2014	08	Cinca Medio	9999	Sin Clasificar	505361
2014	09	La Litera / La Llitera	9999	Sin Clasificar	433240
2014	10	Los Monegros	9999	Sin Clasificar	433781
2014	11	Bajo Cinca / Baix Cinca	9999	Sin Clasificar	503333
2014	12	Tarazona y el Moncayo	9999	Sin Clasificar	212879
2014	13	Campo de Borja	9999	Sin Clasificar	350092
2014	14	Aranda	9999	Sin Clasificar	138432
2014	15	Ribera Alta del Ebro	9999	Sin Clasificar	1256424
2014	16	Valdejalón	9999	Sin Clasificar	696295
