Año	Comarca código	Comarca nombre	Número de actividades	Sector código	Sector	Rama código	Rama de actividad
2009	01	La Jacetania	113	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	01	La Jacetania	8	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	01	La Jacetania	20	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	01	La Jacetania	7	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	01	La Jacetania	29	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	01	La Jacetania	1	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	01	La Jacetania	7	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	01	La Jacetania	32	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	01	La Jacetania	2	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	01	La Jacetania	14	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	01	La Jacetania	20	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	01	La Jacetania	7	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	01	La Jacetania	638	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	01	La Jacetania	749	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	01	La Jacetania	112	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	01	La Jacetania	525	4	Servicios	17	Hostelería (cnae 55, 56)
2009	01	La Jacetania	12	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	01	La Jacetania	79	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	01	La Jacetania	244	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	01	La Jacetania	175	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	01	La Jacetania	111	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	01	La Jacetania	73	4	Servicios	23	Educación (cnae 85)
2009	01	La Jacetania	64	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	01	La Jacetania	74	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	01	La Jacetania	110	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	02	Alto Gállego	41	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	02	Alto Gállego	4	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	02	Alto Gállego	12	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	02	Alto Gállego	7	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2009	02	Alto Gállego	15	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	02	Alto Gállego	12	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2009	02	Alto Gállego	8	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	02	Alto Gállego	31	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	02	Alto Gállego	15	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	02	Alto Gállego	42	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	02	Alto Gállego	13	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	02	Alto Gállego	533	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	02	Alto Gállego	551	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	02	Alto Gállego	82	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	02	Alto Gállego	505	4	Servicios	17	Hostelería (cnae 55, 56)
2009	02	Alto Gállego	15	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	02	Alto Gállego	47	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	02	Alto Gállego	195	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	02	Alto Gállego	124	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	02	Alto Gállego	116	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	02	Alto Gállego	43	4	Servicios	23	Educación (cnae 85)
2009	02	Alto Gállego	32	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	02	Alto Gállego	49	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	02	Alto Gállego	85	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
2009	03	Sobrarbe	134	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2009	03	Sobrarbe	5	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2009	03	Sobrarbe	17	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2009	03	Sobrarbe	16	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2009	03	Sobrarbe	9	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2009	03	Sobrarbe	11	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2009	03	Sobrarbe	1	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2009	03	Sobrarbe	5	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2009	03	Sobrarbe	23	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2009	03	Sobrarbe	2	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2009	03	Sobrarbe	372	3	Construcción	14	Construcción (cnae 41, 42, 43)
2009	03	Sobrarbe	311	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2009	03	Sobrarbe	58	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2009	03	Sobrarbe	478	4	Servicios	17	Hostelería (cnae 55, 56)
2009	03	Sobrarbe	13	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2009	03	Sobrarbe	33	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2009	03	Sobrarbe	117	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2009	03	Sobrarbe	88	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2009	03	Sobrarbe	69	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2009	03	Sobrarbe	27	4	Servicios	23	Educación (cnae 85)
2009	03	Sobrarbe	9	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2009	03	Sobrarbe	42	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
2009	03	Sobrarbe	44	4	Servicios	26	Otros servicios (cnae 94, 95, 96)
