Año	Comarca código	Comarca nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2009	01	La Jacetania	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	109
2009	01	La Jacetania	02	Silvicultura y explotación forestal	4
2009	01	La Jacetania	05	Extracción de antracita, hulla y lignito	3
2009	01	La Jacetania	06	Extracción de crudo de petróleo y gas natural	1
2009	01	La Jacetania	08	Otras industrias extractivas	4
2009	01	La Jacetania	10	Industria de la alimentación	20
2009	01	La Jacetania	13	Industria textil	4
2009	01	La Jacetania	14	Confección de prendas de vestir	3
2009	01	La Jacetania	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	22
2009	01	La Jacetania	17	Industria del papel	2
2009	01	La Jacetania	18	Artes gráficas y reproducción de soportes grabados	5
2009	01	La Jacetania	20	Industria química	1
2009	01	La Jacetania	23	Fabricación de otros productos minerales no metálicos	7
2009	01	La Jacetania	25	Fabricación de productos metálicos, excepto maquinaria y equipo	32
2009	01	La Jacetania	27	Fabricación de material y equipo eléctrico	1
2009	01	La Jacetania	28	Fabricación de maquinaria y equipo n.c.o.p.	1
2009	01	La Jacetania	31	Fabricación de muebles	5
2009	01	La Jacetania	32	Otras industrias manufactureras	3
2009	01	La Jacetania	33	Reparación e instalación de maquinaria y equipo	6
2009	01	La Jacetania	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	20
2009	01	La Jacetania	36	Captación, depuración y distribución de agua	2
2009	01	La Jacetania	37	Recogida y tratamiento de aguas residuales	3
2009	01	La Jacetania	38	Recogida, tratamiento y eliminación de residuos; valorización	1
2009	01	La Jacetania	39	Actividades de descontaminación y otros servicios de gestión de residuos	1
2009	01	La Jacetania	41	Construcción de edificios	226
2009	01	La Jacetania	42	Ingeniería civil	28
2009	01	La Jacetania	43	Actividades de construcción especializada	384
2009	01	La Jacetania	45	Venta y reparación de vehículos de motor y motocicletas	49
2009	01	La Jacetania	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	85
2009	01	La Jacetania	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	615
2009	01	La Jacetania	49	Transporte terrestre y por tubería	103
2009	01	La Jacetania	52	Almacenamiento y actividades anexas al transporte	5
2009	01	La Jacetania	53	Actividades postales y de correos	4
2009	01	La Jacetania	55	Servicios de alojamiento	129
2009	01	La Jacetania	56	Servicios de comidas y bebidas	396
2009	01	La Jacetania	58	Edición	4
2009	01	La Jacetania	60	Actividades de programación y emisión de radio y televisión	1
2009	01	La Jacetania	62	Programación, consultoría y otras actividades relacionadas con la informática	3
2009	01	La Jacetania	63	Servicios de información	4
2009	01	La Jacetania	64	Servicios financieros, excepto seguros y fondos de pensiones	30
2009	01	La Jacetania	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	2
2009	01	La Jacetania	66	Actividades auxiliares a los servicios financieros y a los seguros	47
2009	01	La Jacetania	68	Actividades inmobiliarias	244
2009	01	La Jacetania	69	Actividades jurídicas y de contabilidad	57
2009	01	La Jacetania	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	61
2009	01	La Jacetania	72	Investigación y desarrollo	8
2009	01	La Jacetania	73	Publicidad y estudios de mercado	9
2009	01	La Jacetania	74	Otras actividades profesionales, científicas y técnicas	26
2009	01	La Jacetania	75	Actividades veterinarias	14
2009	01	La Jacetania	77	Actividades de alquiler	45
2009	01	La Jacetania	78	Actividades relacionadas con el empleo	2
2009	01	La Jacetania	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	11
2009	01	La Jacetania	81	Servicios a edificios y actividades de jardinería	25
2009	01	La Jacetania	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	28
2009	01	La Jacetania	85	Educación	73
2009	01	La Jacetania	86	Actividades sanitarias	61
2009	01	La Jacetania	87	Asistencia en establecimientos residenciales	3
