Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2009	22048	Barbastro	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	78
2009	22048	Barbastro	02	Silvicultura y explotación forestal	3
2009	22048	Barbastro	05	Extracción de antracita, hulla y lignito	1
2009	22048	Barbastro	08	Otras industrias extractivas	1
2009	22048	Barbastro	10	Industria de la alimentación	32
2009	22048	Barbastro	11	Fabricación de bebidas	17
2009	22048	Barbastro	13	Industria textil	7
2009	22048	Barbastro	14	Confección de prendas de vestir	2
2009	22048	Barbastro	15	Industria del cuero y del calzado	2
2009	22048	Barbastro	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	19
2009	22048	Barbastro	18	Artes gráficas y reproducción de soportes grabados	10
2009	22048	Barbastro	20	Industria química	14
2009	22048	Barbastro	21	Fabricación de productos farmacéuticos	1
2009	22048	Barbastro	22	Fabricación de productos de caucho y plásticos	2
2009	22048	Barbastro	23	Fabricación de otros productos minerales no metálicos	11
2009	22048	Barbastro	25	Fabricación de productos metálicos, excepto maquinaria y equipo	39
2009	22048	Barbastro	27	Fabricación de material y equipo eléctrico	2
2009	22048	Barbastro	28	Fabricación de maquinaria y equipo n.c.o.p.	12
2009	22048	Barbastro	29	Fabricación de vehículos de motor, remolques y semirremolques	3
2009	22048	Barbastro	31	Fabricación de muebles	12
2009	22048	Barbastro	32	Otras industrias manufactureras	2
2009	22048	Barbastro	33	Reparación e instalación de maquinaria y equipo	7
2009	22048	Barbastro	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	11
2009	22048	Barbastro	36	Captación, depuración y distribución de agua	1
2009	22048	Barbastro	37	Recogida y tratamiento de aguas residuales	2
2009	22048	Barbastro	38	Recogida, tratamiento y eliminación de residuos; valorización	2
2009	22048	Barbastro	39	Actividades de descontaminación y otros servicios de gestión de residuos	2
2009	22048	Barbastro	41	Construcción de edificios	109
2009	22048	Barbastro	42	Ingeniería civil	16
2009	22048	Barbastro	43	Actividades de construcción especializada	210
2009	22048	Barbastro	45	Venta y reparación de vehículos de motor y motocicletas	73
2009	22048	Barbastro	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	134
2009	22048	Barbastro	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	430
2009	22048	Barbastro	49	Transporte terrestre y por tubería	99
2009	22048	Barbastro	52	Almacenamiento y actividades anexas al transporte	6
2009	22048	Barbastro	53	Actividades postales y de correos	4
2009	22048	Barbastro	55	Servicios de alojamiento	11
2009	22048	Barbastro	56	Servicios de comidas y bebidas	152
2009	22048	Barbastro	58	Edición	11
2009	22048	Barbastro	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	3
2009	22048	Barbastro	60	Actividades de programación y emisión de radio y televisión	3
2009	22048	Barbastro	61	Telecomunicaciones	4
2009	22048	Barbastro	62	Programación, consultoría y otras actividades relacionadas con la informática	14
2009	22048	Barbastro	63	Servicios de información	3
2009	22048	Barbastro	64	Servicios financieros, excepto seguros y fondos de pensiones	18
2009	22048	Barbastro	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	2
2009	22048	Barbastro	66	Actividades auxiliares a los servicios financieros y a los seguros	28
2009	22048	Barbastro	68	Actividades inmobiliarias	216
2009	22048	Barbastro	69	Actividades jurídicas y de contabilidad	46
2009	22048	Barbastro	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	87
2009	22048	Barbastro	72	Investigación y desarrollo	12
2009	22048	Barbastro	73	Publicidad y estudios de mercado	11
2009	22048	Barbastro	74	Otras actividades profesionales, científicas y técnicas	24
2009	22048	Barbastro	75	Actividades veterinarias	8
2009	22048	Barbastro	77	Actividades de alquiler	29
2009	22048	Barbastro	78	Actividades relacionadas con el empleo	7
2009	22048	Barbastro	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	9
2009	22048	Barbastro	81	Servicios a edificios y actividades de jardinería	14
2009	22048	Barbastro	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	33
2009	22048	Barbastro	85	Educación	70
2009	22048	Barbastro	86	Actividades sanitarias	47
