Año	VAB	Código	Comarca
2018	449307	01	La Jacetania
2018	416810	02	Alto Gállego
2018	216974	03	Sobrarbe
2018	412444	04	La Ribagorza
2018	759756	05	Cinco Villas
2018	1710800	06	Hoya de Huesca / Plana de Uesca
2018	647820	07	Somontano de Barbastro
2018	611157	08	Cinca Medio
2018	511087	09	La Litera / La Llitera
2018	528704	10	Los Monegros
2018	597730	11	Bajo Cinca / Baix Cinca
2018	253811	12	Tarazona y el Moncayo
2018	382148	13	Campo de Borja
2018	157199	14	Aranda
2018	1309038	15	Ribera Alta del Ebro
2018	803487	16	Valdejalón
2018	18682857	17	Central
2018	347702	18	Ribera Baja del Ebro
2018	279261	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	732759	20	Comunidad de Calatayud
2018	342526	21	Campo de Cariñena
2018	163459	22	Campo de Belchite
2018	223856	23	Bajo Martín
2018	181989	24	Campo de Daroca
2018	292831	25	Jiloca
2018	201758	26	Cuencas Mineras
2018	301962	27	Andorra-Sierra de Arcos
2018	706664	28	Bajo Aragón
2018	1313913	29	Comunidad de Teruel
2018	70193	30	Maestrazgo
2018	93415	31	Sierra de Albarracín
2018	202039	32	Gúdar-Javalambre
2018	191359	33	Matarraña / Matarranya
2017	433414	01	La Jacetania
2017	399322	02	Alto Gállego
2017	208206	03	Sobrarbe
2017	397027	04	La Ribagorza
2017	735941	05	Cinco Villas
2017	1653025	06	Hoya de Huesca / Plana de Uesca
2017	626786	07	Somontano de Barbastro
2017	585662	08	Cinca Medio
2017	496203	09	La Litera / La Llitera
2017	513815	10	Los Monegros
2017	579102	11	Bajo Cinca / Baix Cinca
2017	242922	12	Tarazona y el Moncayo
2017	377331	13	Campo de Borja
2017	153045	14	Aranda
2017	1296980	15	Ribera Alta del Ebro
2017	778725	16	Valdejalón
2017	18045411	17	Central
2017	340669	18	Ribera Baja del Ebro
2017	269391	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	711833	20	Comunidad de Calatayud
2017	330192	21	Campo de Cariñena
2017	158261	22	Campo de Belchite
2017	216145	23	Bajo Martín
2017	174775	24	Campo de Daroca
2017	283818	25	Jiloca
2017	195298	26	Cuencas Mineras
2017	296310	27	Andorra-Sierra de Arcos
2017	681318	28	Bajo Aragón
2017	1267765	29	Comunidad de Teruel
2017	67075	30	Maestrazgo
2017	90039	31	Sierra de Albarracín
2017	194605	32	Gúdar-Javalambre
2017	183988	33	Matarraña / Matarranya
2016	417659	01	La Jacetania
2016	387689	02	Alto Gállego
2016	200769	03	Sobrarbe
2016	382882	04	La Ribagorza
2016	694546	05	Cinco Villas
2016	1592577	06	Hoya de Huesca / Plana de Uesca
2016	592644	07	Somontano de Barbastro
2016	565101	08	Cinca Medio
2016	463424	09	La Litera / La Llitera
2016	484639	10	Los Monegros
2016	551025	11	Bajo Cinca / Baix Cinca
2016	235704	12	Tarazona y el Moncayo
