Año	Personas	VAB	VAB per cápita	Comarca código	Comarca nombre
2019	17704	391746,3	22127,5587437867	01	La Jacetania
2019	13462	327604,6	24335,5073540336	02	Alto Gállego
2019	7441	213496,9	28691,9634457734	03	Sobrarbe
2019	12015	361799,7	30112,3345817728	04	La Ribagorza
2019	30622	962001,2	31415,3615048005	05	Cinco Villas
2019	68076	1842130,9	27059,9168576297	06	Hoya de Huesca / Plana de Uesca
2019	23648	552807,3	23376,4927266576	07	Somontano de Barbastro
2019	23829	517097	21700,323135675	08	Cinca Medio
2019	18293	469217,5	25650,1120647242	09	La Litera / La Llitera
2019	18447	443125,5	24021,5482192226	10	Los Monegros
2019	24589	624833,3	25411,090324942	11	Bajo Cinca / Baix Cinca
2019	13792	283292	20540,313225058	12	Tarazona y el Moncayo
2019	13776	323386,8	23474,6515679443	13	Campo de Borja
2019	6544	158945,5	24288,7377750611	14	Aranda
2019	27233	1112402,9	40847,6076818566	15	Ribera Alta del Ebro
2019	29095	846190,9	29083,7222890531	16	Valdejalón
2019	756291	19934684,5	26358,4843664674	17	Central
2019	8450	381021,9	45091,349112426	18	Ribera Baja del Ebro
2019	14721	367085,3	24936,1660213301	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	37036	679653,4	18351,1556323577	20	Comunidad de Calatayud
2019	9940	305894,4	30774,0845070423	21	Campo de Cariñena
2019	4595	123987,4	26983,112078346	22	Campo de Belchite
2019	6307	178231,3	28259,2833359759	23	Bajo Martín
2019	5555	124099,5	22340,1440144014	24	Campo de Daroca
2019	12153	214187,7	17624,2656134288	25	Jiloca
2019	7960	138636,5	17416,6457286432	26	Cuencas Mineras
2019	9890	209902,9	21223,7512639029	27	Andorra-Sierra de Arcos
2019	28563	596881,2	20897,006616952	28	Bajo Aragón
2019	46151	1338261,4	28997,4518428636	29	Comunidad de Teruel
2019	3177	63677,1	20043,1539187913	30	Maestrazgo
2019	4377	74663,9	17058,2362348641	31	Sierra de Albarracín
2019	7363	173641,8	23583,0232242293	32	Gúdar-Javalambre
2019	8196	170985,7	20862,0912640312	33	Matarraña / Matarranya
2018	17623	379934,4	21559,008114396	01	La Jacetania
2018	13474	314103,8	23311,845034882	02	Alto Gállego
2018	7382	206411,3	27961,4332159306	03	Sobrarbe
2018	11991	356130,1	29699,7831707114	04	La Ribagorza
2018	30470	870360,2	28564,4962257959	05	Cinco Villas
2018	67446	1785442	26472,1703288557	06	Hoya de Huesca / Plana de Uesca
2018	23591	541097,5	22936,6071807045	07	Somontano de Barbastro
2018	23656	496792,3	21000,6890429489	08	Cinca Medio
2018	18216	443834,6	24365,0966183575	09	La Litera / La Llitera
2018	18615	428850,9	23037,9210314263	10	Los Monegros
2018	24425	598714,7	24512,372569089	11	Bajo Cinca / Baix Cinca
2018	13796	276315	20028,6314873876	12	Tarazona y el Moncayo
2018	13824	311381,6	22524,7106481481	13	Campo de Borja
2018	6669	162216,1	24323,901634428	14	Aranda
2018	27076	1094636,1	40428,279657261	15	Ribera Alta del Ebro
2018	28639	822760,8	28728,6846607773	16	Valdejalón
2018	747082	19279756	25806,7467828163	17	Central
2018	8464	378847,2	44759,8298676749	18	Ribera Baja del Ebro
2018	14508	348781,2	24040,6120760959	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	37230	665291,2	17869,7609454741	20	Comunidad de Calatayud
2018	9853	300895,2	30538,4349944179	21	Campo de Cariñena
2018	4569	118493,5	25934,2306850514	22	Campo de Belchite
2018	6383	168480,6	26395,2060159799	23	Bajo Martín
2018	5557	120119,5	21615,8898686342	24	Campo de Daroca
2018	12267	208228,3	16974,6718839162	25	Jiloca
2018	8067	126305	15656,9976447254	26	Cuencas Mineras
2018	10098	213070,5	21100,2673796791	27	Andorra-Sierra de Arcos
2018	28587	571719,1	19999,2688984503	28	Bajo Aragón
