Año	CCAA código	CCAA nombre	VAB	Sector VAB código	Sector VAB descripción
2018	00	No aplicable	2155294	10	A Agricultura, ganadería, silvicultura y pesca
2018	00	No aplicable	1575451	21	B y E Extractivas; Energía y agua
2018	00	No aplicable	6630372	22	C Industria manufacturera
2018	00	No aplicable	2413001	30	F Construcción
2018	00	No aplicable	7844222	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2018	00	No aplicable	6187164	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2018	00	No aplicable	7291311	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2017	00	No aplicable	2121750	10	A Agricultura, ganadería, silvicultura y pesca
2017	00	No aplicable	1599983	21	B y E Extractivas; Energía y agua
2017	00	No aplicable	6415306	22	C Industria manufacturera
2017	00	No aplicable	2155156	30	F Construcción
2017	00	No aplicable	7564201	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2017	00	No aplicable	5989057	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2017	00	No aplicable	7138946	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2016	00	No aplicable	2011280	10	A Agricultura, ganadería, silvicultura y pesca
2016	00	No aplicable	1431178	21	B y E Extractivas; Energía y agua
2016	00	No aplicable	5950080	22	C Industria manufacturera
2016	00	No aplicable	1994126	30	F Construcción
2016	00	No aplicable	7248036	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2016	00	No aplicable	5835863	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2016	00	No aplicable	7005570	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	00	No aplicable	1482598	10	A Agricultura, ganadería, silvicultura y pesca
2015	00	No aplicable	1507393	21	B y E Extractivas; Energía y agua
2015	00	No aplicable	5798089	22	C Industria manufacturera
2015	00	No aplicable	1830550	30	F Construcción
2015	00	No aplicable	7050452	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	00	No aplicable	5692457	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	00	No aplicable	6877314	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2014	00	No aplicable	1639411	10	A Agricultura, ganadería, silvicultura y pesca
2014	00	No aplicable	1543447	21	B y E Extractivas; Energía y agua
2014	00	No aplicable	5771378	22	C Industria manufacturera
2014	00	No aplicable	1753406	30	F Construcción
2014	00	No aplicable	6813556	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2014	00	No aplicable	5640050	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2014	00	No aplicable	6689728	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2013	00	No aplicable	1820409	10	A Agricultura, ganadería, silvicultura y pesca
2013	00	No aplicable	1719937	21	B y E Extractivas; Energía y agua
2013	00	No aplicable	5313318	22	C Industria manufacturera
2013	00	No aplicable	1819230	30	F Construcción
2013	00	No aplicable	6736263	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2013	00	No aplicable	5593878	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2013	00	No aplicable	6722298	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2012	00	No aplicable	1490728	10	A Agricultura, ganadería, silvicultura y pesca
2012	00	No aplicable	1776773	21	B y E Extractivas; Energía y agua
2012	00	No aplicable	5083429	22	C Industria manufacturera
2012	00	No aplicable	2133051	30	F Construcción
2012	00	No aplicable	6906592	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2012	00	No aplicable	5740699	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2012	00	No aplicable	6721009	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2011	00	No aplicable	1521012	10	A Agricultura, ganadería, silvicultura y pesca
2011	00	No aplicable	1824268	21	B y E Extractivas; Energía y agua
2011	00	No aplicable	5509500	22	C Industria manufacturera
2011	00	No aplicable	2493952	30	F Construcción
2011	00	No aplicable	7143744	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2011	00	No aplicable	5696062	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2011	00	No aplicable	6981630	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2010	00	No aplicable	1582067	10	A Agricultura, ganadería, silvicultura y pesca
2010	00	No aplicable	1830244	21	B y E Extractivas; Energía y agua
2010	00	No aplicable	5551348	22	C Industria manufacturera
2010	00	No aplicable	2964840	30	F Construcción
2010	00	No aplicable	7044619	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2010	00	No aplicable	5527690	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2010	00	No aplicable	7009005	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
