Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción
2015	01	La Jacetania	28425	10	A Agricultura, ganadería, silvicultura y pesca
2015	02	Alto Gállego	12359,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	03	Sobrarbe	34417,1	10	A Agricultura, ganadería, silvicultura y pesca
2015	04	La Ribagorza	88723,7	10	A Agricultura, ganadería, silvicultura y pesca
2015	05	Cinco Villas	140306,9	10	A Agricultura, ganadería, silvicultura y pesca
2015	06	Hoya de Huesca / Plana de Uesca	165473,4	10	A Agricultura, ganadería, silvicultura y pesca
2015	07	Somontano de Barbastro	78589,7	10	A Agricultura, ganadería, silvicultura y pesca
2015	08	Cinca Medio	59880	10	A Agricultura, ganadería, silvicultura y pesca
2015	09	La Litera / La Llitera	96919,9	10	A Agricultura, ganadería, silvicultura y pesca
2015	10	Los Monegros	163644,1	10	A Agricultura, ganadería, silvicultura y pesca
2015	11	Bajo Cinca / Baix Cinca	103963,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	12	Tarazona y el Moncayo	12978,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	13	Campo de Borja	49619,4	10	A Agricultura, ganadería, silvicultura y pesca
2015	14	Aranda	15654,2	10	A Agricultura, ganadería, silvicultura y pesca
2015	15	Ribera Alta del Ebro	19511,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	16	Valdejalón	66001,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	17	D.C. Zaragoza	65173,8	10	A Agricultura, ganadería, silvicultura y pesca
2015	18	Ribera Baja del Ebro	41958,7	10	A Agricultura, ganadería, silvicultura y pesca
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	67955	10	A Agricultura, ganadería, silvicultura y pesca
2015	20	Comunidad de Calatayud	97895,5	10	A Agricultura, ganadería, silvicultura y pesca
2015	21	Campo de Cariñena	46447,4	10	A Agricultura, ganadería, silvicultura y pesca
2015	22	Campo de Belchite	67107,2	10	A Agricultura, ganadería, silvicultura y pesca
2015	23	Bajo Martín	16919,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	24	Campo de Daroca	61681,3	10	A Agricultura, ganadería, silvicultura y pesca
2015	25	Jiloca	34911,5	10	A Agricultura, ganadería, silvicultura y pesca
2015	26	Cuencas Mineras	9158,5	10	A Agricultura, ganadería, silvicultura y pesca
2015	27	Andorra-Sierra de Arcos	5415,2	10	A Agricultura, ganadería, silvicultura y pesca
2015	28	Bajo Aragón	36304,7	10	A Agricultura, ganadería, silvicultura y pesca
2015	29	Comunidad de Teruel	27259,8	10	A Agricultura, ganadería, silvicultura y pesca
2015	30	Maestrazgo	7726,9	10	A Agricultura, ganadería, silvicultura y pesca
2015	31	Sierra de Albarracín	4545,9	10	A Agricultura, ganadería, silvicultura y pesca
2015	32	Gúdar-Javalambre	6941,6	10	A Agricultura, ganadería, silvicultura y pesca
2015	33	Matarraña / Matarranya	34220	10	A Agricultura, ganadería, silvicultura y pesca
2015	01	La Jacetania	15075	21	B y E Extractivas; Energía y agua
2015	02	Alto Gállego	28630,2	21	B y E Extractivas; Energía y agua
2015	03	Sobrarbe	26318,7	21	B y E Extractivas; Energía y agua
2015	04	La Ribagorza	40542,2	21	B y E Extractivas; Energía y agua
2015	05	Cinco Villas	31436,1	21	B y E Extractivas; Energía y agua
2015	06	Hoya de Huesca / Plana de Uesca	60410,8	21	B y E Extractivas; Energía y agua
2015	07	Somontano de Barbastro	34320,7	21	B y E Extractivas; Energía y agua
2015	08	Cinca Medio	29512,2	21	B y E Extractivas; Energía y agua
2015	09	La Litera / La Llitera	14049,3	21	B y E Extractivas; Energía y agua
2015	10	Los Monegros	17243,4	21	B y E Extractivas; Energía y agua
2015	11	Bajo Cinca / Baix Cinca	41751,7	21	B y E Extractivas; Energía y agua
2015	12	Tarazona y el Moncayo	9825,2	21	B y E Extractivas; Energía y agua
2015	13	Campo de Borja	31991,4	21	B y E Extractivas; Energía y agua
2015	14	Aranda	9726,5	21	B y E Extractivas; Energía y agua
2015	15	Ribera Alta del Ebro	37711,9	21	B y E Extractivas; Energía y agua
2015	16	Valdejalón	41685,4	21	B y E Extractivas; Energía y agua
2015	17	D.C. Zaragoza	494862,4	21	B y E Extractivas; Energía y agua
2015	18	Ribera Baja del Ebro	112624	21	B y E Extractivas; Energía y agua
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7804,8	21	B y E Extractivas; Energía y agua
2015	20	Comunidad de Calatayud	28179,3	21	B y E Extractivas; Energía y agua
2015	21	Campo de Cariñena	9808,4	21	B y E Extractivas; Energía y agua
2015	22	Campo de Belchite	10503,2	21	B y E Extractivas; Energía y agua
2015	23	Bajo Martín	69706,9	21	B y E Extractivas; Energía y agua
2015	24	Campo de Daroca	3534,4	21	B y E Extractivas; Energía y agua
2015	25	Jiloca	21519	21	B y E Extractivas; Energía y agua
2015	26	Cuencas Mineras	30862,9	21	B y E Extractivas; Energía y agua
2015	27	Andorra-Sierra de Arcos	134741,2	21	B y E Extractivas; Energía y agua
2015	28	Bajo Aragón	57134,4	21	B y E Extractivas; Energía y agua
2015	29	Comunidad de Teruel	75528,1	21	B y E Extractivas; Energía y agua
2015	30	Maestrazgo	7598,8	21	B y E Extractivas; Energía y agua
2015	31	Sierra de Albarracín	6123,6	21	B y E Extractivas; Energía y agua
2015	32	Gúdar-Javalambre	19189,6	21	B y E Extractivas; Energía y agua
2015	33	Matarraña / Matarranya	13441,6	21	B y E Extractivas; Energía y agua
2015	01	La Jacetania	8265	22	C Industria manufacturera
2015	02	Alto Gállego	76866,1	22	C Industria manufacturera
2015	03	Sobrarbe	4914,8	22	C Industria manufacturera
2015	04	La Ribagorza	11875,1	22	C Industria manufacturera
