Comarca codigo	Comarca nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
01	La Jacetania	699	140029,04	70291,29	21444,48
02	Alto Gállego	435	79503,26	41740,69	7541,73
03	Sobrarbe	812	145834,16	72504,54	10289,93
04	La Ribagorza	1586	130200,7	83829,31	28033,5
05	Cinco Villas	3491	190650,39	162632,84	141449,58
06	Hoya de Huesca / Plana de Uesca	2547	166182,59	141534,92	120446,34
07	Somontano de Barbastro	2087	79328,32	65368,75	52213,68
08	Cinca Medio	1584	48936,31	44951,77	38195,91
09	La Litera / La Llitera	2112	52926,83	46822,13	39367,91
10	Los Monegros	3299	204206,69	193862,67	171270,72
11	Bajo Cinca / Baix Cinca	2405	95458,24	75016,48	61822,28
12	Tarazona y el Moncayo	822	27974,69	15802,39	13427,92
13	Campo de Borja	1774	45385,06	42502,58	34656,2
14	Aranda	685	34787,3	25423,59	8123,1
15	Ribera Alta del Ebro	1107	29737,22	27867,32	24459,48
16	Valdejalón	2515	70448,32	58390,36	49314,11
17	D.C. Zaragoza	2609	137270,03	107808,7	90427,06
18	Ribera Baja del Ebro	1079	59749,22	56095	48630,29
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1617	51546,16	44264,03	34830,52
20	Comunidad de Calatayud	3355	123129,3	106127,29	73419,25
21	Campo de Cariñena	1976	48954,04	45374,46	41749,18
22	Campo de Belchite	1130	77931,93	73978,72	62676,77
23	Bajo Martín	856	68007,62	55322,45	45976,24
24	Campo de Daroca	1227	68711,02	61870,94	53668,79
25	Jiloca	1894	132581,69	114433,87	84013,4
26	Cuencas Mineras	635	90729,62	62909,14	28210,9
27	Andorra-Sierra de Arcos	757	30158,67	24490,55	18376,37
28	Bajo Aragón	2145	77614,79	66939,14	45624,36
29	Comunidad de Teruel	2147	195327,8	157715,47	99157,27
30	Maestrazgo	596	75447,69	51067,31	9334,28
31	Sierra de Albarracín	363	74883,92	42162,86	14471
32	Gúdar-Javalambre	798	150365,81	79461,48	16652,89
33	Matarraña / Matarranya	1630	40708,41	27132,65	22113,66
