Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
22001	Abiego	53	3500,7	2240,47	1934,69
22002	Abizanda	27	1605,67	1114,09	614,35
22003	Adahuesca	56	2327,2	2028,6	1092,39
22004	Agüero	26	896,11	626,91	320,87
22006	Aísa	20	7870,03	6322,32	176,82
22007	Albalate de Cinca	154	3547,62	3208,63	2602,67
22008	Albalatillo	17	909,8	876,65	610,68
22009	Albelda	259	4203,17	4055,06	3289,06
22011	Albero Alto	21	1657,98	1641,8	1641,8
22012	Albero Bajo	32	1543,2	1463,75	1413,27
22013	Alberuela de Tubo	41	2176,18	2136,85	1695,75
22014	Alcalá de Gurrea	44	6270,31	6066,85	5508,14
22015	Alcalá del Obispo	80	4558,52	4437,5	3716,43
22016	Alcampell	195	4259,91	4059,75	3284,79
22017	Alcolea de Cinca	164	5548,27	5184,78	4605,42
22018	Alcubierre	79	4884,24	4733,45	4250,41
22019	Alerre	14	694,68	658,83	455,87
22020	Alfántega	23	685,75	560,59	269,24
22021	Almudévar	331	16485,4	15544,53	14148,08
22022	Almunia de San Juan	77	3309,76	2738,22	2128,53
22023	Almuniente	107	3186,26	3127,54	2981,47
22024	Alquézar	55	1153,23	775,27	532,39
22025	Altorricón	180	3072,84	2974,13	2300,02
22027	Angüés	65	3636,85	3432,56	3216,69
22028	Ansó	25	26122,12	11696,34	67,69
22029	Antillón	40	2140,01	2000,53	1797,15
22032	Aragüés del Puerto	9	6483,12	1370,47	57,02
22035	Arén	85	7535,73	5752,54	2099,96
22036	Argavieso	28	884,32	863,48	808,23
22037	Arguis	14	2347,13	1888,66	634,73
22039	Ayerbe	91	4270,74	3676,76	3458,51
22040	Azanuy-Alins	62	2676,27	2607,59	2257,43
22041	Azara	39	962,65	911,55	911,55
22042	Azlor	40	1065,37	979,93	789,97
22043	Baells	46	1872,29	1552,77	1337,34
22044	Bailo	71	12930,19	7177,11	2022,59
22045	Baldellou	51	916,85	716,4	684,55
22046	Ballobar	147	9833,85	9304,58	6903,71
22047	Banastás	5	324,7	314,19	301,81
22048	Barbastro	374	8831,8	7721,09	6672,42
22049	Barbués	31	1663,16	1555,28	1436,95
22050	Barbuñales	25	1882,86	1409,54	1406,79
22051	Bárcabo	68	4169,01	3049,83	1331,91
22052	Belver de Cinca	231	7230,31	6853,41	6075,54
22053	Benabarre	164	9133,25	7294,84	4601,55
22054	Benasque	40	11521	2553,2	133,73
22055	Berbegal	89	3441,67	3286,33	3124,39
22057	Bielsa	25	19423,77	7207,02	8,34
22058	Bierge	111	8291,15	4253,29	1426,82
22059	Biescas	84	15830,05	7153,15	852,28
22060	Binaced	272	6887,46	6522,55	5932
22061	Binéfar	181	1980,69	1897,07	1375,45
22062	Bisaurri	48	5353,91	4187,22	52,74
22063	Biscarrués	50	2416,46	2212,9	2173,31
22064	Blecua y Torres	43	3017	2961,47	2888,94
22066	Boltaña	46	8491,68	3371,33	726,67
22067	Bonansa	13	1446,44	1300,73	186,42
22068	Borau	6	3612,21	937,3	2,05
22069	Broto	49	12205,37	4621,12	65,43
22072	Caldearenas	64	14278,59	4193,27	1418,68
22074	Campo	13	620,13	503,41	67,11
22075	Camporrells	48	1723,24	791,81	534,79
22076	Canal de Berdún	102	6973,26	6053,96	4361,54
22077	Candasnos	102	7186,28	7046,11	6267,43
22078	Canfranc	4	6825,77	3476,66	43,01
22079	Capdesaso	23	875,75	845,75	757,6
22080	Capella	65	3063,21	2330,68	1417,71
22081	Casbas de Huesca	99	4500,04	4032,81	3147,07
22082	Castejón del Puente	53	2051,69	1809,01	1450,06
22083	Castejón de Monegros	127	10067,05	9766,16	9046,04
22084	Castejón de Sos	28	2108	1869,55	39,33
22085	Castelflorite	42	1876,66	1773,48	1715,04
22086	Castiello de Jaca	15	1563,8	644,7	104,51
22087	Castigaleu	20	2206,55	1551,03	1053,85
22088	Castillazuelo	46	939,01	802,63	682,13
22089	Castillonroy	77	1720,04	1633,53	1394,72
22090	Colungo	43	1473,84	855,71	368,7
22094	Chalamera	28	941,54	806,72	496,85
22095	Chía	12	2083,92	1904,63	0,39
22096	Chimillas	12	832,79	798,15	777,44
22099	Esplús	117	7394,21	7073,7	6663,57
22102	Estada	31	1158,8	517,62	289,82
22103	Estadilla	131	4383,15	4028,56	2005,93
22105	Estopiñán del Castillo	85	3759,74	2817,25	1755,17
22106	Fago	1	39,82	2	
22107	Fanlo	31	14934,13	10486,03	29,45
