Municipio código	Municipio nombre	Grupo clase explotación	Explotaciones
22001	Abiego	a) Sin tierras	1
22001	Abiego	b) Con tierras labradas, pastos permanentes y otras tierras	6
22001	Abiego	d) Con tierras labradas y otras tierras, y sin pastos permanentes	18
22001	Abiego	e) Con tierras labradas, sin pastos permanentes ni otras tierras	28
22002	Abizanda	a) Sin tierras	2
22002	Abizanda	b) Con tierras labradas, pastos permanentes y otras tierras	9
22002	Abizanda	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
22002	Abizanda	d) Con tierras labradas y otras tierras, y sin pastos permanentes	7
22002	Abizanda	e) Con tierras labradas, sin pastos permanentes ni otras tierras	4
22002	Abizanda	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22003	Adahuesca	a) Sin tierras	1
22003	Adahuesca	b) Con tierras labradas, pastos permanentes y otras tierras	10
22003	Adahuesca	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
22003	Adahuesca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
22003	Adahuesca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	23
22003	Adahuesca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
22003	Adahuesca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	7
22004	Agüero	b) Con tierras labradas, pastos permanentes y otras tierras	3
22004	Agüero	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
22004	Agüero	d) Con tierras labradas y otras tierras, y sin pastos permanentes	6
22004	Agüero	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22004	Agüero	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
22006	Aísa	b) Con tierras labradas, pastos permanentes y otras tierras	8
22006	Aísa	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
22006	Aísa	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1
22006	Aísa	f) Sin tierras labradas, con pastos permanentes y con otras tierras	3
22006	Aísa	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	5
22007	Albalate de Cinca	a) Sin tierras	2
22007	Albalate de Cinca	b) Con tierras labradas, pastos permanentes y otras tierras	9
22007	Albalate de Cinca	c) Con tierras labradas, pastos permanentes y sin otras tierras	11
22007	Albalate de Cinca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	43
22007	Albalate de Cinca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	73
22007	Albalate de Cinca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	5
22007	Albalate de Cinca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	7
22007	Albalate de Cinca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
22008	Albalatillo	a) Sin tierras	2
22008	Albalatillo	b) Con tierras labradas, pastos permanentes y otras tierras	1
22008	Albalatillo	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
22008	Albalatillo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22008	Albalatillo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	4
22008	Albalatillo	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	4
22008	Albalatillo	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
22009	Albelda	b) Con tierras labradas, pastos permanentes y otras tierras	4
22009	Albelda	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
22009	Albelda	d) Con tierras labradas y otras tierras, y sin pastos permanentes	65
22009	Albelda	e) Con tierras labradas, sin pastos permanentes ni otras tierras	165
22009	Albelda	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22009	Albelda	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	12
22009	Albelda	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22011	Albero Alto	a) Sin tierras	2
22011	Albero Alto	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
22011	Albero Alto	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22012	Albero Bajo	b) Con tierras labradas, pastos permanentes y otras tierras	4
22012	Albero Bajo	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22012	Albero Bajo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	16
22012	Albero Bajo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22013	Alberuela de Tubo	b) Con tierras labradas, pastos permanentes y otras tierras	6
22013	Alberuela de Tubo	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
22013	Alberuela de Tubo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
22013	Alberuela de Tubo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	17
22013	Alberuela de Tubo	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
22014	Alcalá de Gurrea	b) Con tierras labradas, pastos permanentes y otras tierras	4
22014	Alcalá de Gurrea	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
22014	Alcalá de Gurrea	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
22014	Alcalá de Gurrea	e) Con tierras labradas, sin pastos permanentes ni otras tierras	26
22014	Alcalá de Gurrea	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22015	Alcalá del Obispo	a) Sin tierras	2
22015	Alcalá del Obispo	b) Con tierras labradas, pastos permanentes y otras tierras	14
22015	Alcalá del Obispo	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
22015	Alcalá del Obispo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	13
22015	Alcalá del Obispo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	36
22015	Alcalá del Obispo	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22015	Alcalá del Obispo	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22015	Alcalá del Obispo	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
22016	Alcampell	a) Sin tierras	5
22016	Alcampell	b) Con tierras labradas, pastos permanentes y otras tierras	9
22016	Alcampell	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
22016	Alcampell	d) Con tierras labradas y otras tierras, y sin pastos permanentes	39
22016	Alcampell	e) Con tierras labradas, sin pastos permanentes ni otras tierras	126
22016	Alcampell	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	8
22016	Alcampell	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
22017	Alcolea de Cinca	a) Sin tierras	7
22017	Alcolea de Cinca	b) Con tierras labradas, pastos permanentes y otras tierras	6
22017	Alcolea de Cinca	c) Con tierras labradas, pastos permanentes y sin otras tierras	8
22017	Alcolea de Cinca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	20
22017	Alcolea de Cinca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	120
22017	Alcolea de Cinca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22017	Alcolea de Cinca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22017	Alcolea de Cinca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
22018	Alcubierre	a) Sin tierras	5
22018	Alcubierre	b) Con tierras labradas, pastos permanentes y otras tierras	1
22018	Alcubierre	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
22018	Alcubierre	d) Con tierras labradas y otras tierras, y sin pastos permanentes	17
22018	Alcubierre	e) Con tierras labradas, sin pastos permanentes ni otras tierras	47
22018	Alcubierre	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22018	Alcubierre	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22018	Alcubierre	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22019	Alerre	b) Con tierras labradas, pastos permanentes y otras tierras	3
22019	Alerre	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22019	Alerre	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
22019	Alerre	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
22019	Alerre	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22020	Alfántega	a) Sin tierras	2
22020	Alfántega	b) Con tierras labradas, pastos permanentes y otras tierras	5
22020	Alfántega	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22020	Alfántega	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
22020	Alfántega	e) Con tierras labradas, sin pastos permanentes ni otras tierras	8
22020	Alfántega	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22020	Alfántega	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22020	Alfántega	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22021	Almudévar	a) Sin tierras	3
22021	Almudévar	b) Con tierras labradas, pastos permanentes y otras tierras	12
22021	Almudévar	c) Con tierras labradas, pastos permanentes y sin otras tierras	14
22021	Almudévar	d) Con tierras labradas y otras tierras, y sin pastos permanentes	59
22021	Almudévar	e) Con tierras labradas, sin pastos permanentes ni otras tierras	237
22021	Almudévar	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22021	Almudévar	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
22021	Almudévar	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22022	Almunia de San Juan	b) Con tierras labradas, pastos permanentes y otras tierras	7
22022	Almunia de San Juan	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
22022	Almunia de San Juan	d) Con tierras labradas y otras tierras, y sin pastos permanentes	20
22022	Almunia de San Juan	e) Con tierras labradas, sin pastos permanentes ni otras tierras	37
22022	Almunia de San Juan	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
22022	Almunia de San Juan	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
22023	Almuniente	a) Sin tierras	4
22023	Almuniente	b) Con tierras labradas, pastos permanentes y otras tierras	4
22023	Almuniente	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
22023	Almuniente	d) Con tierras labradas y otras tierras, y sin pastos permanentes	23
22023	Almuniente	e) Con tierras labradas, sin pastos permanentes ni otras tierras	68
22023	Almuniente	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22024	Alquézar	a) Sin tierras	1
22024	Alquézar	b) Con tierras labradas, pastos permanentes y otras tierras	8
22024	Alquézar	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22024	Alquézar	d) Con tierras labradas y otras tierras, y sin pastos permanentes	15
22024	Alquézar	e) Con tierras labradas, sin pastos permanentes ni otras tierras	25
22024	Alquézar	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22024	Alquézar	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
22025	Altorricón	a) Sin tierras	9
22025	Altorricón	b) Con tierras labradas, pastos permanentes y otras tierras	10
22025	Altorricón	c) Con tierras labradas, pastos permanentes y sin otras tierras	11
22025	Altorricón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	41
22025	Altorricón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	96
22025	Altorricón	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22025	Altorricón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	7
22025	Altorricón	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	5
22027	Angüés	b) Con tierras labradas, pastos permanentes y otras tierras	5
22027	Angüés	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
22027	Angüés	d) Con tierras labradas y otras tierras, y sin pastos permanentes	18
22027	Angüés	e) Con tierras labradas, sin pastos permanentes ni otras tierras	34
22027	Angüés	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22028	Ansó	a) Sin tierras	3
22028	Ansó	b) Con tierras labradas, pastos permanentes y otras tierras	3
22028	Ansó	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22028	Ansó	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22028	Ansó	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
22028	Ansó	f) Sin tierras labradas, con pastos permanentes y con otras tierras	7
22028	Ansó	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	5
