CCAA código	CCAA nombre	Explotaciones	Superficie total código	Superficie total
02	Aragón	1295	01	Sin tierras
02	Aragón	26	02	0,1  a  < 0,2
02	Aragón	403	03	0,2  a  < 0,5 Ha
02	Aragón	573	04	0,5  a  < 1 Ha
02	Aragón	4912	05	1  a  < 2 Ha
02	Aragón	3402	06	2 a < 3 Ha
02	Aragón	2696	07	3 a < 4 Ha
02	Aragón	2232	08	4 a < 5 Ha
02	Aragón	7256	09	5 a < 10 Ha
02	Aragón	7624	10	10 a <20 Ha
02	Aragón	4482	11	20 a < 30 Ha
02	Aragón	5697	12	30 a < 50 Ha
02	Aragón	3060	13	50 a < 70 Ha
02	Aragón	2839	14	70 a < 100 Ha
02	Aragón	2556	15	100 a <150 Ha
02	Aragón	1265	16	150 a < 200 Ha
02	Aragón	1165	17	200 a < 300 Ha
02	Aragón	671	18	300 a < 500 Ha
02	Aragón	341	19	500 a < 1000 Ha
02	Aragón	183	20	1000 a < 2500 Ha
02	Aragón	96	21	2500 Ha
