Provincia codigo	Provincia nombre	Explotaciones	Superficie total código	Superficie total
22	Huesca	449	01	Sin tierras
22	Huesca	8	02	0,1  a  < 0,2
22	Huesca	115	03	0,2  a  < 0,5 Ha
22	Huesca	157	04	0,5  a  < 1 Ha
22	Huesca	1058	05	1  a  < 2 Ha
22	Huesca	762	06	2 a < 3 Ha
22	Huesca	669	07	3 a < 4 Ha
22	Huesca	535	08	4 a < 5 Ha
22	Huesca	2140	09	5 a < 10 Ha
22	Huesca	2437	10	10 a <20 Ha
22	Huesca	1567	11	20 a < 30 Ha
22	Huesca	2219	12	30 a < 50 Ha
22	Huesca	1106	13	50 a < 70 Ha
22	Huesca	1038	14	70 a < 100 Ha
22	Huesca	846	15	100 a <150 Ha
22	Huesca	411	16	150 a < 200 Ha
22	Huesca	356	17	200 a < 300 Ha
22	Huesca	214	18	300 a < 500 Ha
22	Huesca	105	19	500 a < 1000 Ha
22	Huesca	52	20	1000 a < 2500 Ha
22	Huesca	36	21	2500 Ha
44	Teruel	373	01	Sin tierras
44	Teruel	7	02	0,1  a  < 0,2
44	Teruel	98	03	0,2  a  < 0,5 Ha
44	Teruel	85	04	0,5  a  < 1 Ha
44	Teruel	1175	05	1  a  < 2 Ha
44	Teruel	721	06	2 a < 3 Ha
44	Teruel	519	07	3 a < 4 Ha
44	Teruel	435	08	4 a < 5 Ha
44	Teruel	1443	09	5 a < 10 Ha
44	Teruel	1576	10	10 a <20 Ha
44	Teruel	968	11	20 a < 30 Ha
44	Teruel	1223	12	30 a < 50 Ha
44	Teruel	668	13	50 a < 70 Ha
44	Teruel	710	14	70 a < 100 Ha
44	Teruel	664	15	100 a <150 Ha
44	Teruel	333	16	150 a < 200 Ha
44	Teruel	376	17	200 a < 300 Ha
44	Teruel	208	18	300 a < 500 Ha
44	Teruel	110	19	500 a < 1000 Ha
44	Teruel	86	20	1000 a < 2500 Ha
44	Teruel	43	21	2500 Ha
50	Zaragoza	473	01	Sin tierras
50	Zaragoza	11	02	0,1  a  < 0,2
50	Zaragoza	190	03	0,2  a  < 0,5 Ha
50	Zaragoza	331	04	0,5  a  < 1 Ha
50	Zaragoza	2679	05	1  a  < 2 Ha
50	Zaragoza	1919	06	2 a < 3 Ha
50	Zaragoza	1508	07	3 a < 4 Ha
50	Zaragoza	1262	08	4 a < 5 Ha
50	Zaragoza	3673	09	5 a < 10 Ha
50	Zaragoza	3611	10	10 a <20 Ha
50	Zaragoza	1947	11	20 a < 30 Ha
50	Zaragoza	2255	12	30 a < 50 Ha
50	Zaragoza	1286	13	50 a < 70 Ha
50	Zaragoza	1091	14	70 a < 100 Ha
50	Zaragoza	1046	15	100 a <150 Ha
50	Zaragoza	521	16	150 a < 200 Ha
50	Zaragoza	433	17	200 a < 300 Ha
50	Zaragoza	249	18	300 a < 500 Ha
50	Zaragoza	126	19	500 a < 1000 Ha
50	Zaragoza	45	20	1000 a < 2500 Ha
50	Zaragoza	17	21	2500 Ha
