Comarca codigo	Comarca nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
01	La Jacetania	13	a) No hay SAU
01	La Jacetania	120	b) < 10% de la SAU en propiedad
01	La Jacetania	33	c) >=10% a < 25%  de la SAU en propiedad
01	La Jacetania	50	d) >=25% a < 50%  de la SAU en propiedad
01	La Jacetania	69	e) >=50% a < 75%  de la SAU en propiedad
01	La Jacetania	36	f) >= 75% a < 90%  de la SAU en propiedad
01	La Jacetania	378	g) >= 90%  de la SAU en propiedad
02	Alto Gállego	14	a) No hay SAU
02	Alto Gállego	102	b) < 10% de la SAU en propiedad
02	Alto Gállego	19	c) >=10% a < 25%  de la SAU en propiedad
02	Alto Gállego	24	d) >=25% a < 50%  de la SAU en propiedad
02	Alto Gállego	24	e) >=50% a < 75%  de la SAU en propiedad
02	Alto Gállego	15	f) >= 75% a < 90%  de la SAU en propiedad
02	Alto Gállego	237	g) >= 90%  de la SAU en propiedad
03	Sobrarbe	34	a) No hay SAU
03	Sobrarbe	170	b) < 10% de la SAU en propiedad
03	Sobrarbe	51	c) >=10% a < 25%  de la SAU en propiedad
03	Sobrarbe	56	d) >=25% a < 50%  de la SAU en propiedad
03	Sobrarbe	72	e) >=50% a < 75%  de la SAU en propiedad
03	Sobrarbe	30	f) >= 75% a < 90%  de la SAU en propiedad
03	Sobrarbe	399	g) >= 90%  de la SAU en propiedad
04	La Ribagorza	46	a) No hay SAU
04	La Ribagorza	368	b) < 10% de la SAU en propiedad
04	La Ribagorza	104	c) >=10% a < 25%  de la SAU en propiedad
04	La Ribagorza	107	d) >=25% a < 50%  de la SAU en propiedad
04	La Ribagorza	114	e) >=50% a < 75%  de la SAU en propiedad
04	La Ribagorza	75	f) >= 75% a < 90%  de la SAU en propiedad
04	La Ribagorza	772	g) >= 90%  de la SAU en propiedad
05	Cinco Villas	118	a) No hay SAU
05	Cinco Villas	731	b) < 10% de la SAU en propiedad
05	Cinco Villas	186	c) >=10% a < 25%  de la SAU en propiedad
05	Cinco Villas	316	d) >=25% a < 50%  de la SAU en propiedad
05	Cinco Villas	392	e) >=50% a < 75%  de la SAU en propiedad
05	Cinco Villas	174	f) >= 75% a < 90%  de la SAU en propiedad
05	Cinco Villas	1574	g) >= 90%  de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	63	a) No hay SAU
06	Hoya de Huesca / Plana de Uesca	383	b) < 10% de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	96	c) >=10% a < 25%  de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	171	d) >=25% a < 50%  de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	227	e) >=50% a < 75%  de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	141	f) >= 75% a < 90%  de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	1466	g) >= 90%  de la SAU en propiedad
07	Somontano de Barbastro	42	a) No hay SAU
07	Somontano de Barbastro	345	b) < 10% de la SAU en propiedad
07	Somontano de Barbastro	71	c) >=10% a < 25%  de la SAU en propiedad
07	Somontano de Barbastro	98	d) >=25% a < 50%  de la SAU en propiedad
07	Somontano de Barbastro	150	e) >=50% a < 75%  de la SAU en propiedad
07	Somontano de Barbastro	95	f) >= 75% a < 90%  de la SAU en propiedad
07	Somontano de Barbastro	1286	g) >= 90%  de la SAU en propiedad
08	Cinca Medio	58	a) No hay SAU
08	Cinca Medio	229	b) < 10% de la SAU en propiedad
08	Cinca Medio	71	c) >=10% a < 25%  de la SAU en propiedad
08	Cinca Medio	111	d) >=25% a < 50%  de la SAU en propiedad
08	Cinca Medio	142	e) >=50% a < 75%  de la SAU en propiedad
08	Cinca Medio	80	f) >= 75% a < 90%  de la SAU en propiedad
08	Cinca Medio	893	g) >= 90%  de la SAU en propiedad
09	La Litera / La Llitera	86	a) No hay SAU
09	La Litera / La Llitera	307	b) < 10% de la SAU en propiedad
09	La Litera / La Llitera	77	c) >=10% a < 25%  de la SAU en propiedad
09	La Litera / La Llitera	116	d) >=25% a < 50%  de la SAU en propiedad
09	La Litera / La Llitera	147	e) >=50% a < 75%  de la SAU en propiedad
09	La Litera / La Llitera	82	f) >= 75% a < 90%  de la SAU en propiedad
09	La Litera / La Llitera	1297	g) >= 90%  de la SAU en propiedad
10	Los Monegros	138	a) No hay SAU
10	Los Monegros	587	b) < 10% de la SAU en propiedad
10	Los Monegros	177	c) >=10% a < 25%  de la SAU en propiedad
10	Los Monegros	302	d) >=25% a < 50%  de la SAU en propiedad
10	Los Monegros	392	e) >=50% a < 75%  de la SAU en propiedad
10	Los Monegros	191	f) >= 75% a < 90%  de la SAU en propiedad
10	Los Monegros	1512	g) >= 90%  de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	63	a) No hay SAU
11	Bajo Cinca / Baix Cinca	443	b) < 10% de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	100	c) >=10% a < 25%  de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	141	d) >=25% a < 50%  de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	177	e) >=50% a < 75%  de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	103	f) >= 75% a < 90%  de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	1378	g) >= 90%  de la SAU en propiedad
12	Tarazona y el Moncayo	25	a) No hay SAU
12	Tarazona y el Moncayo	74	b) < 10% de la SAU en propiedad
12	Tarazona y el Moncayo	40	c) >=10% a < 25%  de la SAU en propiedad
12	Tarazona y el Moncayo	48	d) >=25% a < 50%  de la SAU en propiedad
12	Tarazona y el Moncayo	67	e) >=50% a < 75%  de la SAU en propiedad
12	Tarazona y el Moncayo	35	f) >= 75% a < 90%  de la SAU en propiedad
12	Tarazona y el Moncayo	533	g) >= 90%  de la SAU en propiedad
13	Campo de Borja	37	a) No hay SAU
13	Campo de Borja	152	b) < 10% de la SAU en propiedad
13	Campo de Borja	50	c) >=10% a < 25%  de la SAU en propiedad
13	Campo de Borja	80	d) >=25% a < 50%  de la SAU en propiedad
