Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22001	Abiego	1	a) No hay SAU
22001	Abiego	6	b) < 10% de la SAU en propiedad
22001	Abiego	1	c) >=10% a < 25%  de la SAU en propiedad
22001	Abiego	7	d) >=25% a < 50%  de la SAU en propiedad
22001	Abiego	7	e) >=50% a < 75%  de la SAU en propiedad
22001	Abiego	3	f) >= 75% a < 90%  de la SAU en propiedad
22001	Abiego	28	g) >= 90%  de la SAU en propiedad
22002	Abizanda	2	a) No hay SAU
22002	Abizanda	4	b) < 10% de la SAU en propiedad
22002	Abizanda	3	e) >=50% a < 75%  de la SAU en propiedad
22002	Abizanda	2	f) >= 75% a < 90%  de la SAU en propiedad
22002	Abizanda	16	g) >= 90%  de la SAU en propiedad
22003	Adahuesca	1	a) No hay SAU
22003	Adahuesca	18	b) < 10% de la SAU en propiedad
22003	Adahuesca	2	c) >=10% a < 25%  de la SAU en propiedad
22003	Adahuesca	2	d) >=25% a < 50%  de la SAU en propiedad
22003	Adahuesca	7	e) >=50% a < 75%  de la SAU en propiedad
22003	Adahuesca	2	f) >= 75% a < 90%  de la SAU en propiedad
22003	Adahuesca	24	g) >= 90%  de la SAU en propiedad
22004	Agüero	3	b) < 10% de la SAU en propiedad
22004	Agüero	2	d) >=25% a < 50%  de la SAU en propiedad
22004	Agüero	2	e) >=50% a < 75%  de la SAU en propiedad
22004	Agüero	3	f) >= 75% a < 90%  de la SAU en propiedad
22004	Agüero	16	g) >= 90%  de la SAU en propiedad
22006	Aísa	4	b) < 10% de la SAU en propiedad
22006	Aísa	2	c) >=10% a < 25%  de la SAU en propiedad
22006	Aísa	1	d) >=25% a < 50%  de la SAU en propiedad
22006	Aísa	3	e) >=50% a < 75%  de la SAU en propiedad
22006	Aísa	10	g) >= 90%  de la SAU en propiedad
22007	Albalate de Cinca	6	a) No hay SAU
22007	Albalate de Cinca	25	b) < 10% de la SAU en propiedad
22007	Albalate de Cinca	6	c) >=10% a < 25%  de la SAU en propiedad
22007	Albalate de Cinca	9	d) >=25% a < 50%  de la SAU en propiedad
22007	Albalate de Cinca	10	e) >=50% a < 75%  de la SAU en propiedad
22007	Albalate de Cinca	6	f) >= 75% a < 90%  de la SAU en propiedad
22007	Albalate de Cinca	92	g) >= 90%  de la SAU en propiedad
22008	Albalatillo	3	a) No hay SAU
22008	Albalatillo	6	b) < 10% de la SAU en propiedad
22008	Albalatillo	1	d) >=25% a < 50%  de la SAU en propiedad
22008	Albalatillo	1	e) >=50% a < 75%  de la SAU en propiedad
22008	Albalatillo	6	g) >= 90%  de la SAU en propiedad
22009	Albelda	2	a) No hay SAU
22009	Albelda	36	b) < 10% de la SAU en propiedad
22009	Albelda	14	c) >=10% a < 25%  de la SAU en propiedad
22009	Albelda	21	d) >=25% a < 50%  de la SAU en propiedad
22009	Albelda	19	e) >=50% a < 75%  de la SAU en propiedad
22009	Albelda	8	f) >= 75% a < 90%  de la SAU en propiedad
22009	Albelda	159	g) >= 90%  de la SAU en propiedad
22011	Albero Alto	2	a) No hay SAU
22011	Albero Alto	3	b) < 10% de la SAU en propiedad
22011	Albero Alto	2	e) >=50% a < 75%  de la SAU en propiedad
22011	Albero Alto	2	f) >= 75% a < 90%  de la SAU en propiedad
22011	Albero Alto	12	g) >= 90%  de la SAU en propiedad
22012	Albero Bajo	2	b) < 10% de la SAU en propiedad
22012	Albero Bajo	2	c) >=10% a < 25%  de la SAU en propiedad
22012	Albero Bajo	3	d) >=25% a < 50%  de la SAU en propiedad
22012	Albero Bajo	4	e) >=50% a < 75%  de la SAU en propiedad
22012	Albero Bajo	3	f) >= 75% a < 90%  de la SAU en propiedad
22012	Albero Bajo	18	g) >= 90%  de la SAU en propiedad
22013	Alberuela de Tubo	10	b) < 10% de la SAU en propiedad
22013	Alberuela de Tubo	2	c) >=10% a < 25%  de la SAU en propiedad
22013	Alberuela de Tubo	7	d) >=25% a < 50%  de la SAU en propiedad
22013	Alberuela de Tubo	5	e) >=50% a < 75%  de la SAU en propiedad
22013	Alberuela de Tubo	1	f) >= 75% a < 90%  de la SAU en propiedad
22013	Alberuela de Tubo	16	g) >= 90%  de la SAU en propiedad
22014	Alcalá de Gurrea	6	b) < 10% de la SAU en propiedad
22014	Alcalá de Gurrea	2	c) >=10% a < 25%  de la SAU en propiedad
22014	Alcalá de Gurrea	2	d) >=25% a < 50%  de la SAU en propiedad
22014	Alcalá de Gurrea	7	e) >=50% a < 75%  de la SAU en propiedad
22014	Alcalá de Gurrea	27	g) >= 90%  de la SAU en propiedad
22015	Alcalá del Obispo	6	a) No hay SAU
22015	Alcalá del Obispo	14	b) < 10% de la SAU en propiedad
