Provincia codigo	Provincia nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
22	Huesca	511	0	Si no hay SAU
22	Huesca	8695	1	Toda la SAU en propiedad
22	Huesca	1727	2	Toda la SAU en arrendamiento
22	Huesca	607	3	Todo la SAU en aparcería u otro régimen de tenencia
22	Huesca	2175	4	Más del 50% de la SAU en propiedad
22	Huesca	1580	5	Más del 50% de la SAU en arrendamiento
22	Huesca	518	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22	Huesca	467	7	Ningún régimen superior al 50%
44	Teruel	406	0	Si no hay SAU
44	Teruel	6463	1	Toda la SAU en propiedad
44	Teruel	820	2	Toda la SAU en arrendamiento
44	Teruel	431	3	Todo la SAU en aparcería u otro régimen de tenencia
44	Teruel	1493	4	Más del 50% de la SAU en propiedad
44	Teruel	1221	5	Más del 50% de la SAU en arrendamiento
44	Teruel	457	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
44	Teruel	530	7	Ningún régimen superior al 50%
50	Zaragoza	560	0	Si no hay SAU
50	Zaragoza	13712	1	Toda la SAU en propiedad
50	Zaragoza	1866	2	Toda la SAU en arrendamiento
50	Zaragoza	904	3	Todo la SAU en aparcería u otro régimen de tenencia
50	Zaragoza	3197	4	Más del 50% de la SAU en propiedad
50	Zaragoza	2590	5	Más del 50% de la SAU en arrendamiento
50	Zaragoza	890	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
50	Zaragoza	954	7	Ningún régimen superior al 50%
