Comarca codigo	Comarca nombre	Explotaciones	Gestión explotación
01	La Jacetania	553	El titular es el jefe de la explotación
01	La Jacetania	99	Otra persona o sociedad es jefe de la explotación
01	La Jacetania	47	Un miembro de la familia es el jefe de la explotación
02	Alto Gállego	343	El titular es el jefe de la explotación
02	Alto Gállego	67	Otra persona o sociedad es jefe de la explotación
02	Alto Gállego	25	Un miembro de la familia es el jefe de la explotación
03	Sobrarbe	643	El titular es el jefe de la explotación
03	Sobrarbe	126	Otra persona o sociedad es jefe de la explotación
03	Sobrarbe	43	Un miembro de la familia es el jefe de la explotación
04	La Ribagorza	1164	El titular es el jefe de la explotación
04	La Ribagorza	344	Otra persona o sociedad es jefe de la explotación
04	La Ribagorza	78	Un miembro de la familia es el jefe de la explotación
05	Cinco Villas	2466	El titular es el jefe de la explotación
05	Cinco Villas	722	Otra persona o sociedad es jefe de la explotación
05	Cinco Villas	303	Un miembro de la familia es el jefe de la explotación
06	Hoya de Huesca / Plana de Uesca	1944	El titular es el jefe de la explotación
06	Hoya de Huesca / Plana de Uesca	401	Otra persona o sociedad es jefe de la explotación
06	Hoya de Huesca / Plana de Uesca	202	Un miembro de la familia es el jefe de la explotación
07	Somontano de Barbastro	1660	El titular es el jefe de la explotación
07	Somontano de Barbastro	229	Otra persona o sociedad es jefe de la explotación
07	Somontano de Barbastro	198	Un miembro de la familia es el jefe de la explotación
08	Cinca Medio	1175	El titular es el jefe de la explotación
08	Cinca Medio	295	Otra persona o sociedad es jefe de la explotación
08	Cinca Medio	114	Un miembro de la familia es el jefe de la explotación
09	La Litera / La Llitera	1508	El titular es el jefe de la explotación
09	La Litera / La Llitera	440	Otra persona o sociedad es jefe de la explotación
09	La Litera / La Llitera	164	Un miembro de la familia es el jefe de la explotación
10	Los Monegros	2453	El titular es el jefe de la explotación
10	Los Monegros	521	Otra persona o sociedad es jefe de la explotación
10	Los Monegros	325	Un miembro de la familia es el jefe de la explotación
11	Bajo Cinca / Baix Cinca	1862	El titular es el jefe de la explotación
11	Bajo Cinca / Baix Cinca	339	Otra persona o sociedad es jefe de la explotación
11	Bajo Cinca / Baix Cinca	204	Un miembro de la familia es el jefe de la explotación
12	Tarazona y el Moncayo	678	El titular es el jefe de la explotación
12	Tarazona y el Moncayo	67	Otra persona o sociedad es jefe de la explotación
12	Tarazona y el Moncayo	77	Un miembro de la familia es el jefe de la explotación
13	Campo de Borja	1357	El titular es el jefe de la explotación
13	Campo de Borja	154	Otra persona o sociedad es jefe de la explotación
13	Campo de Borja	263	Un miembro de la familia es el jefe de la explotación
14	Aranda	603	El titular es el jefe de la explotación
14	Aranda	27	Otra persona o sociedad es jefe de la explotación
14	Aranda	55	Un miembro de la familia es el jefe de la explotación
15	Ribera Alta del Ebro	844	El titular es el jefe de la explotación
15	Ribera Alta del Ebro	146	Otra persona o sociedad es jefe de la explotación
15	Ribera Alta del Ebro	117	Un miembro de la familia es el jefe de la explotación
16	Valdejalón	1980	El titular es el jefe de la explotación
16	Valdejalón	256	Otra persona o sociedad es jefe de la explotación
16	Valdejalón	279	Un miembro de la familia es el jefe de la explotación
17	D.C. Zaragoza	1951	El titular es el jefe de la explotación
17	D.C. Zaragoza	389	Otra persona o sociedad es jefe de la explotación
17	D.C. Zaragoza	269	Un miembro de la familia es el jefe de la explotación
18	Ribera Baja del Ebro	785	El titular es el jefe de la explotación
18	Ribera Baja del Ebro	137	Otra persona o sociedad es jefe de la explotación
18	Ribera Baja del Ebro	157	Un miembro de la familia es el jefe de la explotación
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1317	El titular es el jefe de la explotación
19	Bajo Aragón-Caspe / Baix Aragó-Casp	160	Otra persona o sociedad es jefe de la explotación
19	Bajo Aragón-Caspe / Baix Aragó-Casp	140	Un miembro de la familia es el jefe de la explotación
20	Comunidad de Calatayud	2967	El titular es el jefe de la explotación
20	Comunidad de Calatayud	167	Otra persona o sociedad es jefe de la explotación
20	Comunidad de Calatayud	221	Un miembro de la familia es el jefe de la explotación
21	Campo de Cariñena	1533	El titular es el jefe de la explotación
21	Campo de Cariñena	156	Otra persona o sociedad es jefe de la explotación
21	Campo de Cariñena	287	Un miembro de la familia es el jefe de la explotación
22	Campo de Belchite	858	El titular es el jefe de la explotación
22	Campo de Belchite	117	Otra persona o sociedad es jefe de la explotación
22	Campo de Belchite	155	Un miembro de la familia es el jefe de la explotación
23	Bajo Martín	640	El titular es el jefe de la explotación
