Comarca codigo	Comarca nombre	Explotaciones	Formación jefe explotación
01	La Jacetania	53	Estudios profesionales agrarios
01	La Jacetania	28	Estudios universitarios agrarios
01	La Jacetania	521	Experiencia agraria exclusivamente
01	La Jacetania	97	Otra formación agraria o cursos agrarios
02	Alto Gállego	35	Estudios profesionales agrarios
02	Alto Gállego	8	Estudios universitarios agrarios
02	Alto Gállego	330	Experiencia agraria exclusivamente
02	Alto Gállego	62	Otra formación agraria o cursos agrarios
03	Sobrarbe	101	Estudios profesionales agrarios
03	Sobrarbe	29	Estudios universitarios agrarios
03	Sobrarbe	584	Experiencia agraria exclusivamente
03	Sobrarbe	98	Otra formación agraria o cursos agrarios
04	La Ribagorza	153	Estudios profesionales agrarios
04	La Ribagorza	59	Estudios universitarios agrarios
04	La Ribagorza	1147	Experiencia agraria exclusivamente
04	La Ribagorza	227	Otra formación agraria o cursos agrarios
05	Cinco Villas	322	Estudios profesionales agrarios
05	Cinco Villas	82	Estudios universitarios agrarios
05	Cinco Villas	2474	Experiencia agraria exclusivamente
05	Cinco Villas	613	Otra formación agraria o cursos agrarios
06	Hoya de Huesca / Plana de Uesca	226	Estudios profesionales agrarios
06	Hoya de Huesca / Plana de Uesca	95	Estudios universitarios agrarios
06	Hoya de Huesca / Plana de Uesca	1916	Experiencia agraria exclusivamente
06	Hoya de Huesca / Plana de Uesca	310	Otra formación agraria o cursos agrarios
07	Somontano de Barbastro	192	Estudios profesionales agrarios
07	Somontano de Barbastro	62	Estudios universitarios agrarios
07	Somontano de Barbastro	1591	Experiencia agraria exclusivamente
07	Somontano de Barbastro	242	Otra formación agraria o cursos agrarios
08	Cinca Medio	146	Estudios profesionales agrarios
08	Cinca Medio	53	Estudios universitarios agrarios
08	Cinca Medio	1156	Experiencia agraria exclusivamente
08	Cinca Medio	229	Otra formación agraria o cursos agrarios
09	La Litera / La Llitera	136	Estudios profesionales agrarios
09	La Litera / La Llitera	61	Estudios universitarios agrarios
09	La Litera / La Llitera	1640	Experiencia agraria exclusivamente
09	La Litera / La Llitera	275	Otra formación agraria o cursos agrarios
10	Los Monegros	379	Estudios profesionales agrarios
10	Los Monegros	80	Estudios universitarios agrarios
10	Los Monegros	2313	Experiencia agraria exclusivamente
10	Los Monegros	527	Otra formación agraria o cursos agrarios
11	Bajo Cinca / Baix Cinca	242	Estudios profesionales agrarios
11	Bajo Cinca / Baix Cinca	61	Estudios universitarios agrarios
11	Bajo Cinca / Baix Cinca	1691	Experiencia agraria exclusivamente
11	Bajo Cinca / Baix Cinca	411	Otra formación agraria o cursos agrarios
12	Tarazona y el Moncayo	24	Estudios profesionales agrarios
12	Tarazona y el Moncayo	4	Estudios universitarios agrarios
12	Tarazona y el Moncayo	733	Experiencia agraria exclusivamente
12	Tarazona y el Moncayo	61	Otra formación agraria o cursos agrarios
13	Campo de Borja	85	Estudios profesionales agrarios
13	Campo de Borja	19	Estudios universitarios agrarios
13	Campo de Borja	1475	Experiencia agraria exclusivamente
13	Campo de Borja	195	Otra formación agraria o cursos agrarios
14	Aranda	10	Estudios profesionales agrarios
14	Aranda	4	Estudios universitarios agrarios
14	Aranda	612	Experiencia agraria exclusivamente
14	Aranda	59	Otra formación agraria o cursos agrarios
15	Ribera Alta del Ebro	61	Estudios profesionales agrarios
15	Ribera Alta del Ebro	15	Estudios universitarios agrarios
15	Ribera Alta del Ebro	924	Experiencia agraria exclusivamente
15	Ribera Alta del Ebro	107	Otra formación agraria o cursos agrarios
16	Valdejalón	111	Estudios profesionales agrarios
16	Valdejalón	51	Estudios universitarios agrarios
16	Valdejalón	2004	Experiencia agraria exclusivamente
16	Valdejalón	349	Otra formación agraria o cursos agrarios
17	D.C. Zaragoza	182	Estudios profesionales agrarios
17	D.C. Zaragoza	57	Estudios universitarios agrarios
17	D.C. Zaragoza	2129	Experiencia agraria exclusivamente
17	D.C. Zaragoza	241	Otra formación agraria o cursos agrarios
18	Ribera Baja del Ebro	65	Estudios profesionales agrarios
18	Ribera Baja del Ebro	15	Estudios universitarios agrarios
18	Ribera Baja del Ebro	837	Experiencia agraria exclusivamente
18	Ribera Baja del Ebro	162	Otra formación agraria o cursos agrarios
19	Bajo Aragón-Caspe / Baix Aragó-Casp	83	Estudios profesionales agrarios
