Provincia codigo	Provincia nombre	Explotaciones	Formación jefe explotación
22	Huesca	1599	Estudios profesionales agrarios
22	Huesca	521	Estudios universitarios agrarios
22	Huesca	11862	Experiencia agraria exclusivamente
22	Huesca	2298	Otra formación agraria o cursos agrarios
44	Teruel	475	Estudios profesionales agrarios
44	Teruel	125	Estudios universitarios agrarios
44	Teruel	10104	Experiencia agraria exclusivamente
44	Teruel	1117	Otra formación agraria o cursos agrarios
50	Zaragoza	1281	Estudios profesionales agrarios
50	Zaragoza	377	Estudios universitarios agrarios
50	Zaragoza	19948	Experiencia agraria exclusivamente
50	Zaragoza	3067	Otra formación agraria o cursos agrarios
