Comarca codigo	Comarca nombre	Explotaciones	Cursos jefe explotación
01	La Jacetania	149	El jefe de explotación ha realizado algún curso en los últimos 12 meses
01	La Jacetania	550	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
02	Alto Gállego	85	El jefe de explotación ha realizado algún curso en los últimos 12 meses
02	Alto Gállego	350	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
03	Sobrarbe	229	El jefe de explotación ha realizado algún curso en los últimos 12 meses
03	Sobrarbe	583	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
04	La Ribagorza	335	El jefe de explotación ha realizado algún curso en los últimos 12 meses
04	La Ribagorza	1251	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
05	Cinco Villas	654	El jefe de explotación ha realizado algún curso en los últimos 12 meses
05	Cinco Villas	2837	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
06	Hoya de Huesca / Plana de Uesca	352	El jefe de explotación ha realizado algún curso en los últimos 12 meses
06	Hoya de Huesca / Plana de Uesca	2195	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
07	Somontano de Barbastro	280	El jefe de explotación ha realizado algún curso en los últimos 12 meses
07	Somontano de Barbastro	1807	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
08	Cinca Medio	230	El jefe de explotación ha realizado algún curso en los últimos 12 meses
08	Cinca Medio	1354	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
09	La Litera / La Llitera	334	El jefe de explotación ha realizado algún curso en los últimos 12 meses
09	La Litera / La Llitera	1778	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
10	Los Monegros	491	El jefe de explotación ha realizado algún curso en los últimos 12 meses
10	Los Monegros	2808	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
11	Bajo Cinca / Baix Cinca	458	El jefe de explotación ha realizado algún curso en los últimos 12 meses
11	Bajo Cinca / Baix Cinca	1947	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
12	Tarazona y el Moncayo	44	El jefe de explotación ha realizado algún curso en los últimos 12 meses
12	Tarazona y el Moncayo	778	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
13	Campo de Borja	206	El jefe de explotación ha realizado algún curso en los últimos 12 meses
13	Campo de Borja	1568	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
14	Aranda	45	El jefe de explotación ha realizado algún curso en los últimos 12 meses
14	Aranda	640	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
15	Ribera Alta del Ebro	115	El jefe de explotación ha realizado algún curso en los últimos 12 meses
15	Ribera Alta del Ebro	992	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
16	Valdejalón	269	El jefe de explotación ha realizado algún curso en los últimos 12 meses
16	Valdejalón	2246	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
17	D.C. Zaragoza	243	El jefe de explotación ha realizado algún curso en los últimos 12 meses
17	D.C. Zaragoza	2366	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
18	Ribera Baja del Ebro	152	El jefe de explotación ha realizado algún curso en los últimos 12 meses
18	Ribera Baja del Ebro	927	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
19	Bajo Aragón-Caspe / Baix Aragó-Casp	207	El jefe de explotación ha realizado algún curso en los últimos 12 meses
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1410	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
20	Comunidad de Calatayud	283	El jefe de explotación ha realizado algún curso en los últimos 12 meses
20	Comunidad de Calatayud	3072	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
21	Campo de Cariñena	179	El jefe de explotación ha realizado algún curso en los últimos 12 meses
21	Campo de Cariñena	1797	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22	Campo de Belchite	141	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22	Campo de Belchite	989	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
23	Bajo Martín	136	El jefe de explotación ha realizado algún curso en los últimos 12 meses
23	Bajo Martín	720	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
24	Campo de Daroca	185	El jefe de explotación ha realizado algún curso en los últimos 12 meses
24	Campo de Daroca	1042	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
25	Jiloca	325	El jefe de explotación ha realizado algún curso en los últimos 12 meses
25	Jiloca	1569	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
26	Cuencas Mineras	104	El jefe de explotación ha realizado algún curso en los últimos 12 meses
26	Cuencas Mineras	531	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
27	Andorra-Sierra de Arcos	52	El jefe de explotación ha realizado algún curso en los últimos 12 meses
27	Andorra-Sierra de Arcos	705	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
28	Bajo Aragón	270	El jefe de explotación ha realizado algún curso en los últimos 12 meses
28	Bajo Aragón	1875	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
29	Comunidad de Teruel	345	El jefe de explotación ha realizado algún curso en los últimos 12 meses
29	Comunidad de Teruel	1802	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
30	Maestrazgo	132	El jefe de explotación ha realizado algún curso en los últimos 12 meses
30	Maestrazgo	464	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
31	Sierra de Albarracín	52	El jefe de explotación ha realizado algún curso en los últimos 12 meses
31	Sierra de Albarracín	311	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
32	Gúdar-Javalambre	70	El jefe de explotación ha realizado algún curso en los últimos 12 meses
32	Gúdar-Javalambre	728	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
33	Matarraña / Matarranya	251	El jefe de explotación ha realizado algún curso en los últimos 12 meses
33	Matarraña / Matarranya	1379	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
