Comarca codigo	Comarca nombre	Unidades trabajo-año totales	Unidades trabajo-año asalariados	Unidades trabajo-año asalariados fijos	Unidades trabajo-año asalariados eventuales	Unidades trabajo-año mano obra familiar	Unidades trabajo-año titular	Unidades trabajo-año jefe explotación	Unidades trabajo-año otros miembros familia
01	La Jacetania	503,301	111,739	103,686	8,053	391,562	295,65	331,884	95,912
02	Alto Gállego	269,925	61,236	59,763	1,473	208,689	159,329	191,119	49,36
03	Sobrarbe	615,088	121,968	110,248	11,72	493,12	377,606	427,705	115,514
04	La Ribagorza	1232,344	367,478	334,087	33,391	864,866	599,036	765,743	265,83
05	Cinco Villas	2736,733	1139,88	949,576	190,304	1596,853	1199,481	1640,96	397,372
06	Hoya de Huesca / Plana de Uesca	1891,763	526,672	461,974	64,698	1365,091	882,196	1111,421	482,895
07	Somontano de Barbastro	1563,071	379,854	287,002	92,852	1183,217	682,729	823,67	500,488
08	Cinca Medio	1281,48	453,205	328,13	125,075	828,275	561,839	740,901	266,436
09	La Litera / La Llitera	1687,211	592,171	482,657	109,514	1095,04	693,261	949,185	401,779
10	Los Monegros	2523,572	829,15	711,367	117,783	1694,422	1225,205	1580,498	469,217
11	Bajo Cinca / Baix Cinca	3860,897	2056,447	1015,573	1040,874	1804,45	1080,475	1344,769	723,975
12	Tarazona y el Moncayo	509,057	131,517	113,668	17,849	377,54	217,56	261,203	159,98
13	Campo de Borja	1333,168	263,204	196,402	66,802	1069,964	613,456	753,234	456,508
14	Aranda	353,718	34,091	24,008	10,083	319,627	183,867	201,925	135,76
15	Ribera Alta del Ebro	729,313	257,806	188,16	69,646	471,507	308,498	414,343	163,009
16	Valdejalón	2625,579	1326,185	645,721	680,464	1299,394	724,555	905,814	574,839
17	D.C. Zaragoza	2403,679	1185,831	563,163	622,668	1217,848	839,683	1080,687	378,165
18	Ribera Baja del Ebro	692,197	294,401	127,078	167,323	397,796	277,76	374,825	120,036
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2127,566	1032,436	521,54	510,896	1095,13	647,648	774,244	447,482
20	Comunidad de Calatayud	2416,784	433,756	230,247	203,509	1983,028	1246,596	1359,45	736,432
21	Campo de Cariñena	1551,083	535,97	247,696	288,274	1015,113	564,388	679,365	450,725
22	Campo de Belchite	741,395	116,033	93,585	22,448	625,362	376,412	462,869	248,95
23	Bajo Martín	574,716	145,806	104,299	41,507	428,91	251,419	317,175	177,491
24	Campo de Daroca	710,792	100,728	84,091	16,637	610,064	414,233	479,989	195,831
25	Jiloca	1185,452	189,291	177,616	11,675	996,161	716,304	813,143	279,857
26	Cuencas Mineras	412,02	112,252	104,832	7,42	299,768	209,979	247,769	89,789
27	Andorra-Sierra de Arcos	408,484	60,229	52,661	7,568	348,255	156,491	191,005	191,764
28	Bajo Aragón	1754,997	381,719	264,601	117,118	1373,278	760,046	910,754	613,232
29	Comunidad de Teruel	1254,989	222,17	202,153	20,017	1032,819	748,795	844,657	284,024
30	Maestrazgo	474,214	45,764	40,6	5,164	428,45	284,153	313,469	144,297
31	Sierra de Albarracín	310,488	67,037	61,859	5,178	243,451	166,394	186,707	77,057
32	Gúdar-Javalambre	479,575	79,628	65,929	13,699	399,947	289,83	325,459	110,117
33	Matarraña / Matarranya	1739,025	404,651	352,006	52,645	1334,374	783,122	854,611	551,252
