Comarca codigo	Comarca nombre	Número total de explotaciones 	Unidades ganaderas totales	Número de explotaciones sin ganado	Número de explotaciones con ganado
01	La Jacetania	699	18115,011	408	291
02	Alto Gállego	435	12466,979	216	219
03	Sobrarbe	812	38375,164	284	528
04	La Ribagorza	1586	94214,414	765	821
05	Cinco Villas	3491	207144,815	2848	643
06	Hoya de Huesca / Plana de Uesca	2547	154244,594	2040	507
07	Somontano de Barbastro	2087	72555,859	1687	400
08	Cinca Medio	1584	98532,656	1196	388
09	La Litera / La Llitera	2112	150920,271	1473	639
10	Los Monegros	3299	246506,023	2479	820
11	Bajo Cinca / Baix Cinca	2405	151381,614	1920	485
12	Tarazona y el Moncayo	822	14208,646	737	85
13	Campo de Borja	1774	41709,964	1604	170
14	Aranda	685	5770,678	610	75
15	Ribera Alta del Ebro	1107	24808,79	973	134
16	Valdejalón	2515	48322,055	2329	186
17	D.C. Zaragoza	2609	50811,62	2307	302
18	Ribera Baja del Ebro	1079	41028,058	887	192
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1617	73044,567	1366	251
20	Comunidad de Calatayud	3355	26498,617	3026	329
21	Campo de Cariñena	1976	20520,552	1916	60
22	Campo de Belchite	1130	39192,405	969	161
23	Bajo Martín	856	25242,217	690	166
24	Campo de Daroca	1227	31434,212	1073	154
25	Jiloca	1894	60026,162	1444	450
26	Cuencas Mineras	635	15601,067	435	200
27	Andorra-Sierra de Arcos	757	9602,672	651	106
28	Bajo Aragón	2145	69577,987	1787	358
29	Comunidad de Teruel	2147	51086,624	1561	586
30	Maestrazgo	596	29753,375	280	316
31	Sierra de Albarracín	363	11393,521	192	171
32	Gúdar-Javalambre	798	15233,062	463	335
33	Matarraña / Matarranya	1630	64432,284	1284	346
