CCAA código	CCAA nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Animales
02	Aragón	Bovinos de entre uno y dos años	Bovinos	13	1	73261
02	Aragón	Bovinos de menos de un año	Bovinos	14	1	183535
02	Aragón	Cabras madres y chivas de reposición	Caprinos	31	3	44893
02	Aragón	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	499464
02	Aragón	Colmenas	Colmenas	81	8	40223
02	Aragón	Conejas madres	Conejas madres	71	7	130964
02	Aragón	Equinos (caballos, mulas y asnos)	Equinos	41	4	4446
02	Aragón	Gallinas ponedoras	Aves	61	6	5197208
02	Aragón	Lechones de menos de 20 kg	Porcinos	52	5	1292079
02	Aragón	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	2007468
02	Aragón	Otros bovinos de dos años o más	Bovinos	12	1	17229
02	Aragón	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	6031
02	Aragón	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	192045
02	Aragón	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	3682394
02	Aragón	Ovejas madres y corderas para reposición	Ovinos	21	2	1744302
02	Aragón	Pollos de carne	Aves	62	6	14183510
02	Aragón	Vacas	Bovinos	11	1	56490
