Comarca codigo	Comarca nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
01	La Jacetania	Bovinos de entre uno y dos años	Bovinos	13	1	902
01	La Jacetania	Bovinos de menos de un año	Bovinos	14	1	1348
01	La Jacetania	Cabras madres y chivas de reposición	Caprinos	31	3	1465
01	La Jacetania	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	3246
01	La Jacetania	Colmenas	Colmenas	81	8	30
01	La Jacetania	Conejas madres	Conejas madres	71	7	1401
01	La Jacetania	Equinos (caballos, mulas y asnos)	Equinos	41	4	199
01	La Jacetania	Gallinas ponedoras	Aves	61	6	80991
01	La Jacetania	Lechones de menos de 20 kg	Porcinos	52	5	6492
01	La Jacetania	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	64
01	La Jacetania	Otros bovinos de dos años o más	Bovinos	12	1	803
01	La Jacetania	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	261
01	La Jacetania	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	10745
01	La Jacetania	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	7041
01	La Jacetania	Ovejas madres y corderas para reposición	Ovinos	21	2	70294
01	La Jacetania	Pollos de carne	Aves	62	6	359
01	La Jacetania	Vacas	Bovinos	11	1	3459
02	Alto Gállego	Bovinos de entre uno y dos años	Bovinos	13	1	2332
02	Alto Gállego	Bovinos de menos de un año	Bovinos	14	1	2476
02	Alto Gállego	Cabras madres y chivas de reposición	Caprinos	31	3	1512
02	Alto Gállego	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1502
02	Alto Gállego	Colmenas	Colmenas	81	8	203
02	Alto Gállego	Conejas madres	Conejas madres	71	7	70
02	Alto Gállego	Equinos (caballos, mulas y asnos)	Equinos	41	4	623
02	Alto Gállego	Gallinas ponedoras	Aves	61	6	512
02	Alto Gállego	Lechones de menos de 20 kg	Porcinos	52	5	2917
02	Alto Gállego	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	70
02	Alto Gállego	Otros bovinos de dos años o más	Bovinos	12	1	941
02	Alto Gállego	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	90
02	Alto Gállego	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2695
02	Alto Gállego	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	3909
02	Alto Gállego	Ovejas madres y corderas para reposición	Ovinos	21	2	27102
02	Alto Gállego	Pollos de carne	Aves	62	6	336
02	Alto Gállego	Vacas	Bovinos	11	1	4257
03	Sobrarbe	Bovinos de entre uno y dos años	Bovinos	13	1	4905
03	Sobrarbe	Bovinos de menos de un año	Bovinos	14	1	11919
03	Sobrarbe	Cabras madres y chivas de reposición	Caprinos	31	3	3774
03	Sobrarbe	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	4219
03	Sobrarbe	Colmenas	Colmenas	81	8	869
03	Sobrarbe	Conejas madres	Conejas madres	71	7	276
03	Sobrarbe	Equinos (caballos, mulas y asnos)	Equinos	41	4	299
03	Sobrarbe	Gallinas ponedoras	Aves	61	6	1399
03	Sobrarbe	Lechones de menos de 20 kg	Porcinos	52	5	17063
03	Sobrarbe	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	363
03	Sobrarbe	Otros bovinos de dos años o más	Bovinos	12	1	1639
03	Sobrarbe	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	777
03	Sobrarbe	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	5368
03	Sobrarbe	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	45711
03	Sobrarbe	Ovejas madres y corderas para reposición	Ovinos	21	2	50727
03	Sobrarbe	Pollos de carne	Aves	62	6	881
03	Sobrarbe	Vacas	Bovinos	11	1	7645
04	La Ribagorza	Bovinos de entre uno y dos años	Bovinos	13	1	7823
04	La Ribagorza	Bovinos de menos de un año	Bovinos	14	1	29848
04	La Ribagorza	Cabras madres y chivas de reposición	Caprinos	31	3	4940
04	La Ribagorza	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	21810
04	La Ribagorza	Colmenas	Colmenas	81	8	2932
04	La Ribagorza	Conejas madres	Conejas madres	71	7	523
04	La Ribagorza	Equinos (caballos, mulas y asnos)	Equinos	41	4	430
04	La Ribagorza	Gallinas ponedoras	Aves	61	6	29454
04	La Ribagorza	Lechones de menos de 20 kg	Porcinos	52	5	57959
04	La Ribagorza	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	396
04	La Ribagorza	Otros bovinos de dos años o más	Bovinos	12	1	1399
04	La Ribagorza	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	728
04	La Ribagorza	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	8902
04	La Ribagorza	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	131621
04	La Ribagorza	Ovejas madres y corderas para reposición	Ovinos	21	2	99694
04	La Ribagorza	Pollos de carne	Aves	62	6	855775
04	La Ribagorza	Vacas	Bovinos	11	1	6698
05	Cinco Villas	Bovinos de entre uno y dos años	Bovinos	13	1	3246
05	Cinco Villas	Bovinos de menos de un año	Bovinos	14	1	5254
