Comarca codigo	Comarca nombre	Personas	Sexo	Ocupación agraria
01	La Jacetania	634	Hombre	Jefe explotación agraria
01	La Jacetania	65	Mujer	Jefe explotación agraria
02	Alto Gállego	374	Hombre	Jefe explotación agraria
02	Alto Gállego	61	Mujer	Jefe explotación agraria
03	Sobrarbe	711	Hombre	Jefe explotación agraria
03	Sobrarbe	101	Mujer	Jefe explotación agraria
04	La Ribagorza	1349	Hombre	Jefe explotación agraria
04	La Ribagorza	237	Mujer	Jefe explotación agraria
05	Cinco Villas	3086	Hombre	Jefe explotación agraria
05	Cinco Villas	405	Mujer	Jefe explotación agraria
06	Hoya de Huesca / Plana de Uesca	2289	Hombre	Jefe explotación agraria
06	Hoya de Huesca / Plana de Uesca	258	Mujer	Jefe explotación agraria
07	Somontano de Barbastro	1731	Hombre	Jefe explotación agraria
07	Somontano de Barbastro	356	Mujer	Jefe explotación agraria
08	Cinca Medio	1358	Hombre	Jefe explotación agraria
08	Cinca Medio	226	Mujer	Jefe explotación agraria
09	La Litera / La Llitera	1871	Hombre	Jefe explotación agraria
09	La Litera / La Llitera	241	Mujer	Jefe explotación agraria
10	Los Monegros	2840	Hombre	Jefe explotación agraria
10	Los Monegros	459	Mujer	Jefe explotación agraria
11	Bajo Cinca / Baix Cinca	2098	Hombre	Jefe explotación agraria
11	Bajo Cinca / Baix Cinca	307	Mujer	Jefe explotación agraria
12	Tarazona y el Moncayo	745	Hombre	Jefe explotación agraria
12	Tarazona y el Moncayo	77	Mujer	Jefe explotación agraria
13	Campo de Borja	1493	Hombre	Jefe explotación agraria
13	Campo de Borja	281	Mujer	Jefe explotación agraria
14	Aranda	575	Hombre	Jefe explotación agraria
14	Aranda	110	Mujer	Jefe explotación agraria
15	Ribera Alta del Ebro	954	Hombre	Jefe explotación agraria
15	Ribera Alta del Ebro	153	Mujer	Jefe explotación agraria
16	Valdejalón	2208	Hombre	Jefe explotación agraria
16	Valdejalón	307	Mujer	Jefe explotación agraria
17	D.C. Zaragoza	2249	Hombre	Jefe explotación agraria
17	D.C. Zaragoza	360	Mujer	Jefe explotación agraria
18	Ribera Baja del Ebro	881	Hombre	Jefe explotación agraria
18	Ribera Baja del Ebro	198	Mujer	Jefe explotación agraria
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1372	Hombre	Jefe explotación agraria
19	Bajo Aragón-Caspe / Baix Aragó-Casp	245	Mujer	Jefe explotación agraria
20	Comunidad de Calatayud	2951	Hombre	Jefe explotación agraria
20	Comunidad de Calatayud	404	Mujer	Jefe explotación agraria
21	Campo de Cariñena	1676	Hombre	Jefe explotación agraria
21	Campo de Cariñena	300	Mujer	Jefe explotación agraria
22	Campo de Belchite	974	Hombre	Jefe explotación agraria
22	Campo de Belchite	156	Mujer	Jefe explotación agraria
23	Bajo Martín	728	Hombre	Jefe explotación agraria
23	Bajo Martín	128	Mujer	Jefe explotación agraria
24	Campo de Daroca	1045	Hombre	Jefe explotación agraria
24	Campo de Daroca	182	Mujer	Jefe explotación agraria
25	Jiloca	1579	Hombre	Jefe explotación agraria
25	Jiloca	315	Mujer	Jefe explotación agraria
26	Cuencas Mineras	528	Hombre	Jefe explotación agraria
26	Cuencas Mineras	107	Mujer	Jefe explotación agraria
27	Andorra-Sierra de Arcos	622	Hombre	Jefe explotación agraria
27	Andorra-Sierra de Arcos	135	Mujer	Jefe explotación agraria
28	Bajo Aragón	1727	Hombre	Jefe explotación agraria
28	Bajo Aragón	418	Mujer	Jefe explotación agraria
29	Comunidad de Teruel	1800	Hombre	Jefe explotación agraria
29	Comunidad de Teruel	347	Mujer	Jefe explotación agraria
30	Maestrazgo	472	Hombre	Jefe explotación agraria
30	Maestrazgo	124	Mujer	Jefe explotación agraria
31	Sierra de Albarracín	290	Hombre	Jefe explotación agraria
31	Sierra de Albarracín	73	Mujer	Jefe explotación agraria
32	Gúdar-Javalambre	662	Hombre	Jefe explotación agraria
32	Gúdar-Javalambre	136	Mujer	Jefe explotación agraria
33	Matarraña / Matarranya	1355	Hombre	Jefe explotación agraria
33	Matarraña / Matarranya	275	Mujer	Jefe explotación agraria
