Municipio código	Municipio nombre	Personas	Sexo	Jefe explotación
22001	Abiego	45	Hombres	1
22001	Abiego	8	Mujeres	1
22002	Abizanda	23	Hombres	1
22002	Abizanda	4	Mujeres	1
22003	Adahuesca	49	Hombres	1
22003	Adahuesca	7	Mujeres	1
22004	Agüero	25	Hombres	1
22004	Agüero	1	Mujeres	1
22006	Aísa	17	Hombres	1
22006	Aísa	3	Mujeres	1
22007	Albalate de Cinca	128	Hombres	1
22007	Albalate de Cinca	26	Mujeres	1
22008	Albalatillo	14	Hombres	1
22008	Albalatillo	3	Mujeres	1
22009	Albelda	230	Hombres	1
22009	Albelda	29	Mujeres	1
22011	Albero Alto	20	Hombres	1
22011	Albero Alto	1	Mujeres	1
22012	Albero Bajo	27	Hombres	1
22012	Albero Bajo	5	Mujeres	1
22013	Alberuela de Tubo	35	Hombres	1
22013	Alberuela de Tubo	6	Mujeres	1
22014	Alcalá de Gurrea	42	Hombres	1
22014	Alcalá de Gurrea	2	Mujeres	1
22015	Alcalá del Obispo	71	Hombres	1
22015	Alcalá del Obispo	9	Mujeres	1
22016	Alcampell	180	Hombres	1
22016	Alcampell	15	Mujeres	1
22017	Alcolea de Cinca	138	Hombres	1
22017	Alcolea de Cinca	26	Mujeres	1
22018	Alcubierre	65	Hombres	1
22018	Alcubierre	14	Mujeres	1
22019	Alerre	12	Hombres	1
22019	Alerre	2	Mujeres	1
22020	Alfántega	20	Hombres	1
22020	Alfántega	3	Mujeres	1
22021	Almudévar	283	Hombres	1
22021	Almudévar	48	Mujeres	1
22022	Almunia de San Juan	66	Hombres	1
22022	Almunia de San Juan	11	Mujeres	1
22023	Almuniente	94	Hombres	1
22023	Almuniente	13	Mujeres	1
22024	Alquézar	41	Hombres	1
22024	Alquézar	14	Mujeres	1
22025	Altorricón	171	Hombres	1
22025	Altorricón	9	Mujeres	1
22027	Angüés	62	Hombres	1
22027	Angüés	3	Mujeres	1
22028	Ansó	23	Hombres	1
22028	Ansó	2	Mujeres	1
22029	Antillón	34	Hombres	1
22029	Antillón	6	Mujeres	1
22032	Aragüés del Puerto	9	Hombres	1
22035	Arén	75	Hombres	1
22035	Arén	10	Mujeres	1
22036	Argavieso	26	Hombres	1
22036	Argavieso	2	Mujeres	1
22037	Arguis	14	Hombres	1
22039	Ayerbe	82	Hombres	1
22039	Ayerbe	9	Mujeres	1
22040	Azanuy-Alins	53	Hombres	1
22040	Azanuy-Alins	9	Mujeres	1
22041	Azara	31	Hombres	1
22041	Azara	8	Mujeres	1
22042	Azlor	33	Hombres	1
22042	Azlor	7	Mujeres	1
22043	Baells	40	Hombres	1
22043	Baells	6	Mujeres	1
22044	Bailo	68	Hombres	1
22044	Bailo	3	Mujeres	1
22045	Baldellou	47	Hombres	1
22045	Baldellou	4	Mujeres	1
22046	Ballobar	119	Hombres	1
22046	Ballobar	28	Mujeres	1
22047	Banastás	5	Hombres	1
22048	Barbastro	290	Hombres	1
22048	Barbastro	84	Mujeres	1
22049	Barbués	27	Hombres	1
22049	Barbués	4	Mujeres	1
22050	Barbuñales	25	Hombres	1
22051	Bárcabo	59	Hombres	1
22051	Bárcabo	9	Mujeres	1
22052	Belver de Cinca	216	Hombres	1
22052	Belver de Cinca	15	Mujeres	1
22053	Benabarre	151	Hombres	1
22053	Benabarre	13	Mujeres	1
22054	Benasque	37	Hombres	1
22054	Benasque	3	Mujeres	1
22055	Berbegal	78	Hombres	1
22055	Berbegal	11	Mujeres	1
22057	Bielsa	22	Hombres	1
22057	Bielsa	3	Mujeres	1
22058	Bierge	89	Hombres	1
22058	Bierge	22	Mujeres	1
22059	Biescas	70	Hombres	1
22059	Biescas	14	Mujeres	1
22060	Binaced	243	Hombres	1
22060	Binaced	29	Mujeres	1
22061	Binéfar	161	Hombres	1
22061	Binéfar	20	Mujeres	1
22062	Bisaurri	39	Hombres	1
22062	Bisaurri	9	Mujeres	1
22063	Biscarrués	46	Hombres	1
22063	Biscarrués	4	Mujeres	1
22064	Blecua y Torres	41	Hombres	1
22064	Blecua y Torres	2	Mujeres	1
22066	Boltaña	37	Hombres	1
22066	Boltaña	9	Mujeres	1
22067	Bonansa	11	Hombres	1
22067	Bonansa	2	Mujeres	1
22068	Borau	6	Hombres	1
22069	Broto	46	Hombres	1
22069	Broto	3	Mujeres	1
22072	Caldearenas	54	Hombres	1
22072	Caldearenas	10	Mujeres	1
22074	Campo	10	Hombres	1
22074	Campo	3	Mujeres	1
22075	Camporrells	42	Hombres	1
22075	Camporrells	6	Mujeres	1
22076	Canal de Berdún	90	Hombres	1
22076	Canal de Berdún	12	Mujeres	1
22077	Candasnos	83	Hombres	1
22077	Candasnos	19	Mujeres	1
22078	Canfranc	3	Hombres	1
