Municipio código	Municipio nombre	Especie ganadería 	Subespecie ganadería	Explotaciones ganadería
22001	Abiego	Aves	Gallinas ponedoras	1
22001	Abiego	Caprinos	Cabras madres y chivas de reposición	1
22001	Abiego	Conejas madres	Conejas madres	1
22001	Abiego	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	5
22001	Abiego	Ovinos	Ovejas madres y corderas para reposición	8
22001	Abiego	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
22001	Abiego	Porcinos	Lechones de menos de 20 kg	1
22001	Abiego	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22002	Abizanda	Aves	Gallinas ponedoras	2
22002	Abizanda	Bovinos	Bovinos de entre uno y dos años	1
22002	Abizanda	Bovinos	Bovinos de menos de un año	2
22002	Abizanda	Bovinos	Otros bovinos de dos años o más	1
22002	Abizanda	Bovinos	Vacas	1
22002	Abizanda	Caprinos	Cabras madres y chivas de reposición	1
22002	Abizanda	Colmenas	Colmenas	1
22002	Abizanda	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	6
22002	Abizanda	Ovinos	Ovejas madres y corderas para reposición	9
22002	Abizanda	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1
22003	Adahuesca	Bovinos	Bovinos de entre uno y dos años	3
22003	Adahuesca	Bovinos	Bovinos de menos de un año	10
22003	Adahuesca	Bovinos	Otros bovinos de dos años o más	3
22003	Adahuesca	Bovinos	Vacas	3
22003	Adahuesca	Caprinos	Cabras madres y chivas de reposición	1
22003	Adahuesca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22003	Adahuesca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22003	Adahuesca	Ovinos	Ovejas madres y corderas para reposición	6
22003	Adahuesca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22003	Adahuesca	Porcinos	Lechones de menos de 20 kg	1
22003	Adahuesca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22004	Agüero	Caprinos	Cabras madres y chivas de reposición	1
22004	Agüero	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	2
22004	Agüero	Ovinos	Ovejas madres y corderas para reposición	2
22006	Aísa	Aves	Gallinas ponedoras	1
22006	Aísa	Bovinos	Bovinos de entre uno y dos años	3
22006	Aísa	Bovinos	Bovinos de menos de un año	3
22006	Aísa	Bovinos	Otros bovinos de dos años o más	3
22006	Aísa	Bovinos	Vacas	3
22006	Aísa	Caprinos	Cabras madres y chivas de reposición	3
22006	Aísa	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	2
22006	Aísa	Conejas madres	Conejas madres	1
22006	Aísa	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	8
22006	Aísa	Ovinos	Ovejas madres y corderas para reposición	9
22007	Albalate de Cinca	Aves	Gallinas ponedoras	2
22007	Albalate de Cinca	Aves	Pollos de carne	1
22007	Albalate de Cinca	Bovinos	Bovinos de entre uno y dos años	6
22007	Albalate de Cinca	Bovinos	Bovinos de menos de un año	22
22007	Albalate de Cinca	Bovinos	Otros bovinos de dos años o más	5
22007	Albalate de Cinca	Bovinos	Vacas	5
22007	Albalate de Cinca	Caprinos	Cabras madres y chivas de reposición	1
22007	Albalate de Cinca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22007	Albalate de Cinca	Otros animales no de compañía	Otros animales no de compañía	1
22007	Albalate de Cinca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22007	Albalate de Cinca	Ovinos	Ovejas madres y corderas para reposición	1
22007	Albalate de Cinca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	1
22007	Albalate de Cinca	Porcinos	Lechones de menos de 20 kg	2
22007	Albalate de Cinca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	8
22008	Albalatillo	Aves	Pollos de carne	1
22008	Albalatillo	Bovinos	Bovinos de entre uno y dos años	1
22008	Albalatillo	Bovinos	Bovinos de menos de un año	6
22008	Albalatillo	Bovinos	Vacas	1
22008	Albalatillo	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	2
22008	Albalatillo	Porcinos	Lechones de menos de 20 kg	3
22008	Albalatillo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	4
22009	Albelda	Aves	Gallinas ponedoras	19
22009	Albelda	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	4
22009	Albelda	Aves	Pollos de carne	6
22009	Albelda	Bovinos	Bovinos de entre uno y dos años	5
22009	Albelda	Bovinos	Bovinos de menos de un año	18
22009	Albelda	Bovinos	Vacas	4
22009	Albelda	Caprinos	Cabras madres y chivas de reposición	3
22009	Albelda	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	2
22009	Albelda	Colmenas	Colmenas	3
22009	Albelda	Conejas madres	Conejas madres	7
22009	Albelda	Equinos	Equinos (caballos, mulas y asnos)	3
22009	Albelda	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	3
22009	Albelda	Ovinos	Ovejas madres y corderas para reposición	7
22009	Albelda	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	5
22009	Albelda	Porcinos	Lechones de menos de 20 kg	8
22009	Albelda	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	36
22011	Albero Alto	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22012	Albero Bajo	Bovinos	Bovinos de menos de un año	1
22012	Albero Bajo	Caprinos	Cabras madres y chivas de reposición	1
22012	Albero Bajo	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	1
22012	Albero Bajo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22012	Albero Bajo	Ovinos	Ovejas madres y corderas para reposición	1
22012	Albero Bajo	Porcinos	Lechones de menos de 20 kg	1
22012	Albero Bajo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1
22013	Alberuela de Tubo	Bovinos	Bovinos de entre uno y dos años	6
22013	Alberuela de Tubo	Bovinos	Bovinos de menos de un año	2
22013	Alberuela de Tubo	Bovinos	Otros bovinos de dos años o más	1
22013	Alberuela de Tubo	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1
22013	Alberuela de Tubo	Ovinos	Ovejas madres y corderas para reposición	1
22013	Alberuela de Tubo	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	2
22014	Alcalá de Gurrea	Aves	Gallinas ponedoras	2
