Provincia codigo	Provincia nombre	Especie ganadería 	Subespecie ganadería	Explotaciones ganadería
22	Huesca	Aves	Gallinas ponedoras	690
22	Huesca	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	125
22	Huesca	Aves	Pollos de carne	349
22	Huesca	Bovinos	Bovinos de entre uno y dos años	690
22	Huesca	Bovinos	Bovinos de menos de un año	1413
22	Huesca	Bovinos	Otros bovinos de dos años o más	528
22	Huesca	Bovinos	Vacas	623
22	Huesca	Caprinos	Cabras madres y chivas de reposición	558
22	Huesca	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	441
22	Huesca	Colmenas	Colmenas	137
22	Huesca	Conejas madres	Conejas madres	333
22	Huesca	Equinos	Equinos (caballos, mulas y asnos)	225
22	Huesca	Otros animales no de compañía	Otros animales no de compañía	41
22	Huesca	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	968
22	Huesca	Ovinos	Ovejas madres y corderas para reposición	1281
22	Huesca	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	323
22	Huesca	Porcinos	Lechones de menos de 20 kg	344
22	Huesca	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	1202
44	Teruel	Aves	Gallinas ponedoras	493
44	Teruel	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	56
44	Teruel	Aves	Pollos de carne	205
44	Teruel	Bovinos	Bovinos de entre uno y dos años	206
44	Teruel	Bovinos	Bovinos de menos de un año	287
44	Teruel	Bovinos	Otros bovinos de dos años o más	242
44	Teruel	Bovinos	Vacas	241
44	Teruel	Caprinos	Cabras madres y chivas de reposición	526
44	Teruel	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	356
44	Teruel	Colmenas	Colmenas	130
44	Teruel	Conejas madres	Conejas madres	342
44	Teruel	Equinos	Equinos (caballos, mulas y asnos)	144
44	Teruel	Otros animales no de compañía	Otros animales no de compañía	44
44	Teruel	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	1188
44	Teruel	Ovinos	Ovejas madres y corderas para reposición	1536
44	Teruel	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	241
44	Teruel	Porcinos	Lechones de menos de 20 kg	221
44	Teruel	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	526
50	Zaragoza	Aves	Gallinas ponedoras	212
50	Zaragoza	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	51
50	Zaragoza	Aves	Pollos de carne	184
50	Zaragoza	Bovinos	Bovinos de entre uno y dos años	273
50	Zaragoza	Bovinos	Bovinos de menos de un año	316
50	Zaragoza	Bovinos	Otros bovinos de dos años o más	80
50	Zaragoza	Bovinos	Vacas	103
50	Zaragoza	Caprinos	Cabras madres y chivas de reposición	534
50	Zaragoza	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	396
50	Zaragoza	Colmenas	Colmenas	119
50	Zaragoza	Conejas madres	Conejas madres	89
50	Zaragoza	Equinos	Equinos (caballos, mulas y asnos)	186
50	Zaragoza	Otros animales no de compañía	Otros animales no de compañía	40
50	Zaragoza	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	940
50	Zaragoza	Ovinos	Ovejas madres y corderas para reposición	1174
50	Zaragoza	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	273
50	Zaragoza	Porcinos	Lechones de menos de 20 kg	263
50	Zaragoza	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	696
