Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
01	La Jacetania	1857,7	18178	9,78521828066965	2011
01	La Jacetania	1857,7	16676	8,97669160790224	2001
01	La Jacetania	1857,7	16007	8,6165688754912	1991
01	La Jacetania	1857,7	16948	9,12310922107983	1981
01	La Jacetania	1857,7	17926	9,649566668461	1970
01	La Jacetania	1857,7	21167	11,3941971254777	1960
01	La Jacetania	1857,7	24270	13,0645421758088	1950
01	La Jacetania	1857,7	24908	13,407977606718	1940
01	La Jacetania	1857,7	26904	14,4824245034182	1930
01	La Jacetania	1857,7	26478	14,2531086827798	1920
01	La Jacetania	1857,7	27017	14,5432524088927	1910
01	La Jacetania	1857,7	26996	14,5319481078753	1900
02	Alto Gállego	1359,82	14558	10,7058287126237	2011
02	Alto Gállego	1359,82	12176	8,9541262814196	2001
02	Alto Gállego	1359,82	12297	9,04310864673266	1991
02	Alto Gállego	1359,82	12501	9,19312850230178	1981
02	Alto Gállego	1359,82	12687	9,32991131179127	1970
02	Alto Gállego	1359,82	13411	9,86233472077187	1960
02	Alto Gállego	1359,82	12424	9,13650336073892	1950
02	Alto Gállego	1359,82	12589	9,25784294980218	1940
02	Alto Gállego	1359,82	13650	10,0380932770514	1930
02	Alto Gállego	1359,82	13604	10,0042652704034	1920
02	Alto Gállego	1359,82	13813	10,1579620832169	1910
02	Alto Gállego	1359,82	13500	9,92778455972114	1900
03	Sobrarbe	2202,2	7663	3,47970211606575	2011
03	Sobrarbe	2202,2	6803	3,089183543729	2001
03	Sobrarbe	2202,2	6638	3,01425846880392	1991
03	Sobrarbe	2202,2	7091	3,21996185632549	1981
03	Sobrarbe	2202,2	9525	4,32522023431114	1970
03	Sobrarbe	2202,2	15122	6,86676959404232	1960
03	Sobrarbe	2202,2	18290	8,30533103260376	1950
03	Sobrarbe	2202,2	20303	9,21941694668967	1940
03	Sobrarbe	2202,2	21826	9,91099809281627	1930
03	Sobrarbe	2202,2	22761	10,3355735173917	1920
03	Sobrarbe	2202,2	22667	10,2928889292526	1910
03	Sobrarbe	2202,2	22277	10,1157932976115	1900
04	La Ribagorza	2460,33	13037	5,29888267021091	2011
04	La Ribagorza	2460,33	11792	4,7928529912654	2001
04	La Ribagorza	2460,33	11915	4,84284628484797	1991
04	La Ribagorza	2460,33	12953	5,26474090873988	1981
04	La Ribagorza	2460,33	16665	6,77348160612601	1970
04	La Ribagorza	2460,33	23201	9,43003580820459	1960
04	La Ribagorza	2460,33	25694	10,4433145147196	1950
04	La Ribagorza	2460,33	29667	12,0581385423907	1940
04	La Ribagorza	2460,33	31595	12,8417732580589	1930
04	La Ribagorza	2460,33	33415	13,5815114232644	1920
04	La Ribagorza	2460,33	34339	13,9570707994456	1910
04	La Ribagorza	2460,33	34095	13,8578971113631	1900
05	Cinco Villas	3062,44	32502	10,6131058894215	2011
05	Cinco Villas	3062,44	32209	10,517430545578	2001
05	Cinco Villas	3062,44	32656	10,663392588916	1991
05	Cinco Villas	3062,44	34757	11,3494468463056	1981
05	Cinco Villas	3062,44	37640	12,2908530452842	1970
05	Cinco Villas	3062,44	40779	13,3158527187471	1960
05	Cinco Villas	3062,44	42682	13,9372526482151	1950
05	Cinco Villas	3062,44	45677	14,9152309922807	1940
05	Cinco Villas	3062,44	45889	14,9844568383381	1930
05	Cinco Villas	3062,44	43611	14,2406055302308	1920
05	Cinco Villas	3062,44	38487	12,567429892504	1910
05	Cinco Villas	3062,44	36105	11,7896187353875	1900
06	Hoya de Huesca / Plana de Uesca	2525,58	67921	26,8932284861299	2011
06	Hoya de Huesca / Plana de Uesca	2525,58	60254	23,857490160676	2001
06	Hoya de Huesca / Plana de Uesca	2525,58	58743	23,2592117454209	1991
06	Hoya de Huesca / Plana de Uesca	2525,58	58074	22,9943220963106	1981
06	Hoya de Huesca / Plana de Uesca	2525,58	53374	21,133363425431	1970
06	Hoya de Huesca / Plana de Uesca	2525,58	52338	20,7231606205307	1960
06	Hoya de Huesca / Plana de Uesca	2525,58	54618	21,625923550234	1950
06	Hoya de Huesca / Plana de Uesca	2525,58	54325	21,5099105947941	1940
06	Hoya de Huesca / Plana de Uesca	2525,58	57590	22,8026829480753	1930
06	Hoya de Huesca / Plana de Uesca	2525,58	56536	22,3853530674142	1920
06	Hoya de Huesca / Plana de Uesca	2525,58	56183	22,2455831927716	1910
06	Hoya de Huesca / Plana de Uesca	2525,58	54181	21,4528939887075	1900
07	Somontano de Barbastro	1170,32	24309	20,7712420534555	2011
07	Somontano de Barbastro	1170,32	22772	19,4579260373231	2001
07	Somontano de Barbastro	1170,32	23105	19,7424635996992	1991
07	Somontano de Barbastro	1170,32	24094	20,5875316152847	1981
07	Somontano de Barbastro	1170,32	24804	21,1942032948253	1970
07	Somontano de Barbastro	1170,32	25978	22,1973477339531	1960
07	Somontano de Barbastro	1170,32	26211	22,396438580901	1950
07	Somontano de Barbastro	1170,32	28361	24,2335429626085	1940
07	Somontano de Barbastro	1170,32	29124	24,8855014013261	1930
07	Somontano de Barbastro	1170,32	32898	28,1102604415886	1920
07	Somontano de Barbastro	1170,32	33406	28,5443297559642	1910
07	Somontano de Barbastro	1170,32	33324	28,474263449313	1900
08	Cinca Medio	573,05	24031	41,935258703429	2011
08	Cinca Medio	573,05	22132	38,6214117441759	2001
08	Cinca Medio	573,05	22265	38,8535031847134	1991
08	Cinca Medio	573,05	22947	40,0436262106273	1981
08	Cinca Medio	573,05	23989	41,8619666695751	1970
08	Cinca Medio	573,05	20102	35,0789634412355	1960
08	Cinca Medio	573,05	17338	30,2556495942762	1950
08	Cinca Medio	573,05	17438	30,4301544367856	1940
08	Cinca Medio	573,05	17354	30,2835703690777	1930
08	Cinca Medio	573,05	17578	30,6744612162988	1920
08	Cinca Medio	573,05	17736	30,9501788674636	1910
08	Cinca Medio	573,05	16350	28,5315417502836	1900
09	La Litera / La Llitera	733,86	18852	25,688823481318	2011
09	La Litera / La Llitera	733,86	18487	25,1914534107323	2001
09	La Litera / La Llitera	733,86	19477	26,5404845610879	1991
09	La Litera / La Llitera	733,86	20761	28,2901370833674	1981
09	La Litera / La Llitera	733,86	21831	29,7481808519336	1970
09	La Litera / La Llitera	733,86	21940	29,8967105442455	1960
09	La Litera / La Llitera	733,86	21655	29,5083530918704	1950
09	La Litera / La Llitera	733,86	21117	28,7752432344044	1940
09	La Litera / La Llitera	733,86	20872	28,4413920911345	1930
09	La Litera / La Llitera	733,86	21767	29,6609707573652	1920
09	La Litera / La Llitera	733,86	20267	27,6169841659172	1910
09	La Litera / La Llitera	733,86	17917	24,4147385059821	1900
10	Los Monegros	2764,45	20580	7,4445188012082	2011
10	Los Monegros	2764,45	20989	7,59246866465301	2001
10	Los Monegros	2764,45	23253	8,4114380799074	1991
10	Los Monegros	2764,45	25661	9,2824974226338	1981
10	Los Monegros	2764,45	27698	10,0193528549983	1970
10	Los Monegros	2764,45	28841	10,4328166543074	1960
10	Los Monegros	2764,45	28234	10,2132431405885	1950
10	Los Monegros	2764,45	30548	11,0502993362152	1940
10	Los Monegros	2764,45	30616	11,0748973575214	1930
10	Los Monegros	2764,45	31753	11,4861907431858	1920
10	Los Monegros	2764,45	30951	11,1960787860153	1910
10	Los Monegros	2764,45	28881	10,4472860786051	1900
11	Bajo Cinca / Baix Cinca	1419,91	24552	17,2912367685276	2011
11	Bajo Cinca / Baix Cinca	1419,91	22254	15,6728243339367	2001
11	Bajo Cinca / Baix Cinca	1419,91	22666	15,9629835693812	1991
11	Bajo Cinca / Baix Cinca	1419,91	22978	16,1827158059314	1981
11	Bajo Cinca / Baix Cinca	1419,91	23475	16,532737990436	1970
11	Bajo Cinca / Baix Cinca	1419,91	26033	18,3342606221521	1960
11	Bajo Cinca / Baix Cinca	1419,91	23209	16,3454021733772	1950
11	Bajo Cinca / Baix Cinca	1419,91	22993	16,1932798557655	1940
11	Bajo Cinca / Baix Cinca	1419,91	23303	16,4116035523378	1930
11	Bajo Cinca / Baix Cinca	1419,91	25492	17,953250558134	1920
11	Bajo Cinca / Baix Cinca	1419,91	24254	17,0813643118226	1910
11	Bajo Cinca / Baix Cinca	1419,91	22233	15,6580346641689	1900
12	Tarazona y el Moncayo	452,22	14557	32,1900844721596	2011
12	Tarazona y el Moncayo	452,22	14168	31,3298836849321	2001
12	Tarazona y el Moncayo	452,22	14520	32,1082658882845	1991
12	Tarazona y el Moncayo	452,22	15671	34,6534872407235	1981
12	Tarazona y el Moncayo	452,22	17636	38,9987174384149	1970
12	Tarazona y el Moncayo	452,22	20145	44,5469019503781	1960
12	Tarazona y el Moncayo	452,22	22396	49,5245676882933	1950
12	Tarazona y el Moncayo	452,22	21251	46,9926142143205	1940
12	Tarazona y el Moncayo	452,22	20084	44,4120118526381	1930
12	Tarazona y el Moncayo	452,22	18730	41,4178939454248	1920
12	Tarazona y el Moncayo	452,22	18372	40,6262438636062	1910
12	Tarazona y el Moncayo	452,22	19078	42,1874308964663	1900
13	Campo de Borja	690,58	15166	21,9612499637985	2011
13	Campo de Borja	690,58	14181	20,5349126820933	2001
13	Campo de Borja	690,58	14632	21,1879869095543	1991
13	Campo de Borja	690,58	15580	22,5607460395609	1981
13	Campo de Borja	690,58	17254	24,9847953893828	1970
13	Campo de Borja	690,58	19616	28,4051087491674	1960
13	Campo de Borja	690,58	21272	30,803093052217	1950
13	Campo de Borja	690,58	21241	30,7582032494425	1940
13	Campo de Borja	690,58	21428	31,0289901242434	1930
13	Campo de Borja	690,58	22043	31,9195458889629	1920
13	Campo de Borja	690,58	21447	31,0565032291697	1910
13	Campo de Borja	690,58	22880	33,1315705638738	1900
14	Aranda	561,06	7402	13,192884896446	2011
14	Aranda	561,06	7967	14,1999073182904	2001
14	Aranda	561,06	8248	14,7007450183581	1991
14	Aranda	561,06	8438	15,039389726589	1981
14	Aranda	561,06	8984	16,0125476776102	1970
14	Aranda	561,06	10780	19,2136313406766	1960
14	Aranda	561,06	12490	22,2614337147542	1950
14	Aranda	561,06	13105	23,3575731650804	1940
14	Aranda	561,06	13859	24,701457954586	1930
14	Aranda	561,06	13281	23,6712651053363	1920
14	Aranda	561,06	12967	23,1116101664706	1910
14	Aranda	561,06	12482	22,2471749901971	1900
15	Ribera Alta del Ebro	416	27761	66,7331730769231	2011
15	Ribera Alta del Ebro	416	22286	53,5721153846154	2001
15	Ribera Alta del Ebro	416	21622	51,9759615384615	1991
