Provincia código	Provincia nombre	Superficie (km2)	Densidad de población (hab/km2)	Población	Año
22	Huesca	15636,2	14,4517849605403	225971	2011
22	Huesca	15636,2	13,2066614650618	206502	2001
22	Huesca	15636,2	13,2903135032808	207810	1991
22	Huesca	15636,2	13,7441961601924	214907	1981
22	Huesca	15636,2	14,1825379567926	221761	1970
22	Huesca	15636,2	14,966168250598	234014	1960
22	Huesca	15636,2	15,2006881467364	237681	1950
22	Huesca	15636,2	15,8053107532521	247135	1940
22	Huesca	15636,2	16,4859108990675	257777	1930
22	Huesca	15636,2	16,9864161369131	265603	1920
22	Huesca	15636,2	16,9468285133217	264984	1910
22	Huesca	15636,2	16,3147056190123	255100	1900
44	Teruel	14809,6	9,66791810717373	143178	2011
44	Teruel	14809,6	9,1736441227312	135858	2001
44	Teruel	14809,6	9,70181503889369	143680	1991
44	Teruel	14809,6	10,3619949222126	153457	1981
44	Teruel	14809,6	11,739749891962	173861	1970
44	Teruel	14809,6	15,1089833621435	223758	1960
44	Teruel	14809,6	16,4264396067416	243269	1950
44	Teruel	14809,6	16,6081460674157	245960	1940
44	Teruel	14809,6	17,8060177182368	263700	1930
44	Teruel	14809,6	17,8304613223855	264062	1920
44	Teruel	14809,6	17,95511019879	265908	1910
44	Teruel	14809,6	17,015584485739	251994	1900
50	Zaragoza	17274,5	56,4644418072882	975395	2011
50	Zaragoza	17274,5	49,8917479521839	861855	2001
50	Zaragoza	17274,5	48,471851573128	837327	1991
50	Zaragoza	17274,5	47,9659613881733	828588	1981
50	Zaragoza	17274,5	43,8468841355756	757433	1970
50	Zaragoza	17274,5	37,1133752062288	641115	1960
50	Zaragoza	17274,5	35,2770268314568	609393	1950
50	Zaragoza	17274,5	33,2609337462734	574566	1940
50	Zaragoza	17274,5	30,6884135575559	530127	1930
50	Zaragoza	17274,5	28,8627746099742	498590	1920
50	Zaragoza	17274,5	26,021071521607	449501	1910
50	Zaragoza	17274,5	24,3725143998379	421023	1900
