Año	Provincia	Municipio	Entidad singular	Núcleo
2019	22-Huesca	22001 - Abiego	220010001 - Abiego	22001000101 - Abiego
2019	22-Huesca	22001 - Abiego	220010001 - Abiego	22001000199 - *Diseminado*
2019	22-Huesca	22001 - Abiego	220010002 - Alberuela de la Liena	22001000201 - Alberuela de la Liena
2019	22-Huesca	22002 - Abizanda	220020001 - Abizanda	22002000101 - Abizanda
2019	22-Huesca	22002 - Abizanda	220020001 - Abizanda	22002000199 - *Diseminado*
2019	22-Huesca	22002 - Abizanda	220020002 - Escanilla	22002000201 - Escanilla
2019	22-Huesca	22002 - Abizanda	220020003 - Lamata	22002000301 - Lamata
2019	22-Huesca	22002 - Abizanda	220020004 - Ligüerre de Cinca	22002000401 - Ligüerre de Cinca
2019	22-Huesca	22002 - Abizanda	220020004 - Ligüerre de Cinca	22002000499 - *Diseminado*
2019	22-Huesca	22002 - Abizanda	220020005 - Mesón de Ligüerre	22002000501 - Mesón de Ligüerre
2019	22-Huesca	22003 - Adahuesca	220030001 - Adahuesca	22003000101 - Adahuesca
2019	22-Huesca	22003 - Adahuesca	220030001 - Adahuesca	22003000199 - *Diseminado*
2019	22-Huesca	22004 - Agüero	220040001 - Agüero	22004000101 - Agüero
2019	22-Huesca	22004 - Agüero	220040002 - Sanfelices	22004000201 - Sanfelices
2019	22-Huesca	22006 - Aísa	220060001 - Aísa	22006000101 - Aísa
2019	22-Huesca	22006 - Aísa	220060001 - Aísa	22006000199 - *Diseminado*
2019	22-Huesca	22006 - Aísa	220060002 - Candanchú	22006000201 - Candanchú
2019	22-Huesca	22006 - Aísa	220060003 - Esposa	22006000301 - Esposa
2019	22-Huesca	22006 - Aísa	220060003 - Esposa	22006000399 - *Diseminado*
2019	22-Huesca	22006 - Aísa	220060004 - Sinués	22006000401 - Sinués
2019	22-Huesca	22006 - Aísa	220060004 - Sinués	22006000499 - *Diseminado*
2019	22-Huesca	22007 - Albalate de Cinca	220070001 - Albalate de Cinca	22007000101 - Albalate de Cinca
2019	22-Huesca	22007 - Albalate de Cinca	220070001 - Albalate de Cinca	22007000199 - *Diseminado*
2019	22-Huesca	22008 - Albalatillo	220080001 - Albalatillo	22008000101 - Albalatillo
2019	22-Huesca	22008 - Albalatillo	220080001 - Albalatillo	22008000199 - *Diseminado*
2019	22-Huesca	22009 - Albelda	220090001 - Albelda	22009000101 - Albelda
2019	22-Huesca	22009 - Albelda	220090001 - Albelda	22009000199 - *Diseminado*
