Año	Comarca código	Comarca	Superficie (km2)
2017	01	La Jacetania	1857,7
2017	02	Alto Gállego	1359,82
2017	03	Sobrarbe	2202,2
2017	04	La Ribagorza	2460,33
2017	05	Cinco Villas	3062,44
2017	06	Hoya de Huesca / Plana de Uesca	2525,58
2017	07	Somontano de Barbastro	1170,32
2017	08	Cinca Medio	573,05
2017	09	La Litera / La Llitera	733,86
2017	10	Los Monegros	2764,45
2017	11	Bajo Cinca / Baix Cinca	1419,91
2017	12	Tarazona y el Moncayo	452,22
2017	13	Campo de Borja	690,58
2017	14	Aranda	561,06
2017	15	Ribera Alta del Ebro	416
2017	16	Valdejalón	938,77
2017	17	D.C. Zaragoza	2288,85
2017	18	Ribera Baja del Ebro	989,86
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	997,28
2017	20	Comunidad de Calatayud	2512,54
2017	21	Campo de Cariñena	772,02
2017	22	Campo de Belchite	1043,73
2017	23	Bajo Martín	795,19
2017	24	Campo de Daroca	1118,12
2017	25	Jiloca	1932,34
2017	26	Cuencas Mineras	1407,85
2017	27	Andorra-Sierra de Arcos	675,05
2017	28	Bajo Aragón	1304,18
2017	29	Comunidad de Teruel	2791,93
2017	30	Maestrazgo	1204,25
2017	31	Sierra de Albarracín	1414,12
2017	32	Gúdar-Javalambre	2351,58
2017	33	Matarraña / Matarranya	933,07
