CCAA codigo	CCAA nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total personas	Españoles	Extranjeros
02	Aragón	0	Menor de 16	1	Hombre	102999,914999814	84494,4766781194	18505,438321695
02	Aragón	1	De 16 a 25	1	Hombre	67435,7615816883	53204,1947536562	14231,5668280321
02	Aragón	2	De 26 a 45	1	Hombre	214328,687175733	171640,782379879	42687,904795854
02	Aragón	3	De 46 a 64	1	Hombre	166393,485114129	154070,493856161	12322,9912579671
02	Aragón	4	De 65 a 84	1	Hombre	100061,726197335	98990,1027903539	1071,6234069807
02	Aragón	5	85 y más	1	Hombre	13787,473012356	13746,9883293578	40,4846829982
02	Aragón	0	Menor de 16	6	Mujer	96067,021120639	82198,2049947366	13868,8161259024
02	Aragón	1	De 16 a 25	6	Mujer	65032,1759354819	52968,9176150166	12063,2583204653
02	Aragón	2	De 26 a 45	6	Mujer	195908,180601783	158377,512843197	37530,6677585861
02	Aragón	3	De 46 a 64	6	Mujer	163018,221608918	152338,742296474	10679,4793124446
02	Aragón	4	De 65 a 84	6	Mujer	122243,031985244	121113,259517175	1129,7724680694
02	Aragón	5	85 y más	6	Mujer	23913,2645314156	23660,6741429578	252,5903884578
