Provincia codigo	Provincia:	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22	Huesca	0	Menor de 16	1	Hombre	16589,9565415018	13845,9596933828	2743,996848119
44	Teruel	0	Menor de 16	1	Hombre	10130,0125675882	7848,3520821019	2281,6604854863
50	Zaragoza	0	Menor de 16	1	Hombre	76279,9458907244	62800,1649026347	13479,7809880897
22	Huesca	1	De 16 a 25	1	Hombre	11357,6109608137	8975,9380680527	2381,672892761
44	Teruel	1	De 16 a 25	1	Hombre	8131,4248633265	6397,8555949347	1733,5692683918
50	Zaragoza	1	De 16 a 25	1	Hombre	47946,7257575481	37830,4010906688	10116,3246668793
22	Huesca	2	De 26 a 45	1	Hombre	34581,8418122381	27648,7602775873	6933,0815346508
44	Teruel	2	De 26 a 45	1	Hombre	20897,1467790482	16924,8454042403	3972,3013748079
50	Zaragoza	2	De 26 a 45	1	Hombre	158849,698584446	127067,176698051	31782,5218863953
22	Huesca	3	De 46 a 64	1	Hombre	29730,907684774	27577,1287783966	2153,7789063774
44	Teruel	3	De 46 a 64	1	Hombre	18684,6488199049	17234,3624310728	1450,2863888321
50	Zaragoza	3	De 46 a 64	1	Hombre	117977,92860945	109259,002646692	8718,9259627576
22	Huesca	4	De 65 a 84	1	Hombre	18081,9003778284	17917,7478261194	164,152551709
44	Teruel	4	De 65 a 84	1	Hombre	12923,3958813012	12844,600613169	78,7952681322
50	Zaragoza	4	De 65 a 84	1	Hombre	69056,429938205	68227,7543510655	828,6755871395
22	Huesca	5	85 y más	1	Hombre	3268,0637421012	3267,0491442081	1,0145978931
44	Teruel	5	85 y más	1	Hombre	1813,8327358992	1808,7152273414	5,1175085578
50	Zaragoza	5	85 y más	1	Hombre	8705,5765343556	8671,2239578083	34,3525765473
22	Huesca	0	Menor de 16	6	Mujer	15553,0553891983	13364,9003441644	2188,1550450339
44	Teruel	0	Menor de 16	6	Mujer	9433,0708934695	8091,873423728	1341,1974697415
50	Zaragoza	0	Menor de 16	6	Mujer	71080,8948379712	60741,4312268442	10339,463611127
22	Huesca	1	De 16 a 25	6	Mujer	10861,6229927707	8845,7843483518	2015,8386444189
44	Teruel	1	De 16 a 25	6	Mujer	7602,8449700597	6309,2696448911	1293,5753251686
50	Zaragoza	1	De 16 a 25	6	Mujer	46567,7079726515	37813,8636217737	8753,8443508778
22	Huesca	2	De 26 a 45	6	Mujer	30662,31747645	24864,1454074054	5798,1720690446
44	Teruel	2	De 26 a 45	6	Mujer	17878,5981530513	14157,0827139336	3721,5154391177
50	Zaragoza	2	De 26 a 45	6	Mujer	147367,264972282	119356,284721858	28010,9802504238
22	Huesca	3	De 46 a 64	6	Mujer	27091,8710170039	25695,4264863481	1396,4445306558
44	Teruel	3	De 46 a 64	6	Mujer	16258,2134584232	15189,7234172208	1068,4900412024
50	Zaragoza	3	De 46 a 64	6	Mujer	119668,137133491	111453,592392905	8214,5447405864
22	Huesca	4	De 65 a 84	6	Mujer	20581,8355952507	20435,9243927926	145,9112024581
44	Teruel	4	De 65 a 84	6	Mujer	14537,0846460413	14462,2718641885	74,8127818528
50	Zaragoza	4	De 65 a 84	6	Mujer	87124,1117439523	86215,0632601938	909,0484837585
22	Huesca	5	85 y más	6	Mujer	4877,2924569581	4798,1097406353	79,1827163228
44	Teruel	5	85 y más	6	Mujer	2720,3157300046	2699,6915115976	20,624218407
50	Zaragoza	5	85 y más	6	Mujer	16315,6563444529	16162,8728907249	152,783453728
