Municipio codigo	Municipio nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22001	Abiego	0	Menor de 16	1	Hombre	13,0000000002	13,0000000002	0
22001	Abiego	1	De 16 a 25	1	Hombre	9,7337570077	9,7337570077	0
22001	Abiego	2	De 26 a 45	1	Hombre	48,2079445743	45,7918548613	2,416089713
22001	Abiego	3	De 46 a 64	1	Hombre	35,0582984182	35,0582984182	0
22001	Abiego	4	De 65 y más	1	Hombre	30,9138339826	30,9138339826	0
22001	Abiego	5	De 65 y más	1	Hombre	9,0861660174	9,0861660174	0
22002	Abizanda	0	Menor de 16	1	Hombre	6,4148710622	3,1293068914	3,2855641708
22002	Abizanda	2	De 26 a 45	1	Hombre	25,1178944588	23,4751123734	1,6427820854
22002	Abizanda	3	De 46 a 64	1	Hombre	14,9836212653	14,9836212653	0
22002	Abizanda	4	De 65 y más	1	Hombre	17,3085927691	17,3085927691	0
22003	Adahuesca	0	Menor de 16	1	Hombre	12,0581748225	9,9367921327	2,1213826898
22003	Adahuesca	1	De 16 a 25	1	Hombre	5,2474936296	3,5103349456	1,737158684
22003	Adahuesca	2	De 26 a 45	1	Hombre	27,847102245	23,9885608712	3,8585413738
22003	Adahuesca	3	De 46 a 64	1	Hombre	19,6731148548	19,6731148548	0
22003	Adahuesca	4	De 65 y más	1	Hombre	19,365113086	19,365113086	0
22003	Adahuesca	5	De 65 y más	1	Hombre	2,8090013621	2,8090013621	0
22004	Agüero	0	Menor de 16	1	Hombre	6,2975262276	6,2975262276	0
22004	Agüero	1	De 16 a 25	1	Hombre	6,4887574168	6,4887574168	0
22004	Agüero	2	De 26 a 45	1	Hombre	21,2786175473	21,2786175473	0
22004	Agüero	3	De 46 a 64	1	Hombre	24,8187740582	24,8187740582	0
22004	Agüero	4	De 65 y más	1	Hombre	21,0628368187	21,0628368187	0
22004	Agüero	5	De 65 y más	1	Hombre	2,8816129322	2,8816129322	0
22006	Aísa	0	Menor de 16	1	Hombre	12	4,3290885803	7,6709114197
22006	Aísa	1	De 16 a 25	1	Hombre	41,7313077273	34,6098812933	7,121426434
22006	Aísa	2	De 26 a 45	1	Hombre	34,8245523265	27,1536409068	7,6709114197
22006	Aísa	3	De 46 a 64	1	Hombre	72,9929584479	72,9929584479	0
22006	Aísa	4	De 65 y más	1	Hombre	38,4801740844	38,4801740844	0
22006	Aísa	5	De 65 y más	1	Hombre	3,5198259158	3,5198259158	0
22007	Albalate de Cinca	0	Menor de 16	1	Hombre	71,1776207319	54,1594929376	17,0181277943
22007	Albalate de Cinca	1	De 16 a 25	1	Hombre	85,783175849	52,719595213	33,063580636
22007	Albalate de Cinca	2	De 26 a 45	1	Hombre	183,7153891072	126,7081122085	57,0072768987
22007	Albalate de Cinca	3	De 46 a 64	1	Hombre	181,2572611446	140,683077432	40,5741837126
22007	Albalate de Cinca	4	De 65 y más	1	Hombre	122,9042450691	122,9042450691	0
22007	Albalate de Cinca	5	De 65 y más	1	Hombre	12,0957549305	12,0957549305	0
22008	Albalatillo	0	Menor de 16	1	Hombre	5,9999999999	5,9999999999	0
22008	Albalatillo	1	De 16 a 25	1	Hombre	2,3039057305	2,3039057305	0
22008	Albalatillo	2	De 26 a 45	1	Hombre	42,687315586	37,0459099264	5,6414056596
22008	Albalatillo	3	De 46 a 64	1	Hombre	23,4605494967	23,4605494967	0
22008	Albalatillo	4	De 65 y más	1	Hombre	34,2940451276	34,2940451276	0
22008	Albalatillo	5	De 65 y más	1	Hombre	4,018644737	4,018644737	0
22009	Albelda	0	Menor de 16	1	Hombre	46,1708996884	46,1708996884	0
