CCAA codigo	CCAA nombre	Sexo, código	Sexo	Relación lugar de residencia y nacimiento prov, código	Relación lugar de residencia y nacimiento	Personas
02	Aragón	1	Hombre	01	El mismo municipio que reside	328409,588952059
02	Aragón	1	Hombre	02	Otro municipio de la misma provincia	125303,696043441
02	Aragón	1	Hombre	03	Otro municipio de Aragón	35169,9433231441
02	Aragón	1	Hombre	04	En una provincia limítrofe a Aragón	26750,9500669144
02	Aragón	1	Hombre	05	Resto de España	61258,1349459539
02	Aragón	1	Hombre	06	El Extranjero	88114,7347495418
02	Aragón	6	Mujer	01	El mismo municipio que reside	316795,279569547
02	Aragón	6	Mujer	02	Otro municipio de la misma provincia	135849,662638645
02	Aragón	6	Mujer	03	Otro municipio de Aragón	39890,461729212
02	Aragón	6	Mujer	04	En una provincia limítrofe a Aragón	32034,3051727298
02	Aragón	6	Mujer	05	Resto de España	63474,3165616142
02	Aragón	6	Mujer	06	El Extranjero	78137,870111734
