Municipio codigo	Municipio nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Nº personas
22001	Abiego	1	Soltero	1	Hombre	65,6340310585
22002	Abizanda	1	Soltero	1	Hombre	25,0793822398
22003	Adahuesca	1	Soltero	1	Hombre	22,8820835783
22004	Agüero	1	Soltero	1	Hombre	32,8134257545
22006	Aísa	1	Soltero	1	Hombre	103,588797112
22007	Albalate de Cinca	1	Soltero	1	Hombre	214,599262431
22008	Albalatillo	1	Soltero	1	Hombre	32,3208861685
22009	Albelda	1	Soltero	1	Hombre	123,1446286419
22011	Albero Alto	1	Soltero	1	Hombre	29,9508709007
22012	Albero Bajo	1	Soltero	1	Hombre	21,9578590355
22013	Alberuela de Tubo	1	Soltero	1	Hombre	66,4912469141
22014	Alcalá de Gurrea	1	Soltero	1	Hombre	61,4990143578
22015	Alcalá del Obispo	1	Soltero	1	Hombre	62,5257045088
22016	Alcampell	1	Soltero	1	Hombre	101,2983473839
22017	Alcolea de Cinca	1	Soltero	1	Hombre	178,7008732546
22018	Alcubierre	1	Soltero	1	Hombre	79,6676040747
22019	Alerre	1	Soltero	1	Hombre	37,9207905222
22020	Alfántega	1	Soltero	1	Hombre	25,0091134014
22021	Almudévar	1	Soltero	1	Hombre	465,5558473819
22022	Almunia de San Juan	1	Soltero	1	Hombre	110,4453480531
22023	Almuniente	1	Soltero	1	Hombre	95,2354395942
22024	Alquézar	1	Soltero	1	Hombre	81,2843598153
22025	Altorricón	1	Soltero	1	Hombre	328,4639589863
22027	Angüés	1	Soltero	1	Hombre	65,1449904179
22028	Ansó	1	Soltero	1	Hombre	110,8729159941
22029	Antillón	1	Soltero	1	Hombre	19,293248549
22032	Aragüés del Puerto	1	Soltero	1	Hombre	40,4507156455
22035	Arén	1	Soltero	1	Hombre	65,7476849347
22036	Argavieso	1	Soltero	1	Hombre	19,7704621627
22037	Arguis	1	Soltero	1	Hombre	26,1039067974
22039	Ayerbe	1	Soltero	1	Hombre	176,1762680586
22040	Azanuy-Alins	1	Soltero	1	Hombre	29,4116930017
22041	Azara	1	Soltero	1	Hombre	27,0527797741
22042	Azlor	1	Soltero	1	Hombre	19,3482094119
22043	Baells	1	Soltero	1	Hombre	35,4953039876
22044	Bailo	1	Soltero	1	Hombre	86,5325219385
22045	Baldellou	1	Soltero	1	Hombre	24,9088249334
22046	Ballobar	1	Soltero	1	Hombre	139,8060162035
22047	Banastás	1	Soltero	1	Hombre	30,5669007571
22048	Barbastro	1	Soltero	1	Hombre	2757,9744804603
22049	Barbués	1	Soltero	1	Hombre	21,1677533419
22050	Barbuñales	1	Soltero	1	Hombre	25,5926306362
22051	Bárcabo	1	Soltero	1	Hombre	27,5158922749
22052	Belver de Cinca	1	Soltero	1	Hombre	238,9418432714
22053	Benabarre	1	Soltero	1	Hombre	206,9088350788
22054	Benasque	1	Soltero	1	Hombre	575,0963379429
22055	Berbegal	1	Soltero	1	Hombre	73,8928229292
22057	Bielsa	1	Soltero	1	Hombre	82,1874015932
22058	Bierge	1	Soltero	1	Hombre	58,804705859
22059	Biescas	1	Soltero	1	Hombre	285,8866640234
22060	Binaced	1	Soltero	1	Hombre	297,8457287084
22061	Binéfar	1	Soltero	1	Hombre	1458,7907093167
22062	Bisaurri	1	Soltero	1	Hombre	77,3355950407
22063	Biscarrués	1	Soltero	1	Hombre	44,574420903
22064	Blecua y Torres	1	Soltero	1	Hombre	52,484486415
22066	Boltaña	1	Soltero	1	Hombre	174,2454303112
22067	Bonansa	1	Soltero	1	Hombre	17,8971324179
22068	Borau	1	Soltero	1	Hombre	27,4309983396
22069	Broto	1	Soltero	1	Hombre	80,3870702206
22072	Caldearenas	1	Soltero	1	Hombre	47,6199519101
22074	Campo	1	Soltero	1	Hombre	39,9620701776
22075	Camporrells	1	Soltero	1	Hombre	27,5171635075
22076	Canal de Berdún	1	Soltero	1	Hombre	90,9373969382
22077	Candasnos	1	Soltero	1	Hombre	78,8694344886
