Comarca codigo	Comarca nombre	Grado, código	Grado	Sexo, código	Sexo	Grandes grupos, código	Grandes grupos	Personas
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	43,4719112347
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	67,4329841423
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	304,9436135576
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	434,2624386313
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	84,0371000083
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	643,8445406961
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	1844,9355219374
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	1657,4803096555
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	475,713864623
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	132,0053169966
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	66,5511623315
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	932,0258237216
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	416,39136621
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	188,7076557907
01	La Jacetania	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	9,6215879949
01	La Jacetania	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	14,38390936
01	La Jacetania	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	19,1636790343
01	La Jacetania	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	40,0094952108
01	La Jacetania	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	269,286644615
01	La Jacetania	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	65,9575541395
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	112,1124783072
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	183,9053891813
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	231,7830350135
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	348,7924769383
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	49,9059949648
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	426,0676472777
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	1829,206633417
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	1469,46485942
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	519,7203496151
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	2,8956786258
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	37,4196937414
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	463,0102446094
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	272,7295415075
02	Alto Gállego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	85,1677580373
02	Alto Gállego	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	4,3206069919
02	Alto Gállego	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	13,51737174
02	Alto Gállego	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	8,4078358468
02	Alto Gállego	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	129,2264286718
02	Alto Gállego	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	99,0493566571
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	18,2066793167
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	125,6508184821
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	165,1715242159
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	275,9275028489
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	35,6175591982
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	269,9170554987
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	932,7903301135
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	657,674970312
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	260,685851265
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	21,0941782883
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	56,6407162609
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	176,0197281586
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	184,9494737661
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	22,8326084119
03	Sobrarbe	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	5,6802085514
03	Sobrarbe	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	14,5745171073
03	Sobrarbe	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	51,3107396447
03	Sobrarbe	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	162,0241805162
03	Sobrarbe	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	47,5775892757
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	45,7391873624
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	136,6778631252
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	238,8327866589
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	432,1968770376
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	98,9403832225
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	500,3089263944
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	1428,8609562593
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	1265,7875042161
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	368,9747182986
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	30,4070001949
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	114,9697069293
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	448,4006438817
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	292,4241038013
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	62,8352418931
04	La Ribagorza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	13,6110616924
04	La Ribagorza	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	3,5127076326
04	La Ribagorza	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	32,1008722794
04	La Ribagorza	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	58,0108541328
04	La Ribagorza	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	247,1902597577
04	La Ribagorza	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	115,164636825
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	332,279639492
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	469,6066987891
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	819,886128742
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	1175,3500823571
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	142,7810420792
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	931,3006000198
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	3729,871992065
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	3122,5971005885
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	879,588046588
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	56,6147727713
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	128,0846203294
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	943,5159426387
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	408,3996940464
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	27,5124137592
05	Cinco Villas	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	2,6994680044
05	Cinco Villas	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	11,839284597
05	Cinco Villas	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	78,9073720957
05	Cinco Villas	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	134,260784627
05	Cinco Villas	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	681,8649692524
05	Cinco Villas	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	222,7806901347
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	448,181980218
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	1005,7915338746
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	1104,0347459523
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	1357,5209971103
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	400,6995700439
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	2479,8816557796
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	6082,9220904379
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	5365,7145098068
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	2002,8397235324
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	109,5946965628
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	265,1340756225
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	2780,0113864481
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	1755,1843417219
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	534,448430684
06	Hoya de Huesca / Plana de Uesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	87,0764179527
06	Hoya de Huesca / Plana de Uesca	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	58,3168875519
