CCAA codigo	CCAA nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
02	Aragón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	9768,5984656148
02	Aragón	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	9544,008042381
02	Aragón	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	32409,1464151479
02	Aragón	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	18607,1133391099
02	Aragón	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	70804,5808266276
02	Aragón	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	9291,4324115919
02	Aragón	7	Salud y Servicios Sociales (Medicina, Enfermería, Farmacia, Trabajo Social, ...)	1	Hombre	10417,4978480336
02	Aragón	8	Otros servicios (Turismo, Hostelería, Peluquería, Enseñanza Naútica, Militar, ...)	1	Hombre	11407,8569658758
02	Aragón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6	Mujer	26564,4330875077
02	Aragón	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	6	Mujer	14617,9540945918
02	Aragón	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	6	Mujer	52267,5116214302
02	Aragón	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	6	Mujer	11779,0988317647
02	Aragón	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	6	Mujer	11924,664490034
02	Aragón	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	6	Mujer	3542,2620418232
02	Aragón	7	Salud y Servicios Sociales (Medicina, Enfermería, Farmacia, Trabajo Social, ...)	6	Mujer	34517,4253010112
02	Aragón	8	Otros servicios (Turismo, Hostelería, Peluquería, Enseñanza Naútica, Militar, ...)	6	Mujer	14725,866570904
