Comarca codigo	Comarca nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
01	La Jacetania	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	182,574069553
02	Alto Gállego	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	153,6363034904
03	Sobrarbe	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	78,6286683607
04	La Ribagorza	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	151,5434595466
05	Cinco Villas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	174,4139778789
06	Hoya de Huesca / Plana de Uesca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	769,4931164943
07	Somontano de Barbastro	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	197,0594251551
08	Cinca Medio	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	150,6735854456
09	La Litera / La Llitera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	121,1973579084
10	Los Monegros	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	95,796140124
11	Bajo Cinca / Baix Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	202,5257351243
12	Tarazona y el Moncayo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	44,1903256525
13	Campo de Borja	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	67,3626331996
14	Aranda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	42,5868071494
15	Ribera Alta del Ebro	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	97,3159561104
16	Valdejalón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	220,8274623273
17	D.C. Zaragoza	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	5449,9595322292
18	Ribera Baja del Ebro	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	40,6090337292
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	89,87807373
20	Comunidad de Calatayud	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	288,0258597223
21	Campo de Cariñena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	50,8833016192
22	Campo de Belchite	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	23,0861791154
23	Bajo Martín	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	27,9467959088
24	Campo de Daroca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	29,7072387334
25	Jiloca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	67,9331159434
26	Cuencas Mineras	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	52,4001080109
27	Andorra-Sierra de Arcos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	62,4989772584
28	Bajo Aragón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	121,0136075873
29	Comunidad de Teruel	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	591,2055900536
30	Maestrazgo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	25,5310746006
31	Sierra de Albarracín	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	23,4147137877
32	Gúdar-Javalambre	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	30,566220767
33	Matarraña / Matarranya	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	44,1140192979
01	La Jacetania	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	187,7037328263
02	Alto Gállego	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	99,0835595692
03	Sobrarbe	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	55,4158515714
04	La Ribagorza	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	120,5397921481
05	Cinco Villas	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	76,6189440353
06	Hoya de Huesca / Plana de Uesca	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	564,1699474794
07	Somontano de Barbastro	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	187,1841383082
08	Cinca Medio	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	85,242213932
