Provincia codigo	Provincia nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
22	Huesca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	2075,7028039372
22	Huesca	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	1457,7129538087
22	Huesca	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	4466,9930896656
22	Huesca	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	2728,5304079926
22	Huesca	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	9075,4806182626
22	Huesca	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	3150,4708506289
22	Huesca	7	Salud y Servicios Sociales (Medicina, Enfermería, Farmacia, Trabajo Social, ...)	1	Hombre	1421,8909631549
22	Huesca	8	Otros servicios (Turismo, Hostelería, Peluquería, Enseñanza Naútica, Militar, ...)	1	Hombre	2109,8315766953
44	Teruel	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	1046,6242232156
44	Teruel	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	672,0313908024
44	Teruel	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	1682,7331981945
44	Teruel	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	1272,8814649913
44	Teruel	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	5579,2020370734
44	Teruel	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	1103,251896621
44	Teruel	7	Salud y Servicios Sociales (Medicina, Enfermería, Farmacia, Trabajo Social, ...)	1	Hombre	729,9796731985
44	Teruel	8	Otros servicios (Turismo, Hostelería, Peluquería, Enseñanza Naútica, Militar, ...)	1	Hombre	668,0630469738
50	Zaragoza	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1	Hombre	6646,271438462
50	Zaragoza	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	7414,2636977699
50	Zaragoza	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	26259,4201272878
50	Zaragoza	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	14605,701466126
50	Zaragoza	5	Arquitectura, Construcción, Formación Técnica e Industrias (Mecánica, Metal, Electrónica, Diseño, Confección, Alimentación, etc., incluídas Ingenierías de estos campos)	1	Hombre	56149,8981712916
50	Zaragoza	6	Agricultura, Ganadería, Pesca y Veterinaria (incluída Ingeniería Agrónoma o similar)	1	Hombre	5037,709664342
50	Zaragoza	7	Salud y Servicios Sociales (Medicina, Enfermería, Farmacia, Trabajo Social, ...)	1	Hombre	8265,6272116802
50	Zaragoza	8	Otros servicios (Turismo, Hostelería, Peluquería, Enseñanza Naútica, Militar, ...)	1	Hombre	8629,9623422067
22	Huesca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6	Mujer	5244,8192965172
22	Huesca	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	6	Mujer	2347,729349736
22	Huesca	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	6	Mujer	7450,3485978151
