Municipio codigo	Municipio nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Población
22001	Abiego	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,9090573998
22002	Abizanda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,4720685636
22003	Adahuesca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,7977052798
22004	Agüero	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,0522344835
22006	Aísa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	24,3217499269
22007	Albalate de Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	17,5516770955
22008	Albalatillo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,3129167845
22009	Albelda	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,0767826591
22011	Albero Alto	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,0968844463
22012	Albero Bajo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,4603611079
22013	Alberuela de Tubo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,3649023303
22014	Alcalá de Gurrea	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,1526030245
22015	Alcalá del Obispo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,4143629256
22016	Alcampell	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,3737836829
22017	Alcolea de Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	14,2744850848
22019	Alerre	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,0906541671
22021	Almudévar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	74,304265515
22022	Almunia de San Juan	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	18,4517053791
22023	Almuniente	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,1945806662
22024	Alquézar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,0862734289
22025	Altorricón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,8884803639
22027	Angüés	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,832310885
22028	Ansó	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	39,3405867415
22029	Antillón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,1676752683
22032	Aragüés del Puerto	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,6527275911
22035	Arén	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,6265148849
22036	Argavieso	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5927585298
22037	Arguis	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,9147538655
22039	Ayerbe	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	29,8469223622
22040	Azanuy-Alins	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,0751439381
22041	Azara	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,8169058055
22042	Azlor	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,4838025936
22043	Baells	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,9985256954
22044	Bailo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,1724513488
22046	Ballobar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	27,9151774756
22047	Banastás	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,3545753585
22048	Barbastro	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	515,722808486
22049	Barbués	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,4139289701
22051	Bárcabo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,7598011629
22052	Belver de Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,8512816557
22053	Benabarre	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	27,7402122083
22054	Benasque	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	112,5569195317
22055	Berbegal	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,1967743605
22057	Bielsa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,0056237467
22058	Bierge	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	14,0277923671
22059	Biescas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	49,9493375201
22060	Binaced	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	23,1575074347
22061	Binéfar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	296,6299990228
22062	Bisaurri	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,0544936515
22063	Biscarrués	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,2853172882
22064	Blecua y Torres	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	14,7531631569
22066	Boltaña	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	52,1641376614
22067	Bonansa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,6442803971
22068	Borau	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,4661643298
22069	Broto	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,2256760488
22072	Caldearenas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	14,4442355251
22074	Campo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,0802798026
22075	Camporrells	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,4516984177
22076	Canal de Berdún	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,2457612627
22077	Candasnos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,3191852066
22078	Canfranc	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	42,7088754075
22079	Capdesaso	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,5901529231
22080	Capella	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,6236934301
22081	Casbas de Huesca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,0200980503
22082	Castejón del Puente	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,6077940963
22083	Castejón de Monegros	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	26,2875386538
22084	Castejón de Sos	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	35,7412103168
22085	Castelflorite	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8488510517
22086	Castiello de Jaca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,0365171709
22087	Castigaleu	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,7109012859
22088	Castillazuelo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,492381181
22089	Castillonroy	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,9246387758
22094	Chalamera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,80447747
22096	Chimillas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	17,2717696114
22099	Esplús	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,9199425865
22102	Estada	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,7452640477
22103	Estadilla	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	28,1618212419
22105	Estopiñán del Castillo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,9375518212
22107	Fanlo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,2301803641
22109	Fiscal	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,5862558334
22110	Fonz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	20,9334569932
22111	Foradada del Toscar	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,120242034
22112	Fraga	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	482,1591363497
22113	Fueva (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,6072205944
22115	Grado (El)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,2005327997
