Comarca codigo	Comarca nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
01	La Jacetania	Destinado principal o exclusivamente a viviendas	1	5838
02	Alto Gállego	Destinado principal o exclusivamente a viviendas	1	4223
03	Sobrarbe	Destinado principal o exclusivamente a viviendas	1	3973
04	La Ribagorza	Destinado principal o exclusivamente a viviendas	1	6903
05	Cinco Villas	Destinado principal o exclusivamente a viviendas	1	12315
06	Hoya de Huesca / Plana de Uesca	Destinado principal o exclusivamente a viviendas	1	12639
07	Somontano de Barbastro	Destinado principal o exclusivamente a viviendas	1	6868
08	Cinca Medio	Destinado principal o exclusivamente a viviendas	1	6751
09	La Litera / La Llitera	Destinado principal o exclusivamente a viviendas	1	6773
10	Los Monegros	Destinado principal o exclusivamente a viviendas	1	9513
11	Bajo Cinca / Baix Cinca	Destinado principal o exclusivamente a viviendas	1	6135
12	Tarazona y el Moncayo	Destinado principal o exclusivamente a viviendas	1	6318
13	Campo de Borja	Destinado principal o exclusivamente a viviendas	1	7681
14	Aranda	Destinado principal o exclusivamente a viviendas	1	3264
15	Ribera Alta del Ebro	Destinado principal o exclusivamente a viviendas	1	9726
16	Valdejalón	Destinado principal o exclusivamente a viviendas	1	12398
17	D.C. Zaragoza	Destinado principal o exclusivamente a viviendas	1	57395
18	Ribera Baja del Ebro	Destinado principal o exclusivamente a viviendas	1	5246
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Destinado principal o exclusivamente a viviendas	1	5889
20	Comunidad de Calatayud	Destinado principal o exclusivamente a viviendas	1	19366
21	Campo de Cariñena	Destinado principal o exclusivamente a viviendas	1	5291
22	Campo de Belchite	Destinado principal o exclusivamente a viviendas	1	4590
23	Bajo Martín	Destinado principal o exclusivamente a viviendas	1	4429
24	Campo de Daroca	Destinado principal o exclusivamente a viviendas	1	5484
25	Jiloca	Destinado principal o exclusivamente a viviendas	1	10375
26	Cuencas Mineras	Destinado principal o exclusivamente a viviendas	1	6264
27	Andorra-Sierra de Arcos	Destinado principal o exclusivamente a viviendas	1	5207
28	Bajo Aragón	Destinado principal o exclusivamente a viviendas	1	10211
29	Comunidad de Teruel	Destinado principal o exclusivamente a viviendas	1	14186
30	Maestrazgo	Destinado principal o exclusivamente a viviendas	1	3529
31	Sierra de Albarracín	Destinado principal o exclusivamente a viviendas	1	4786
32	Gúdar-Javalambre	Destinado principal o exclusivamente a viviendas	1	9194
33	Matarraña / Matarranya	Destinado principal o exclusivamente a viviendas	1	6282
01	La Jacetania	Destinado a otros fines	2	33
02	Alto Gállego	Destinado a otros fines	2	52
03	Sobrarbe	Destinado a otros fines	2	64
04	La Ribagorza	Destinado a otros fines	2	21
05	Cinco Villas	Destinado a otros fines	2	111
06	Hoya de Huesca / Plana de Uesca	Destinado a otros fines	2	63
07	Somontano de Barbastro	Destinado a otros fines	2	25
08	Cinca Medio	Destinado a otros fines	2	21
09	La Litera / La Llitera	Destinado a otros fines	2	11
10	Los Monegros	Destinado a otros fines	2	16
11	Bajo Cinca / Baix Cinca	Destinado a otros fines	2	19
12	Tarazona y el Moncayo	Destinado a otros fines	2	14
13	Campo de Borja	Destinado a otros fines	2	29
14	Aranda	Destinado a otros fines	2	6
15	Ribera Alta del Ebro	Destinado a otros fines	2	95
16	Valdejalón	Destinado a otros fines	2	23
17	D.C. Zaragoza	Destinado a otros fines	2	868
18	Ribera Baja del Ebro	Destinado a otros fines	2	14
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Destinado a otros fines	2	38
20	Comunidad de Calatayud	Destinado a otros fines	2	46
21	Campo de Cariñena	Destinado a otros fines	2	16
22	Campo de Belchite	Destinado a otros fines	2	14
23	Bajo Martín	Destinado a otros fines	2	6
24	Campo de Daroca	Destinado a otros fines	2	16
25	Jiloca	Destinado a otros fines	2	28
26	Cuencas Mineras	Destinado a otros fines	2	19
27	Andorra-Sierra de Arcos	Destinado a otros fines	2	23
28	Bajo Aragón	Destinado a otros fines	2	79
29	Comunidad de Teruel	Destinado a otros fines	2	51
30	Maestrazgo	Destinado a otros fines	2	38
31	Sierra de Albarracín	Destinado a otros fines	2	21
32	Gúdar-Javalambre	Destinado a otros fines	2	18
33	Matarraña / Matarranya	Destinado a otros fines	2	17
