Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
22001	Abiego	Destinado principal o exclusivamente a viviendas	1	216
22002	Abizanda	Destinado principal o exclusivamente a viviendas	1	61
22003	Adahuesca	Destinado principal o exclusivamente a viviendas	1	113
22004	Agüero	Destinado principal o exclusivamente a viviendas	1	235
22006	Aísa	Destinado principal o exclusivamente a viviendas	1	193
22007	Albalate de Cinca	Destinado principal o exclusivamente a viviendas	1	488
22008	Albalatillo	Destinado principal o exclusivamente a viviendas	1	132
22009	Albelda	Destinado principal o exclusivamente a viviendas	1	406
22011	Albero Alto	Destinado principal o exclusivamente a viviendas	1	62
22012	Albero Bajo	Destinado principal o exclusivamente a viviendas	1	54
22013	Alberuela de Tubo	Destinado principal o exclusivamente a viviendas	1	160
22014	Alcalá de Gurrea	Destinado principal o exclusivamente a viviendas	1	208
22015	Alcalá del Obispo	Destinado principal o exclusivamente a viviendas	1	218
22016	Alcampell	Destinado principal o exclusivamente a viviendas	1	522
22017	Alcolea de Cinca	Destinado principal o exclusivamente a viviendas	1	500
22018	Alcubierre	Destinado principal o exclusivamente a viviendas	1	276
22019	Alerre	Destinado principal o exclusivamente a viviendas	1	99
22020	Alfántega	Destinado principal o exclusivamente a viviendas	1	120
22021	Almudévar	Destinado principal o exclusivamente a viviendas	1	1242
22022	Almunia de San Juan	Destinado principal o exclusivamente a viviendas	1	421
22023	Almuniente	Destinado principal o exclusivamente a viviendas	1	277
22024	Alquézar	Destinado principal o exclusivamente a viviendas	1	196
22025	Altorricón	Destinado principal o exclusivamente a viviendas	1	529
22027	Angüés	Destinado principal o exclusivamente a viviendas	1	309
22028	Ansó	Destinado principal o exclusivamente a viviendas	1	362
22029	Antillón	Destinado principal o exclusivamente a viviendas	1	59
22032	Aragüés del Puerto	Destinado principal o exclusivamente a viviendas	1	130
22035	Arén	Destinado principal o exclusivamente a viviendas	1	250
22036	Argavieso	Destinado principal o exclusivamente a viviendas	1	52
22037	Arguis	Destinado principal o exclusivamente a viviendas	1	166
22039	Ayerbe	Destinado principal o exclusivamente a viviendas	1	571
22040	Azanuy-Alins	Destinado principal o exclusivamente a viviendas	1	198
22041	Azara	Destinado principal o exclusivamente a viviendas	1	99
22042	Azlor	Destinado principal o exclusivamente a viviendas	1	100
22043	Baells	Destinado principal o exclusivamente a viviendas	1	109
22044	Bailo	Destinado principal o exclusivamente a viviendas	1	196
22045	Baldellou	Destinado principal o exclusivamente a viviendas	1	152
22046	Ballobar	Destinado principal o exclusivamente a viviendas	1	490
22047	Banastás	Destinado principal o exclusivamente a viviendas	1	115
22048	Barbastro	Destinado principal o exclusivamente a viviendas	1	2127
