Año de construcción	Año de construcción, código	CCAA codigo	CCAA nombre	Nº edificios
Antes 1900	2	02	Aragón	57996
1900 a 1920	3	02	Aragón	16715
1921 a 1940	4	02	Aragón	17924
1941 a 1950	5	02	Aragón	19332
1951 a 1960	6	02	Aragón	28885
1961 a 1970	7	02	Aragón	26949
1971 a 1980	8	02	Aragón	33335
1981 a 1990	9	02	Aragón	29347
1991 a 2001	10	02	Aragón	35141
2002	11	02	Aragón	3118
2003	12	02	Aragón	2698
2004	13	02	Aragón	3378
2005	14	02	Aragón	5218
2006	15	02	Aragón	4057
2007	16	02	Aragón	4167
2008	17	02	Aragón	3779
2009	18	02	Aragón	2789
2010	19	02	Aragón	2030
2011	20	02	Aragón	2184
