Año de construcción	Año de construcción, código	Provincia codigo	Provincia nombre	Nº edificios
Antes 1900	2	22	Huesca	16137
1900 a 1920	3	22	Huesca	2891
1921 a 1940	4	22	Huesca	3340
1941 a 1950	5	22	Huesca	4053
1951 a 1960	6	22	Huesca	5932
1961 a 1970	7	22	Huesca	6351
1971 a 1980	8	22	Huesca	6183
1981 a 1990	9	22	Huesca	6588
1991 a 2001	10	22	Huesca	7351
2002	11	22	Huesca	682
2003	12	22	Huesca	584
2004	13	22	Huesca	797
2005	14	22	Huesca	1193
2006	15	22	Huesca	917
2007	16	22	Huesca	908
2008	17	22	Huesca	733
2009	18	22	Huesca	618
2010	19	22	Huesca	306
2011	20	22	Huesca	313
Antes 1900	2	44	Teruel	19144
1900 a 1920	3	44	Teruel	5255
1921 a 1940	4	44	Teruel	4929
1941 a 1950	5	44	Teruel	5006
1951 a 1960	6	44	Teruel	5882
1961 a 1970	7	44	Teruel	5079
1971 a 1980	8	44	Teruel	7988
1981 a 1990	9	44	Teruel	7328
1991 a 2001	10	44	Teruel	5945
2002	11	44	Teruel	555
2003	12	44	Teruel	650
2004	13	44	Teruel	929
2005	14	44	Teruel	779
2006	15	44	Teruel	878
2007	16	44	Teruel	847
2008	17	44	Teruel	908
2009	18	44	Teruel	834
2010	19	44	Teruel	764
2011	20	44	Teruel	763
Antes 1900	2	50	Zaragoza	22715
1900 a 1920	3	50	Zaragoza	8569
1921 a 1940	4	50	Zaragoza	9655
1941 a 1950	5	50	Zaragoza	10273
1951 a 1960	6	50	Zaragoza	17071
1961 a 1970	7	50	Zaragoza	15519
1971 a 1980	8	50	Zaragoza	19164
1981 a 1990	9	50	Zaragoza	15431
1991 a 2001	10	50	Zaragoza	21845
2002	11	50	Zaragoza	1881
2003	12	50	Zaragoza	1464
2004	13	50	Zaragoza	1652
2005	14	50	Zaragoza	3246
2006	15	50	Zaragoza	2262
2007	16	50	Zaragoza	2412
2008	17	50	Zaragoza	2138
2009	18	50	Zaragoza	1337
2010	19	50	Zaragoza	960
2011	20	50	Zaragoza	1108
