Tipo de vivienda	Tipo de vivienda, código	Tipo de vivienda principal	Tipo de vivienda principal, código	Provincia codigo	Provincia nombre	Nº viviendas
Vivienda principal	1	Vivienda principal convencional	1	22	Huesca	89175,6433357248
Vivienda principal	1	Vivienda principal convencional	1	44	Teruel	56101,2210152648
Vivienda principal	1	Vivienda principal convencional	1	50	Zaragoza	393401,17770281
Vivienda principal	1	Alojamiento	2	22	Huesca	4,3030305536
Vivienda principal	1	Alojamiento	2	44	Teruel	7,4417113323
Vivienda principal	1	Alojamiento	2	50	Zaragoza	180,6719624463
Vivienda no principal secundaria	2			22	Huesca	45605,2170819545
Vivienda no principal secundaria	2			44	Teruel	40671,8428697432
Vivienda no principal secundaria	2			50	Zaragoza	52832,2766487602
Vivienda no principal vacía	3			22	Huesca	21185,7829180951
Vivienda no principal vacía	3			44	Teruel	15355,1571302483
Vivienda no principal vacía	3			50	Zaragoza	63795,7233512685
