Nº de habitaciones de la vivienda	Provincia codigo	Provincia nombre	Nº habitaciones
1 habitación	22	Huesca	400,8648548305
1 habitación	44	Teruel	212,2528890568
1 habitación	50	Zaragoza	1153,6283937996
2 habitaciones	22	Huesca	2579,0225909552
2 habitaciones	44	Teruel	1002,6644624585
2 habitaciones	50	Zaragoza	7290,4338822981
3 habitaciones	22	Huesca	6742,1409662011
3 habitaciones	44	Teruel	3573,4134859676
3 habitaciones	50	Zaragoza	25031,4830093641
4  habitaciones	22	Huesca	14093,1401086102
4  habitaciones	44	Teruel	7736,9120235426
4  habitaciones	50	Zaragoza	81632,6351090734
5  habitaciones	22	Huesca	30089,1803178167
5  habitaciones	44	Teruel	17397,3137362545
5  habitaciones	50	Zaragoza	164755,495340781
6  habitaciones	22	Huesca	21403,6106290124
6  habitaciones	44	Teruel	15625,3804546976
6  habitaciones	50	Zaragoza	78392,7834332025
7 y más habitaciones	22	Huesca	13871,9868988523
7 y más habitaciones	44	Teruel	10560,7256746195
7 y más habitaciones	50	Zaragoza	35325,3904967375
