Régimen de tenencia	Régimen de tenencia, código	Comarca nombre	Comarca codigo	Nº viviendas
Propia, por compra, totalmente pagada	1	La Jacetania	01	2621,5598756016
Propia, por compra, totalmente pagada	1	Alto Gállego	02	2285,3922708878
Propia, por compra, totalmente pagada	1	Sobrarbe	03	745,6179296558
Propia, por compra, totalmente pagada	1	La Ribagorza	04	1561,2622797224
Propia, por compra, totalmente pagada	1	Cinco Villas	05	4887,9809030074
Propia, por compra, totalmente pagada	1	Hoya de Huesca / Plana de Uesca	06	11551,9415621728
Propia, por compra, totalmente pagada	1	Somontano de Barbastro	07	3858,7712382232
Propia, por compra, totalmente pagada	1	Cinca Medio	08	3366,112875202
Propia, por compra, totalmente pagada	1	La Litera / La Llitera	09	2776,4664520181
Propia, por compra, totalmente pagada	1	Los Monegros	10	3141,0055650627
Propia, por compra, totalmente pagada	1	Bajo Cinca / Baix Cinca	11	3415,0529449157
Propia, por compra, totalmente pagada	1	Tarazona y el Moncayo	12	2698,8844624654
Propia, por compra, totalmente pagada	1	Campo de Borja	13	2158,0101361092
Propia, por compra, totalmente pagada	1	Aranda	14	1382,3421234958
Propia, por compra, totalmente pagada	1	Ribera Alta del Ebro	15	3484,865843714
Propia, por compra, totalmente pagada	1	Valdejalón	16	3876,6610333296
Propia, por compra, totalmente pagada	1	D.C. Zaragoza	17	132285,571752099
Propia, por compra, totalmente pagada	1	Ribera Baja del Ebro	18	1839,3922940531
Propia, por compra, totalmente pagada	1	Bajo Aragón-Caspe / Baix Aragó-Casp	19	2048,3510105244
Propia, por compra, totalmente pagada	1	Comunidad de Calatayud	20	7425,3129479636
Propia, por compra, totalmente pagada	1	Campo de Cariñena	21	1529,4874363476
Propia, por compra, totalmente pagada	1	Campo de Belchite	22	1049,7945277302
Propia, por compra, totalmente pagada	1	Bajo Martín	23	1419,7480423918
Propia, por compra, totalmente pagada	1	Campo de Daroca	24	1123,9353677925
Propia, por compra, totalmente pagada	1	Jiloca	25	2545,7203833438
Propia, por compra, totalmente pagada	1	Cuencas Mineras	26	1627,5357483048
Propia, por compra, totalmente pagada	1	Andorra-Sierra de Arcos	27	2217,8936736855
Propia, por compra, totalmente pagada	1	Bajo Aragón	28	4949,2744689167
Propia, por compra, totalmente pagada	1	Comunidad de Teruel	29	8067,8912131777
Propia, por compra, totalmente pagada	1	Maestrazgo	30	571,5408771138
Propia, por compra, totalmente pagada	1	Sierra de Albarracín	31	768,413155929
Propia, por compra, totalmente pagada	1	Gúdar-Javalambre	32	1371,3490646187
Propia, por compra, totalmente pagada	1	Matarraña / Matarranya	33	1276,9447203063
Propia, por compra, con pagos pendientes (hipotecas)	2	La Jacetania	01	2205,8453305899
Propia, por compra, con pagos pendientes (hipotecas)	2	Alto Gállego	02	1782,770379141
Propia, por compra, con pagos pendientes (hipotecas)	2	Sobrarbe	03	623,4027813633
Propia, por compra, con pagos pendientes (hipotecas)	2	La Ribagorza	04	1046,7373314274
Propia, por compra, con pagos pendientes (hipotecas)	2	Cinco Villas	05	3458,6349844929
Propia, por compra, con pagos pendientes (hipotecas)	2	Hoya de Huesca / Plana de Uesca	06	8068,8101243127
Propia, por compra, con pagos pendientes (hipotecas)	2	Somontano de Barbastro	07	2406,1911673562
Propia, por compra, con pagos pendientes (hipotecas)	2	Cinca Medio	08	2774,7294302781
Propia, por compra, con pagos pendientes (hipotecas)	2	La Litera / La Llitera	09	1816,8274072529
Propia, por compra, con pagos pendientes (hipotecas)	2	Los Monegros	10	1430,4073824317
Propia, por compra, con pagos pendientes (hipotecas)	2	Bajo Cinca / Baix Cinca	11	2328,2229452995
Propia, por compra, con pagos pendientes (hipotecas)	2	Tarazona y el Moncayo	12	1503,4004568698
Propia, por compra, con pagos pendientes (hipotecas)	2	Campo de Borja	13	1795,3158471076
Propia, por compra, con pagos pendientes (hipotecas)	2	Aranda	14	546,0932213764
Propia, por compra, con pagos pendientes (hipotecas)	2	Ribera Alta del Ebro	15	4248,4533956039
Propia, por compra, con pagos pendientes (hipotecas)	2	Valdejalón	16	3473,7168135743
Propia, por compra, con pagos pendientes (hipotecas)	2	D.C. Zaragoza	17	99735,2819023245
Propia, por compra, con pagos pendientes (hipotecas)	2	Ribera Baja del Ebro	18	874,8641325414
Propia, por compra, con pagos pendientes (hipotecas)	2	Bajo Aragón-Caspe / Baix Aragó-Casp	19	1367,9152909555
Propia, por compra, con pagos pendientes (hipotecas)	2	Comunidad de Calatayud	20	3798,066529023
Propia, por compra, con pagos pendientes (hipotecas)	2	Campo de Cariñena	21	876,6431188371
Propia, por compra, con pagos pendientes (hipotecas)	2	Campo de Belchite	22	260,5847583693
Propia, por compra, con pagos pendientes (hipotecas)	2	Bajo Martín	23	408,5518317469
Propia, por compra, con pagos pendientes (hipotecas)	2	Campo de Daroca	24	309,92050364
Propia, por compra, con pagos pendientes (hipotecas)	2	Jiloca	25	939,9923844504
Propia, por compra, con pagos pendientes (hipotecas)	2	Cuencas Mineras	26	810,9892776346
Propia, por compra, con pagos pendientes (hipotecas)	2	Andorra-Sierra de Arcos	27	882,6648630362
Propia, por compra, con pagos pendientes (hipotecas)	2	Bajo Aragón	28	3038,3442351593
Propia, por compra, con pagos pendientes (hipotecas)	2	Comunidad de Teruel	29	4213,6358233429
Propia, por compra, con pagos pendientes (hipotecas)	2	Maestrazgo	30	141,8291683338
Propia, por compra, con pagos pendientes (hipotecas)	2	Sierra de Albarracín	31	219,5917014299
Propia, por compra, con pagos pendientes (hipotecas)	2	Gúdar-Javalambre	32	486,7592608954
Propia, por compra, con pagos pendientes (hipotecas)	2	Matarraña / Matarranya	33	384,1878465631
Propia por herencia o donación	3	La Jacetania	01	1013,3429217794
Propia por herencia o donación	3	Alto Gállego	02	595,040061451
Propia por herencia o donación	3	Sobrarbe	03	870,2372867005
Propia por herencia o donación	3	La Ribagorza	04	1339,9204080315
Propia por herencia o donación	3	Cinco Villas	05	1862,13002681
Propia por herencia o donación	3	Hoya de Huesca / Plana de Uesca	06	2160,2207362891
Propia por herencia o donación	3	Somontano de Barbastro	07	1369,6547508337
Propia por herencia o donación	3	Cinca Medio	08	1105,3005836654
Propia por herencia o donación	3	La Litera / La Llitera	09	1365,5879261632
Propia por herencia o donación	3	Los Monegros	10	1806,0328654494
Propia por herencia o donación	3	Bajo Cinca / Baix Cinca	11	1434,4251536418
Propia por herencia o donación	3	Tarazona y el Moncayo	12	686,8580009196
Propia por herencia o donación	3	Campo de Borja	13	867,8864388761
Propia por herencia o donación	3	Aranda	14	464,9263585332
Propia por herencia o donación	3	Ribera Alta del Ebro	15	1360,8313020657
Propia por herencia o donación	3	Valdejalón	16	1386,4503268245
Propia por herencia o donación	3	D.C. Zaragoza	17	11317,4520913874
Propia por herencia o donación	3	Ribera Baja del Ebro	18	482,0555947888
