Régimen de tenencia	Régimen de tenencia, código	Municipio codigo	Municipio nombre	Nº viviendas
Propia, por compra, totalmente pagada	1	22001	Abiego	28,712757348
Propia, por compra, totalmente pagada	1	22002	Abizanda	11,5593504642
Propia, por compra, totalmente pagada	1	22003	Adahuesca	13,5538424178
Propia, por compra, totalmente pagada	1	22004	Agüero	20,975426708
Propia, por compra, totalmente pagada	1	22006	Aísa	63,1642024652
Propia, por compra, totalmente pagada	1	22007	Albalate de Cinca	124,3994722714
Propia, por compra, totalmente pagada	1	22008	Albalatillo	28,6350210901
Propia, por compra, totalmente pagada	1	22009	Albelda	90,0350925471
Propia, por compra, totalmente pagada	1	22011	Albero Alto	14,1738835851
Propia, por compra, totalmente pagada	1	22012	Albero Bajo	12,6732796001
Propia, por compra, totalmente pagada	1	22013	Alberuela de Tubo	73,8399387711
Propia, por compra, totalmente pagada	1	22014	Alcalá de Gurrea	70,0625484623
Propia, por compra, totalmente pagada	1	22015	Alcalá del Obispo	49,8596637465
Propia, por compra, totalmente pagada	1	22016	Alcampell	110,2257080719
Propia, por compra, totalmente pagada	1	22017	Alcolea de Cinca	176,5897172673
Propia, por compra, totalmente pagada	1	22018	Alcubierre	100,6583557244
Propia, por compra, totalmente pagada	1	22019	Alerre	35,6999466095
Propia, por compra, totalmente pagada	1	22020	Alfántega	23,2522723208
Propia, por compra, totalmente pagada	1	22021	Almudévar	357,4665090193
Propia, por compra, totalmente pagada	1	22022	Almunia de San Juan	86,5950319669
Propia, por compra, totalmente pagada	1	22023	Almuniente	90,262326214
Propia, por compra, totalmente pagada	1	22024	Alquézar	29,9225652799
Propia, por compra, totalmente pagada	1	22025	Altorricón	202,936467549
Propia, por compra, totalmente pagada	1	22027	Angüés	50,1815373914
Propia, por compra, totalmente pagada	1	22028	Ansó	58,8619210666
Propia, por compra, totalmente pagada	1	22029	Antillón	10,2502752539
Propia, por compra, totalmente pagada	1	22032	Aragüés del Puerto	10,1544969185
Propia, por compra, totalmente pagada	1	22035	Arén	54,2468517271
Propia, por compra, totalmente pagada	1	22036	Argavieso	22,9587563305
Propia, por compra, totalmente pagada	1	22037	Arguis	18,6980698733
Propia, por compra, totalmente pagada	1	22039	Ayerbe	200,0562942887
Propia, por compra, totalmente pagada	1	22040	Azanuy-Alins	27,3948298043
Propia, por compra, totalmente pagada	1	22041	Azara	16,8144219576
Propia, por compra, totalmente pagada	1	22042	Azlor	9,902553488
Propia, por compra, totalmente pagada	1	22043	Baells	16,2661252223
Propia, por compra, totalmente pagada	1	22044	Bailo	34,6905437696
