Comarca nombre	Comarca codigo	Superficie útil agrupada (m2)	Nº viviendas
Alto Gállego	02	045 o menos	254,0329615701
Alto Gállego	02	046 - 060	713,8734019487
Alto Gállego	02	061 - 075	1263,8268140809
Alto Gállego	02	076 - 090	1826,8265807508
Alto Gállego	02	091 - 105	685,8099095699
Alto Gállego	02	106 - 120	454,8793670785
Alto Gállego	02	121 - 150	362,3285640814
Alto Gállego	02	151 o más	353,0618501748
Andorra-Sierra de Arcos	27	045 o menos	56,7073314055
Andorra-Sierra de Arcos	27	046 - 060	177,8202298321
Andorra-Sierra de Arcos	27	061 - 075	552,1908121887
Andorra-Sierra de Arcos	27	076 - 090	1474,6046713067
Andorra-Sierra de Arcos	27	091 - 105	644,3817081728
Andorra-Sierra de Arcos	27	106 - 120	693,1766055151
Andorra-Sierra de Arcos	27	121 - 150	458,3597411476
Andorra-Sierra de Arcos	27	151 o más	354,8045188998
Aranda	14	045 o menos	29,5202864567
Aranda	14	046 - 060	141,1658846322
Aranda	14	061 - 075	338,632512867
Aranda	14	076 - 090	1120,0784180651
Aranda	14	091 - 105	548,9601415018
Aranda	14	106 - 120	288,4999496472
Aranda	14	121 - 150	212,3461421463
Aranda	14	151 o más	216,219452139
Bajo Aragón	28	045 o menos	221,7653303867
Bajo Aragón	28	046 - 060	911,2075967014
Bajo Aragón	28	061 - 075	1640,4941830572
Bajo Aragón	28	076 - 090	4308,4559746221
Bajo Aragón	28	091 - 105	1476,3774518174
Bajo Aragón	28	106 - 120	1135,3910874758
Bajo Aragón	28	121 - 150	893,4522570203
Bajo Aragón	28	151 o más	1010,2770196863
Bajo Aragón-Caspe / Baix Aragó-Casp	19	045 o menos	64,9928463359
Bajo Aragón-Caspe / Baix Aragó-Casp	19	046 - 060	373,8871412131
Bajo Aragón-Caspe / Baix Aragó-Casp	19	061 - 075	476,4733314241
Bajo Aragón-Caspe / Baix Aragó-Casp	19	076 - 090	1878,6050973673
Bajo Aragón-Caspe / Baix Aragó-Casp	19	091 - 105	966,7670058783
Bajo Aragón-Caspe / Baix Aragó-Casp	19	106 - 120	622,0052821524
Bajo Aragón-Caspe / Baix Aragó-Casp	19	121 - 150	635,3638752115
