Municipio codigo	Municipio nombre	Superficie útil agrupada (m2)	Nº viviendas
22001	Abiego	046 - 060	6,9868759473
22001	Abiego	061 - 075	3,5216471021
22001	Abiego	076 - 090	19,6292776609
22001	Abiego	091 - 105	10,1473536553
22001	Abiego	106 - 120	17,690688181
22001	Abiego	121 - 150	14,2135640462
22001	Abiego	151 o más	33,3305509969
22002	Abizanda	045 o menos	3,6575242113
22002	Abizanda	046 - 060	4,7164332715
22002	Abizanda	061 - 075	4,1316386985
22002	Abizanda	076 - 090	6,2371004517
22002	Abizanda	091 - 105	6,1127449431
22002	Abizanda	106 - 120	4,6612189739
22002	Abizanda	121 - 150	10,091889589
22002	Abizanda	151 o más	22,5983395762
22003	Adahuesca	046 - 060	3,8469838522
22003	Adahuesca	061 - 075	4,0448746159
22003	Adahuesca	076 - 090	11,0599923135
22003	Adahuesca	091 - 105	5,6278125195
22003	Adahuesca	106 - 120	6,5123767891
22003	Adahuesca	121 - 150	18,0334977975
22003	Adahuesca	151 o más	24,4201990801
22004	Agüero	045 o menos	2,373443257
22004	Agüero	046 - 060	4,3296195296
22004	Agüero	061 - 075	1,1615797733
22004	Agüero	076 - 090	27,8968452733
22004	Agüero	091 - 105	11,8389699611
22004	Agüero	106 - 120	6,339844371
22004	Agüero	121 - 150	3,8369373574
22004	Agüero	151 o más	11,4305328108
22006	Aísa	045 o menos	6,177274337
22006	Aísa	046 - 060	15,4597823974
22006	Aísa	061 - 075	7,9211187953
22006	Aísa	076 - 090	9,8498102089
22006	Aísa	091 - 105	25,7803455315
22006	Aísa	106 - 120	15,0188903445
22006	Aísa	121 - 150	20,2164987271
22006	Aísa	151 o más	44,1928892214
22007	Albalate de Cinca	045 o menos	5,6498617792
22007	Albalate de Cinca	046 - 060	40,2419074756
22007	Albalate de Cinca	061 - 075	46,7103559698
22007	Albalate de Cinca	076 - 090	167,3656076238
22007	Albalate de Cinca	091 - 105	81,327217901
22007	Albalate de Cinca	106 - 120	26,9779586519
22007	Albalate de Cinca	121 - 150	33,246599195
22007	Albalate de Cinca	151 o más	41,6241751766
22008	Albalatillo	046 - 060	1,2715718035
22008	Albalatillo	061 - 075	8,0919995483
22008	Albalatillo	076 - 090	26,1759357336
22008	Albalatillo	091 - 105	16,3025125124
22008	Albalatillo	106 - 120	10,9337529479
22008	Albalatillo	121 - 150	7,872492246
22008	Albalatillo	151 o más	16,4558256369
22009	Albelda	045 o menos	2,4816409821
22009	Albelda	046 - 060	17,3476579874
22009	Albelda	061 - 075	46,1469939372
22009	Albelda	076 - 090	89,0764844559
22009	Albelda	091 - 105	81,5054290557
22009	Albelda	106 - 120	40,7817756384
22009	Albelda	121 - 150	32,5153836201
22009	Albelda	151 o más	32,0232295921
22011	Albero Alto	076 - 090	10,6440409493
22011	Albero Alto	091 - 105	6,7483534438
22011	Albero Alto	106 - 120	6,8930314909
22011	Albero Alto	121 - 150	4,582781777
22011	Albero Alto	151 o más	24,0993426386
22012	Albero Bajo	045 o menos	1,6943303822
22012	Albero Bajo	061 - 075	1,4583282613
22012	Albero Bajo	076 - 090	11,3424117532
22012	Albero Bajo	091 - 105	7,3471664034
22012	Albero Bajo	106 - 120	3,8128581297
22012	Albero Bajo	121 - 150	8,5642973717
22012	Albero Bajo	151 o más	11,9519501366
22013	Alberuela de Tubo	046 - 060	4,5386688435
22013	Alberuela de Tubo	061 - 075	4,0236337433
22013	Alberuela de Tubo	076 - 090	15,3473227929
22013	Alberuela de Tubo	091 - 105	29,9579606566
22013	Alberuela de Tubo	106 - 120	10,7155047015
22013	Alberuela de Tubo	121 - 150	29,5940104706
22013	Alberuela de Tubo	151 o más	27,528260956
22014	Alcalá de Gurrea	046 - 060	6,5199328718
22014	Alcalá de Gurrea	061 - 075	15,0436627943
22014	Alcalá de Gurrea	076 - 090	28,5402959921
22014	Alcalá de Gurrea	091 - 105	34,5060558073
22014	Alcalá de Gurrea	106 - 120	24,3395831257
22014	Alcalá de Gurrea	121 - 150	15,7599325572
22014	Alcalá de Gurrea	151 o más	15,7689829414
22015	Alcalá del Obispo	046 - 060	4,8161581405
22015	Alcalá del Obispo	061 - 075	11,0068642592
22015	Alcalá del Obispo	076 - 090	14,6262677762
22015	Alcalá del Obispo	091 - 105	23,8329608069
22015	Alcalá del Obispo	106 - 120	30,2534985299
22015	Alcalá del Obispo	121 - 150	26,4006231363
22015	Alcalá del Obispo	151 o más	25,8326403129
22016	Alcampell	046 - 060	2,8225103376
22016	Alcampell	061 - 075	14,6191096213
22016	Alcampell	076 - 090	65,9320906685
22016	Alcampell	091 - 105	94,2962327276
22016	Alcampell	106 - 120	68,4566587309
22016	Alcampell	121 - 150	36,3568398682
22016	Alcampell	151 o más	31,3833247786
22017	Alcolea de Cinca	045 o menos	8,996776769
22017	Alcolea de Cinca	046 - 060	8,5346448251
22017	Alcolea de Cinca	061 - 075	42,5070726637
22017	Alcolea de Cinca	076 - 090	167,5611117197
22017	Alcolea de Cinca	091 - 105	75,7530497156
22017	Alcolea de Cinca	106 - 120	54,8731160568
22017	Alcolea de Cinca	121 - 150	48,049208913
22017	Alcolea de Cinca	151 o más	21,6469912615
22018	Alcubierre	045 o menos	1,3451659358
22018	Alcubierre	046 - 060	9,1431283909
22018	Alcubierre	061 - 075	6,6565685154
22018	Alcubierre	076 - 090	39,35177993
22018	Alcubierre	091 - 105	37,4212061872
22018	Alcubierre	106 - 120	35,6688065279
22018	Alcubierre	121 - 150	22,7810498762
22018	Alcubierre	151 o más	27,1327379873
22019	Alerre	046 - 060	0,8474732168
22019	Alerre	061 - 075	1,8572737409
22019	Alerre	076 - 090	12,3766176687
22019	Alerre	091 - 105	12,2771657864
22019	Alerre	106 - 120	6,3426878803
22019	Alerre	121 - 150	13,2757698587
22019	Alerre	151 o más	38,4093472298
22020	Alfántega	045 o menos	1,5362865324
22020	Alfántega	046 - 060	2,0210837201
22020	Alfántega	061 - 075	1,0609621451
22020	Alfántega	076 - 090	11,1263498614
22020	Alfántega	091 - 105	12,4844581785
22020	Alfántega	106 - 120	16,3541823234
22020	Alfántega	121 - 150	15,7475418489
22020	Alfántega	151 o más	2,6118639351
22021	Almudévar	045 o menos	3,4743065648
22021	Almudévar	046 - 060	21,8698068712
22021	Almudévar	061 - 075	85,3311207373
22021	Almudévar	076 - 090	268,1108809582
22021	Almudévar	091 - 105	188,8235415006
22021	Almudévar	106 - 120	144,7685340646
22021	Almudévar	121 - 150	112,8326656862
22021	Almudévar	151 o más	107,4722512088
22022	Almunia de San Juan	046 - 060	1,3481687642
22022	Almunia de San Juan	061 - 075	14,6035634997
22022	Almunia de San Juan	076 - 090	74,8386728452
22022	Almunia de San Juan	091 - 105	50,7357264965
22022	Almunia de San Juan	106 - 120	57,3020978252
22022	Almunia de San Juan	121 - 150	38,4626130676
22022	Almunia de San Juan	151 o más	29,1781874251
22023	Almuniente	046 - 060	2,2597125801
22023	Almuniente	061 - 075	17,5223466022
22023	Almuniente	076 - 090	63,9028199631
22023	Almuniente	091 - 105	39,0056668948
22023	Almuniente	106 - 120	28,7613339577
22023	Almuniente	121 - 150	23,4043445497
22023	Almuniente	151 o más	42,5626506081
22024	Alquézar	045 o menos	2,4961260391
22024	Alquézar	046 - 060	26,9200343668
22024	Alquézar	061 - 075	13,2152127123
22024	Alquézar	076 - 090	27,4543065158
22024	Alquézar	091 - 105	19,2064899443
22024	Alquézar	106 - 120	14,4171778501
22024	Alquézar	121 - 150	12,1168143857
22024	Alquézar	151 o más	25,8549010117
22025	Altorricón	046 - 060	11,2418868477
22025	Altorricón	061 - 075	53,2647454185
22025	Altorricón	076 - 090	178,6475094962
22025	Altorricón	091 - 105	111,4367189138
22025	Altorricón	106 - 120	80,4921030642
22025	Altorricón	121 - 150	62,0275817495
22025	Altorricón	151 o más	68,3130695322
22027	Angüés	046 - 060	9,3626122117
22027	Angüés	061 - 075	9,1825485029
22027	Angüés	076 - 090	33,3597745818
22027	Angüés	091 - 105	20,6529569062
22027	Angüés	106 - 120	17,5278482343
22027	Angüés	121 - 150	23,1487273465
22027	Angüés	151 o más	29,977778776
22028	Ansó	045 o menos	8,762653756
22028	Ansó	046 - 060	12,8182847928
22028	Ansó	061 - 075	19,8969548755
22028	Ansó	076 - 090	53,6134357058
22028	Ansó	091 - 105	37,0665895337
22028	Ansó	106 - 120	17,6178938191
22028	Ansó	121 - 150	21,7484812629
22028	Ansó	151 o más	31,9069622675
22029	Antillón	061 - 075	2,3058735061
22029	Antillón	076 - 090	1,084659456
22029	Antillón	091 - 105	14,8388745722
22029	Antillón	106 - 120	7,7155026405
22029	Antillón	121 - 150	8,7390850962
22029	Antillón	151 o más	12,5456959135
22032	Aragüés del Puerto	045 o menos	1,4394359215
22032	Aragüés del Puerto	046 - 060	4,0367695814
22032	Aragüés del Puerto	061 - 075	1,0777050815
22032	Aragüés del Puerto	076 - 090	19,8642772229
22032	Aragüés del Puerto	091 - 105	12,2329182006
22032	Aragüés del Puerto	106 - 120	6,4651321478
22032	Aragüés del Puerto	121 - 150	2,8411512469
22032	Aragüés del Puerto	151 o más	14,2904386231
22035	Arén	045 o menos	1,4880648198
22035	Arén	046 - 060	4,1497421366
22035	Arén	061 - 075	16,7763860968
22035	Arén	076 - 090	30,1807420111
22035	Arén	091 - 105	35,3024764672
22035	Arén	106 - 120	23,8710811234
22035	Arén	121 - 150	16,618410686
22035	Arén	151 o más	12,4277963605
22036	Argavieso	076 - 090	15,0271617469
22036	Argavieso	091 - 105	5,8844605808
22036	Argavieso	106 - 120	5,7404577562
22036	Argavieso	121 - 150	8,8123171066
22036	Argavieso	151 o más	11,8974854161
22037	Arguis	046 - 060	8,8527699469
22037	Arguis	061 - 075	1,327371008
22037	Arguis	076 - 090	10,6328042629
22037	Arguis	091 - 105	6,4118331871
22037	Arguis	106 - 120	7,8432328803
22037	Arguis	121 - 150	9,2160555937
22037	Arguis	151 o más	13,7638222832
22039	Ayerbe	045 o menos	3,3485401621
22039	Ayerbe	046 - 060	34,9051836183
22039	Ayerbe	061 - 075	52,080507466
22039	Ayerbe	076 - 090	133,146475823
22039	Ayerbe	091 - 105	58,4340625827
22039	Ayerbe	106 - 120	70,0282755697
22039	Ayerbe	121 - 150	43,9788931315
22039	Ayerbe	151 o más	84,5007546718
22040	Azanuy-Alins	046 - 060	3,2912182457
22040	Azanuy-Alins	061 - 075	4,5885630647
22040	Azanuy-Alins	076 - 090	8,7706288727
22040	Azanuy-Alins	091 - 105	7,9864510107
22040	Azanuy-Alins	106 - 120	14,7010878039
22040	Azanuy-Alins	121 - 150	16,1034970152
22040	Azanuy-Alins	151 o más	21,0470568075
22041	Azara	046 - 060	3,5284913688
22041	Azara	061 - 075	2,4167039144
22041	Azara	076 - 090	17,8087051547
22041	Azara	091 - 105	11,2255854135
22041	Azara	106 - 120	10,8001842973
22041	Azara	121 - 150	5,2273969439
22041	Azara	151 o más	21,9121794944
22042	Azlor	046 - 060	1,2044143548
22042	Azlor	061 - 075	1,2790177389
22042	Azlor	076 - 090	5,4873080441
22042	Azlor	091 - 105	7,5023127142
22042	Azlor	106 - 120	13,3597226495
22042	Azlor	121 - 150	11,2609249638
22042	Azlor	151 o más	12,303520448
22043	Baells	046 - 060	5,4114724713
22043	Baells	061 - 075	5,603575676
22043	Baells	076 - 090	10,6636640856
22043	Baells	091 - 105	12,7723628857
22043	Baells	106 - 120	16,7041399402
22043	Baells	121 - 150	4,9070617673
22043	Baells	151 o más	5,8003381097
22044	Bailo	045 o menos	1,0391393561
22044	Bailo	046 - 060	4,228656488
22044	Bailo	061 - 075	18,2024967233
22044	Bailo	076 - 090	30,5214361819
22044	Bailo	091 - 105	18,6802606256
22044	Bailo	106 - 120	12,2647719397
22044	Bailo	121 - 150	14,4407804356
22044	Bailo	151 o más	27,141168177
22045	Baldellou	045 o menos	4,0753537234
22045	Baldellou	061 - 075	4,1661437816
22045	Baldellou	076 - 090	8,4184086586
22045	Baldellou	091 - 105	8,0173880856
22045	Baldellou	106 - 120	12,1008666802
22045	Baldellou	121 - 150	3,6860281846
22045	Baldellou	151 o más	7,9334018024
22046	Ballobar	045 o menos	11,2977529594
22046	Ballobar	046 - 060	31,3431971566
22046	Ballobar	061 - 075	18,9908364852
22046	Ballobar	076 - 090	91,0669292853
22046	Ballobar	091 - 105	52,8961298118
22046	Ballobar	106 - 120	45,6822966925
22046	Ballobar	121 - 150	56,2637148547
22046	Ballobar	151 o más	39,6562143278
22047	Banastás	076 - 090	11,9289824399
22047	Banastás	091 - 105	10,5689161703
22047	Banastás	106 - 120	12,3252168947
22047	Banastás	121 - 150	16,7896200091
22047	Banastás	151 o más	50,0540490928
22048	Barbastro	045 o menos	165,370409435
22048	Barbastro	046 - 060	580,2562484828
22048	Barbastro	061 - 075	1051,903773194
22048	Barbastro	076 - 090	2817,503162464
22048	Barbastro	091 - 105	1108,5727884875
22048	Barbastro	106 - 120	562,0139481182
22048	Barbastro	121 - 150	377,5972014443
22048	Barbastro	151 o más	387,1377314963
